Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1985,1.25,1.95,,,,,,,
1986,1.95,1.84,-5.45,,,,,,
1987,1.85,1.56,-15.15,,,,,,
1988,1.56,2.14,36.85,,,,,,
1989,2.18,2.85,33.24,,,,,,
1990,2.82,2.95,3.5,8.632,,,,,
1991,2.94,3.29,11.55,12.325,,,,,
1992,3.3,3.92,18.93,20.235,,,,,
1993,3.9,5.1,30.33,18.968,,,,,
1994,5.21,5.97,17.05,15.938,,,,,
1995,6.02,10.35,73.23,28.536,18.165,,,,
1996,10.55,14.87,43.75,35.214,23.239,,,,
1997,15.11,21.08,41.7,39.996,29.74,,,,
1998,21.24,57.5,172.8,62.338,38.971,,,,
1999,59.61,44.92,-21.88,49.725,31.753,,,,
2000,45.53,38.98,-13.22,30.371,29.45,22.101,,,
2001,39.04,25.18,-35.4,11.109,22.571,19.055,,,
2002,25.79,12.07,-52.07,-10.553,11.903,14.614,,,
2003,12.37,14.48,19.97,-24.104,10.999,13.594,,,
2004,14.53,13.41,-7.37,-21.477,8.429,10.876,,,
2005,13.4,15.97,19.04,-16.345,4.433,11.918,11.087,,
2006,16.21,18.54,16.11,-5.939,2.23,12.218,12.244,,
2007,18.74,17.15,-7.49,7.278,-2.042,10.34,12.735,,
2008,17.28,5.92,-65.49,-16.38,-20.335,0.999,5.219,,
2009,6.16,6.27,5.95,-14.105,-17.874,0.327,4.021,,
2010,6.61,6.0,-4.37,-17.782,-17.066,-3.57,3.614,4.598,
2011,6.05,3.93,-34.42,-26.674,-16.951,-8.489,0.893,3.082,
2012,4.05,6.3,60.2,-18.151,-6.295,-7.736,2.401,5.742,
2013,6.41,9.27,47.21,9.383,-4.362,-11.456,3.033,6.039,
2014,9.17,7.34,-20.89,3.201,-5.849,-11.376,1.038,3.857,
2015,7.35,5.67,-22.72,-1.125,-9.837,-12.061,-2.964,2.648,3.622
2016,5.53,5.53,-2.47,7.07,-11.394,-9.612,-4.825,2.099,3.736
2017,5.59,6.3,13.92,0.0,-9.529,-4.242,-5.86,1.916,4.763
2018,6.35,4.65,-26.19,-12.889,-2.386,-7.293,-11.816,-0.369,2.621
2019,4.5,4.53,-2.58,-9.201,-3.198,-6.98,-10.837,-1.098,1.557
2020,4.59,3.95,-12.8,-6.974,-4.094,-8.893,-10.816,-3.78,0.978
2021,3.96,4.94,25.06,-2.231,2.314,-8.44,-7.821,-4.312,1.364
2022,4.98,5.04,2.02,-4.365,-2.207,-7.84,-4.273,-5.563,0.841
2023,5.08,5.07,0.5952,1.745,-5.856,-1.028,-5.112,-9.257,-0.02
