Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1984,1.84,3.72,,,,,,,
1985,3.72,6.03,62.18,,,,,,
1986,6.03,6.56,8.81,,,,,,
1987,6.56,4.34,-33.81,,,,,,
1988,4.38,4.19,-3.6,,,,,,
1989,4.19,6.16,47.01,10.613,,,,,
1990,6.16,5.81,-5.58,-0.741,,,,,
1991,5.75,5.59,-3.76,-3.15,,,,,
1992,5.59,7.06,26.26,10.221,,,,,
1993,7.06,9.06,28.32,16.676,,,,,
1994,9.0,8.0,-11.72,5.366,7.958,,,,
1995,7.94,9.31,16.41,9.889,4.439,,,,
1996,9.31,7.75,-16.78,6.752,1.681,,,,
1997,7.72,8.61,11.09,4.049,7.091,,,,
1998,8.64,11.03,28.13,4.013,10.163,,,,
1999,11.0,16.19,46.74,15.141,10.145,10.301,,,
2000,15.94,31.81,96.53,27.856,18.533,11.725,,,
2001,32.09,34.49,8.42,34.796,19.958,11.7,,,
2002,34.65,29.38,-14.82,27.823,15.325,13.598,,,
2003,29.44,32.49,10.59,24.118,13.622,14.631,,,
2004,32.4,32.5,0.0308,14.955,15.048,11.726,11.447,,
2005,32.42,30.88,-4.98,-0.592,12.739,11.781,8.51,,
2006,30.98,29.55,-4.31,-3.044,14.321,11.74,7.816,,
2007,29.61,24.19,-18.14,-3.813,10.883,8.556,8.97,,
2008,24.14,25.91,7.11,-4.425,8.915,7.256,9.537,,
2009,25.97,22.51,-13.12,-7.082,3.351,7.14,6.694,7.467,
2010,22.6,29.08,29.19,-1.194,-0.893,7.889,8.385,6.495,
2011,29.29,33.44,14.99,2.504,-0.309,10.238,9.356,6.732,
2012,33.72,34.65,3.62,7.452,1.664,9.727,8.279,8.665,
2013,35.15,46.93,35.44,12.615,3.746,10.135,8.572,10.146,
2014,46.67,47.08,0.3196,15.902,3.776,7.376,9.267,8.475,8.829
2015,47.25,40.94,-13.04,7.081,2.86,1.696,7.686,8.123,6.593
2016,40.4,51.96,26.92,9.215,5.806,2.77,9.981,9.328,7.142
2017,52.0,63.28,21.79,12.801,10.094,5.248,10.488,9.169,9.343
2018,63.55,73.7,16.47,9.447,11.02,5.612,9.962,8.746,10.029
2019,72.66,95.23,29.21,15.13,15.515,7.43,9.264,10.415,9.557
2020,95.61,123.71,29.91,24.753,15.58,9.694,7.027,10.902,10.732
2021,123.64,169.67,37.15,26.703,17.634,12.358,8.292,13.139,12.049
2022,169.29,188.54,11.12,24.402,18.46,14.67,9.741,13.14,11.572
2023,188.74,231.07,22.56,25.677,17.281,15.705,10.306,12.94,11.401
