Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,2.02,2.71,,,,,,,
1969,2.84,1.62,-40.0,,,,,,
1970,1.7,1.08,-33.33,,,,,,
1971,1.09,1.15,6.48,,,,,,
1972,1.16,1.3,13.04,,,,,,
1973,1.3,1.03,-20.76,-17.591,,,,,
1974,1.03,0.8418,-18.45,-12.272,,,,,
1975,0.8518,0.8418,,-4.861,,,,,
1976,0.8418,1.59,88.56,6.694,,,,,
1977,1.59,1.88,18.18,7.657,,,,,
1978,1.85,2.98,58.65,23.673,0.954,,,,
1979,2.96,6.73,126.27,51.552,15.305,,,,
1980,6.66,10.46,55.36,65.525,25.49,,,,
1981,10.46,8.44,-19.31,39.633,22.057,,,,
1982,8.39,4.55,-46.15,19.336,13.346,,,,
1983,4.55,5.19,14.29,11.735,17.553,4.427,,,
1984,5.19,4.38,-15.63,-8.232,17.931,6.856,,,
1985,4.38,4.71,7.41,-14.749,18.79,10.316,,,
1986,4.71,3.9,-17.24,-14.307,9.387,8.482,,,
1987,3.9,3.25,-16.67,-6.508,5.626,6.299,,,
1988,3.25,3.41,5.0,-8.057,1.357,8.308,1.155,,
1989,3.41,7.95,133.33,12.662,1.68,16.148,8.279,,
1990,7.85,6.33,-20.41,6.091,-4.899,14.397,9.244,,
1991,6.33,6.87,8.55,11.99,-2.037,10.248,9.349,,
1992,6.82,8.12,18.11,20.098,5.963,10.245,9.592,,
1993,8.06,10.12,24.67,24.304,6.906,8.492,12.103,5.412,
1994,10.17,10.82,6.95,6.358,9.465,3.216,13.619,7.892,
1995,10.93,12.77,18.0,15.069,10.488,1.339,14.564,10.385,
1996,12.77,15.21,19.07,17.229,14.579,4.005,11.953,10.881,
1997,15.26,15.18,-0.1782,13.33,16.665,8.364,11.008,10.33,
1998,15.23,10.96,-27.81,1.608,12.384,5.11,6.728,9.921,4.768
1999,10.98,15.99,45.93,8.125,7.238,9.016,4.422,12.498,7.931
2000,15.88,30.33,89.68,18.888,16.963,13.22,5.467,15.416,11.759
2001,30.14,23.75,-21.69,9.322,13.206,12.799,5.309,11.422,10.62
2002,23.41,27.14,14.25,12.323,12.825,15.199,9.34,11.27,10.66
2003,27.47,40.55,49.42,29.908,14.89,17.946,10.826,11.007,13.024
2004,40.63,50.57,24.71,25.895,16.672,13.128,13.011,8.401,14.628
2005,50.57,68.52,35.5,17.703,18.294,17.209,14.325,7.808,15.794
2006,69.83,66.51,-2.93,22.87,15.898,16.34,15.237,8.608,13.253
2007,68.24,107.54,61.69,31.702,21.627,18.796,19.12,13.486,14.441
2008,108.53,74.53,-30.7,12.945,21.13,14.238,16.675,11.247,11.328
2009,74.84,103.17,38.43,15.327,20.495,16.222,13.674,13.471,9.526
2010,104.94,119.23,15.57,11.716,14.67,16.059,15.811,13.798,8.45
2011,120.59,90.58,-24.03,6.372,14.324,12.632,13.764,13.407,8.232
2012,93.94,78.5,-13.34,-6.101,11.205,11.577,12.012,13.585,9.958
2013,80.0,85.94,9.48,2.89,7.8,14.716,11.289,13.778,9.808
2014,85.82,62.67,-27.08,-9.489,2.168,9.534,9.18,8.609,9.275
2015,62.18,44.47,-29.04,-17.901,-4.231,2.584,6.437,8.11,7.771
2016,44.25,63.47,42.73,-6.866,-0.467,6.773,7.404,9.301,9.745
2017,64.71,42.22,-33.48,-11.666,-8.926,2.99,5.248,6.817,8.923
2018,42.65,26.25,-37.83,-21.116,-9.909,-2.858,4.464,3.886,7.04
2019,25.61,25.59,-2.51,-16.401,-13.014,-4.439,2.379,3.503,3.974
2020,25.7,14.19,-44.55,-20.424,-19.172,-9.965,-3.727,0.423,2.727
2021,14.65,26.89,89.5,-15.782,-11.436,-5.859,0.623,2.305,4.654
2022,27.08,46.68,73.6,2.029,-5.065,-5.412,2.749,4.596,6.003
2023,45.89,45.08,-3.43,11.422,-6.248,-3.296,0.531,5.82,5.106
