Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,1.07,1.2,,,,,,,
1969,1.21,1.03,-14.13,,,,,,
1970,1.06,1.24,19.94,,,,,,
1971,1.18,1.39,11.87,,,,,,
1972,1.42,1.83,32.07,,,,,,
1973,1.83,2.14,16.58,12.266,,,,,
1974,2.14,2.61,22.4,20.437,,,,,
1975,2.61,3.83,46.63,25.301,,,,,
1976,3.83,4.01,4.59,23.602,,,,,
1977,4.01,2.96,-26.11,10.095,,,,,
1978,2.96,2.73,-7.8,4.99,8.567,,,,
1979,2.74,4.25,55.55,10.243,15.227,,,,
1980,4.25,4.78,12.59,4.531,14.446,,,,
1981,4.78,4.35,-9.06,1.641,12.085,,,,
1982,4.33,4.2,-3.32,7.249,8.663,,,,
1983,4.2,5.16,22.68,13.579,9.2,10.213,,,
1984,5.16,5.32,3.08,4.593,7.381,11.568,,,
1985,5.32,7.41,39.4,9.164,6.822,12.657,,,
1986,7.41,8.12,9.55,13.296,7.31,12.487,,,
1987,8.15,9.42,16.01,17.533,12.273,11.542,,,
1988,9.42,9.53,1.23,13.055,13.316,10.47,10.916,,
1989,9.53,11.09,16.36,15.825,10.066,10.125,12.617,,
1990,11.09,12.65,14.06,11.29,10.221,8.291,12.314,,
1991,12.65,17.07,34.93,16.021,14.65,10.139,13.36,,
1992,17.02,21.61,26.57,18.065,17.799,14.171,13.138,,
1993,21.61,20.45,-5.35,16.498,14.764,14.367,11.947,12.011,
1994,20.45,20.63,0.8472,13.217,14.514,11.107,10.89,12.737,
1995,20.51,24.38,18.21,14.022,12.647,11.474,9.696,12.653,
1996,24.33,31.95,31.04,13.357,14.681,14.217,10.934,13.36,
1997,31.95,38.02,18.99,11.962,14.973,15.82,13.615,12.902,
1998,38.02,36.98,-2.74,12.578,14.522,14.031,13.917,12.073,12.105
1999,36.75,31.03,-16.09,8.507,10.837,12.476,10.451,10.409,12.021
2000,30.8,37.9,22.16,9.225,11.598,11.495,10.907,9.602,12.075
2001,37.56,43.37,14.41,6.303,9.773,11.817,12.185,9.992,12.152
2002,43.45,39.52,-8.87,0.777,6.222,10.032,11.861,10.923,10.784
2003,39.48,48.84,23.58,5.721,9.096,11.51,11.894,12.229,10.989
2004,48.83,53.59,9.73,11.548,10.017,11.073,12.243,10.669,10.598
2005,53.85,54.72,2.1,7.622,8.42,10.256,10.514,10.242,9.269
2006,54.92,64.97,18.74,8.419,7.355,9.32,10.958,11.421,9.728
2007,65.03,91.18,40.34,18.2,9.141,10.074,12.019,13.101,12.104
2008,91.3,46.47,-49.03,-0.99,2.311,5.625,8.244,9.19,9.909
2009,46.51,74.94,61.25,6.937,9.218,8.98,10.024,11.161,10.038
2010,75.91,84.08,12.2,8.971,8.294,8.604,9.934,10.203,10.029
2011,84.63,78.76,-6.33,3.925,6.148,6.199,7.945,9.514,10.135
2012,80.08,77.68,-1.37,-3.154,6.991,4.879,6.606,8.805,10.214
2013,79.01,103.34,33.04,17.333,7.783,7.091,8.437,10.004,10.506
2014,103.14,133.34,29.03,12.215,9.544,10.208,9.78,10.459,11.336
2015,132.56,120.29,-9.79,7.425,8.195,8.004,8.308,9.427,9.735
2016,118.53,143.82,19.56,12.798,8.271,8.32,7.812,8.899,10.055
2017,143.56,164.08,14.09,16.131,6.051,9.955,7.585,8.447,9.993
2018,164.88,160.05,-2.46,9.143,13.164,8.234,7.601,8.578,9.86
2019,157.39,234.99,46.82,12.0,12.107,10.356,10.653,10.22,10.714
2020,235.25,273.22,16.27,17.83,12.508,11.316,10.381,10.149,10.785
2021,275.39,304.26,11.36,16.168,14.471,10.841,10.231,9.434,10.078
2022,304.52,308.26,1.31,13.442,14.779,8.46,10.817,8.732,9.264
2023,310.06,298.02,-3.32,13.24,11.173,13.189,9.465,8.705,9.342
