Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1983,5.58,5.58,,,,,,,
1984,5.5,6.58,17.91,,,,,,
1985,6.5,10.67,62.02,,,,,,
1986,10.67,9.92,-7.03,,,,,,
1987,9.92,8.17,-17.65,,,,,,
1988,8.17,10.83,32.65,14.182,,,,,
1989,10.83,11.92,10.0,12.619,,,,,
1990,11.92,11.08,-6.99,0.757,,,,,
1991,10.92,15.33,38.35,9.095,,,,,
1992,15.33,15.67,2.17,13.912,,,,,
1993,15.67,18.42,17.55,11.207,12.685,,,,
1994,18.42,17.0,-7.69,7.358,9.957,,,,
1995,16.88,23.0,35.29,15.728,7.983,,,,
1996,22.88,23.88,3.8,9.269,9.182,,,,
1997,24.0,30.25,26.7,14.059,13.986,,,,
1998,29.63,32.25,6.61,11.853,11.53,12.407,,,
1999,32.5,20.44,-36.63,3.754,5.541,7.849,,,
2000,20.0,24.38,19.27,1.172,8.206,5.663,,,
2001,24.5,21.25,-12.82,-2.307,3.319,5.21,,,
2002,21.25,23.32,9.74,-5.071,4.056,7.243,,,
2003,23.55,24.3,4.2,-5.504,2.809,5.535,7.634,,
2004,24.55,27.35,12.55,5.997,4.87,5.693,7.383,,
2005,27.4,26.16,-4.35,1.419,1.296,5.894,4.586,,
2006,26.3,31.91,21.98,8.471,2.941,5.009,6.016,,
2007,31.81,28.04,-12.13,3.755,-0.756,3.955,6.36,,
2008,28.04,23.7,-15.48,-0.499,-3.033,1.694,3.993,5.956,
2009,23.71,29.4,24.05,1.456,3.702,3.719,4.617,6.171,
2010,29.5,31.2,6.12,3.587,2.497,2.054,5.313,4.385,
2011,31.44,33.35,6.89,0.887,4.61,2.252,3.963,4.97,
2012,33.83,35.12,5.31,4.606,4.18,1.0,4.118,6.007,
2013,35.61,45.42,29.33,13.894,6.455,2.309,4.616,5.902,7.239
2014,45.34,55.74,22.72,13.649,7.379,6.917,6.117,6.364,7.382
2015,55.92,63.04,13.1,15.105,9.194,6.538,5.171,7.202,6.1
2016,63.02,74.15,17.62,17.328,8.797,8.688,5.829,6.508,6.935
2017,74.34,85.89,15.83,19.585,11.845,9.081,5.356,7.042,8.158
2018,85.93,92.72,7.95,15.341,14.615,9.338,5.422,6.678,7.42
2019,92.29,111.86,20.64,14.948,14.296,9.845,8.87,7.827,7.749
2020,112.04,95.43,-14.69,8.646,11.829,9.011,7.061,5.857,7.441
2021,95.4,104.77,9.79,7.158,12.128,8.248,8.304,6.093,6.616
2022,105.0,112.07,6.97,5.465,12.304,9.677,8.165,5.378,6.778
2023,112.34,115.47,3.03,4.486,9.78,11.134,8.104,5.234,6.31
