Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,6.3,6.63,,,,,,,
1969,6.58,5.03,-24.06,,,,,,
1970,5.09,4.28,-14.91,,,,,,
1971,4.25,3.45,-19.34,,,,,,
1972,3.5,5.38,55.66,,,,,,
1973,5.41,4.41,-18.02,-7.831,,,,,
1974,4.41,2.81,-36.17,-10.992,,,,,
1975,2.81,3.41,21.11,-4.443,,,,,
1976,3.38,2.72,-20.18,-4.644,,,,,
1977,2.72,1.98,-27.01,-18.12,,,,,
1978,2.0,1.88,-5.51,-15.677,-11.841,,,,
1979,1.88,2.25,20.0,-4.348,-7.73,,,,
1980,2.25,2.84,26.39,-3.592,-4.019,,,,
1981,2.84,3.47,21.98,4.991,0.058,,,,
1982,3.44,4.53,30.63,18.001,-1.705,,,,
1983,4.48,6.81,50.35,29.359,4.441,0.179,,,
1984,6.72,8.0,17.43,28.879,11.029,3.142,,,
1985,8.0,9.22,15.23,26.556,10.458,5.249,,,
1986,9.22,10.31,11.86,24.333,14.253,7.571,,,
1987,10.31,10.63,3.03,18.601,18.301,4.645,,,
1988,10.63,11.38,7.06,10.815,19.729,6.524,2.738,,
1989,11.38,16.19,42.31,15.141,21.817,12.384,6.019,,
1990,16.19,10.75,-33.59,3.118,14.238,7.955,4.712,,
1991,10.75,12.69,18.02,4.241,13.845,10.814,6.729,,
1992,12.56,14.38,13.3,6.229,12.245,14.132,5.039,,
1993,14.44,14.69,2.17,5.239,7.991,14.69,6.201,3.233,
1994,14.5,17.75,20.85,1.857,8.296,14.763,9.654,5.173,
1995,17.69,25.06,41.2,18.444,10.516,15.623,10.487,7.325,
1996,25.06,35.38,41.15,22.761,13.123,16.742,13.687,9.758,
1997,35.13,44.75,26.5,25.489,15.459,16.497,16.871,8.843,
1998,45.0,45.06,0.6983,25.128,14.753,13.425,17.215,9.742,6.596
1999,45.25,72.88,61.72,32.642,16.235,15.869,18.993,13.908,9.32
2000,72.25,54.88,-24.7,16.973,17.707,12.628,15.959,11.755,8.876
2001,54.63,56.53,3.02,9.826,16.113,12.013,14.973,12.904,9.77
2002,55.3,61.08,8.05,6.419,15.562,12.363,13.891,14.702,8.435
2003,61.5,56.02,-8.28,4.45,14.323,11.211,11.112,14.543,8.842
2004,55.9,59.97,7.05,-3.824,12.947,9.122,10.597,14.033,10.741
2005,59.72,55.27,-7.84,0.142,8.231,11.534,9.367,12.607,9.73
2006,56.22,67.93,22.91,3.742,6.741,11.834,9.885,12.634,11.323
2007,68.47,53.14,-21.77,-2.747,1.733,9.105,8.379,10.35,11.59
2008,53.21,32.73,-38.41,-10.191,-3.146,5.486,5.424,6.481,9.992
2009,33.37,36.49,11.49,-9.458,-6.684,4.922,4.147,6.258,9.732
2010,36.74,42.34,16.03,-5.19,-2.561,3.558,7.094,6.287,9.424
2011,42.64,28.68,-32.26,-15.84,-6.561,-1.39,4.161,4.177,7.294
2012,29.54,34.92,21.76,-8.054,-5.438,-1.64,4.536,4.873,7.045
2013,35.35,50.19,43.73,8.927,-1.093,0.721,6.336,6.116,6.885
2014,50.09,51.88,3.37,7.291,-1.439,-2.24,5.509,4.768,6.43
2015,52.13,62.66,20.78,8.155,1.263,0.888,4.689,7.306,6.596
2016,61.68,70.22,12.07,19.612,0.332,1.456,3.487,7.083,6.604
2017,70.76,114.86,63.57,26.888,8.013,4.3,4.826,8.667,8.257
2018,115.15,89.83,-21.79,12.347,10.624,3.198,3.51,7.512,7.13
2019,88.64,130.82,45.63,20.319,13.619,5.337,2.968,8.318,7.213
2020,131.53,155.11,18.57,19.875,13.865,7.122,5.332,7.564,9.305
2021,155.46,216.57,39.62,25.264,22.406,8.036,6.946,7.516,9.919
2022,216.81,181.0,-16.42,9.522,17.886,8.514,5.582,5.749,8.809
2023,182.0,189.02,4.43,16.043,14.18,12.401,6.269,5.903,8.889
