Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1972,3.37,4.78,,,,,,,
1973,4.82,3.31,-30.64,,,,,,
1974,3.05,1.91,-42.22,,,,,,
1975,1.95,2.71,41.35,,,,,,
1976,2.7,2.99,10.54,,,,,,
1977,2.95,2.64,-11.69,-11.195,,,,,
1978,2.64,2.14,-18.82,-8.353,,,,,
1979,2.14,2.2,2.57,2.867,,,,,
1980,2.2,2.96,34.73,1.78,,,,,
1981,2.96,3.25,9.63,1.682,,,,,
1982,3.25,4.73,45.61,12.37,-0.105,,,,
1983,4.73,4.8,1.56,17.535,3.787,,,,
1984,4.8,5.54,15.32,20.287,11.237,,,,
1985,5.52,7.8,40.86,21.384,11.151,,,,
1986,7.8,8.34,6.84,20.741,10.802,,,,
1987,8.39,6.74,-19.21,7.34,9.826,2.317,,,
1988,6.81,7.84,16.39,10.31,13.865,5.917,,,
1989,7.84,10.27,30.99,13.139,16.658,11.867,,,
1990,10.27,6.07,-40.86,-4.892,7.446,5.523,,,
1991,6.07,6.04,-0.6059,-6.249,6.394,4.799,,,
1992,6.04,7.33,21.34,1.692,4.478,7.045,2.161,,
1993,7.33,9.09,24.12,3.003,6.594,10.123,5.181,,
1994,8.83,8.69,-4.45,-3.286,4.605,9.591,7.87,,
1995,8.65,12.18,40.25,14.945,4.558,9.89,7.804,,
1996,12.26,16.64,36.56,22.468,7.152,11.503,8.962,,
1997,16.49,26.28,57.96,29.093,14.577,12.112,12.176,7.055,
1998,26.21,30.19,14.85,27.133,14.434,13.042,14.149,9.245,
1999,30.11,48.96,62.2,41.307,16.903,15.635,16.781,13.855,
2000,48.44,48.54,-0.8636,31.853,23.109,12.962,15.011,12.234,
2001,48.15,31.53,-35.04,13.636,17.969,9.271,12.032,9.881,
2002,31.5,31.23,-0.9527,3.512,15.597,10.763,9.897,10.387,6.456
2003,31.63,42.61,36.44,7.135,16.706,11.947,11.536,12.71,8.89
2004,42.79,49.8,16.88,0.341,19.075,11.099,11.606,13.29,11.482
2005,50.01,51.46,3.33,1.175,15.5,15.315,9.893,12.1,10.31
2006,51.7,60.67,17.9,13.986,13.81,16.626,10.431,12.42,10.555
2007,61.18,52.02,-14.26,10.744,7.067,13.956,10.758,10.066,10.447
2008,52.09,18.55,-64.34,-15.323,-4.754,4.87,4.4,5.556,7.464
2009,18.57,40.52,118.44,-4.04,-1.874,10.809,7.104,8.285,10.198
2010,40.81,42.92,5.92,-3.564,-1.223,8.76,10.274,7.059,9.323
2011,43.3,47.17,9.9,-4.909,4.11,7.193,10.823,7.177,9.327
2012,48.3,57.48,21.86,2.016,6.291,5.356,10.846,8.952,8.681
2013,58.33,90.73,57.85,37.367,7.851,7.612,12.191,10.29,10.294
2014,90.9,93.04,2.55,18.086,6.45,4.373,12.586,9.215,9.86
2015,93.17,69.55,-25.25,10.136,3.058,2.427,9.102,10.246,7.566
2016,68.09,74.08,6.51,9.448,2.017,5.86,7.753,10.547,7.552
2017,74.89,99.31,34.06,11.557,6.68,8.018,6.873,10.988,9.382
2018,99.73,95.32,-4.02,0.992,17.783,5.514,5.917,9.856,8.683
2019,93.91,124.49,30.6,5.997,11.878,6.298,4.777,11.236,8.672
2020,124.66,120.91,-2.88,11.695,10.912,5.86,4.669,9.616,10.486
2021,121.3,163.6,35.31,17.17,13.243,6.837,8.581,9.573,11.624
2022,164.51,147.75,-9.69,8.27,9.901,7.207,8.081,7.151,10.53
2023,149.54,159.62,8.03,10.861,5.812,15.429,6.826,6.888,10.023
