Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,1.36,1.29,,,,,,,
1969,1.3,1.92,49.53,,,,,,
1970,1.94,1.68,-12.66,,,,,,
1971,1.66,2.32,38.16,,,,,,
1972,2.39,3.62,55.95,,,,,,
1973,3.62,3.13,-13.68,19.396,,,,,
1974,3.13,2.23,-28.83,3.039,,,,,
1975,2.27,2.57,15.69,8.874,,,,,
1976,2.57,2.63,2.21,2.54,,,,,
1977,2.63,2.47,-6.17,-7.36,,,,,
1978,2.47,2.66,7.89,-3.202,7.505,,,,
1979,2.65,3.09,15.85,6.741,4.873,,,,
1980,3.09,3.44,11.32,6.005,7.43,,,,
1981,3.44,4.35,26.71,10.588,6.488,,,,
1982,4.37,6.29,44.4,20.557,5.68,,,,
1983,6.29,6.04,-3.88,17.823,6.795,10.84,,,
1984,6.04,3.41,-43.55,1.99,4.339,3.904,,,
1985,3.41,4.09,20.0,3.522,4.756,6.111,,,
1986,4.09,5.0,22.22,2.824,6.635,5.252,,,
1987,5.0,5.91,18.18,-1.239,9.116,3.322,,,
1988,5.91,4.58,-22.53,-5.384,5.584,2.57,6.54,,
1989,4.58,6.5,41.84,13.771,7.72,7.392,6.287,,
1990,6.5,7.24,11.5,12.099,7.725,7.149,7.578,,
1991,7.24,10.39,43.5,15.752,9.097,9.592,7.785,,
1992,10.33,8.41,-19.06,7.31,2.947,8.511,4.305,,
1993,8.48,6.33,-24.71,6.686,0.47,5.95,3.584,6.569,
1994,6.27,7.34,15.9,2.461,7.968,5.937,6.138,5.511,
1995,7.31,10.88,48.23,8.487,10.278,7.979,7.482,7.759,
1996,10.88,10.65,-2.09,0.496,7.854,6.151,7.243,6.286,
1997,10.65,13.11,23.02,9.285,8.293,5.018,8.704,5.282,
1998,13.12,16.71,27.51,21.427,13.818,7.019,9.624,6.929,8.913
1999,16.7,16.32,-2.33,17.329,9.643,11.002,8.677,8.287,7.394
2000,16.0,23.99,46.96,17.133,12.727,12.518,10.198,9.346,9.267
2001,24.02,29.13,21.46,22.292,10.859,12.467,9.975,10.097,8.8
2002,29.23,15.21,-47.79,3.016,6.104,6.505,4.514,7.542,4.901
2003,15.4,16.58,9.0,-0.156,10.108,8.955,5.179,7.594,5.715
2004,16.58,18.76,13.17,2.826,9.838,7.322,8.899,7.481,7.357
2005,18.8,20.45,9.0,-3.143,6.514,7.168,8.38,7.39,7.158
2006,21.13,25.2,23.21,-2.857,8.995,6.085,8.423,7.279,7.824
2007,25.21,31.54,25.13,15.703,9.176,9.212,8.734,6.662,8.861
2008,31.45,29.11,-7.68,11.916,5.708,10.707,9.688,6.493,8.303
2009,29.24,31.88,9.5,11.188,6.925,10.286,8.276,9.353,8.09
2010,32.05,27.5,-13.74,6.103,1.375,6.377,6.9,7.921,7.175
2011,27.62,26.88,-2.25,1.299,-0.801,6.367,4.867,6.959,6.259
2012,27.23,36.21,34.72,2.8,9.061,7.008,7.573,7.52,6.008
2013,36.59,37.78,4.34,5.352,8.584,5.589,9.343,8.807,6.302
2014,37.78,39.82,5.38,4.548,7.817,6.127,8.823,7.52,8.537
2015,39.99,38.15,-4.18,6.766,6.434,3.141,6.474,6.874,7.727
2016,37.66,44.34,16.23,10.528,5.813,2.84,7.392,5.976,7.546
2017,44.38,64.64,45.78,12.288,7.439,10.126,8.304,8.5,8.301
2018,66.09,65.82,1.83,11.743,8.5,9.627,7.095,9.819,9.291
2019,66.0,83.62,27.04,15.996,10.123,10.477,8.512,10.221,8.888
2020,85.0,80.24,-4.04,16.032,11.303,9.542,6.223,8.32,8.348
2021,80.49,85.84,6.98,14.124,12.312,8.514,5.552,8.706,7.292
2022,85.52,50.97,-40.62,-4.641,3.478,3.252,6.233,5.582,6.19
2023,50.4,40.6,-20.35,-9.211,0.722,2.243,4.58,3.615,6.391
