Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1988,3.91,3.83,,,,,,,
1989,3.84,3.77,-1.43,,,,,,
1990,3.77,2.79,-26.09,,,,,,
1991,2.79,3.06,9.81,,,,,,
1992,3.09,2.27,-25.89,,,,,,
1993,2.24,2.43,7.23,-8.698,,,,,
1994,2.45,2.68,10.12,-6.597,,,,,
1995,2.64,3.91,45.92,6.983,,,,,
1996,3.98,5.84,49.3,13.799,,,,,
1997,5.85,10.6,81.62,36.099,,,,,
1998,10.66,15.75,48.55,45.323,15.188,,,,
1999,16.18,13.96,-11.33,39.107,13.987,,,,
2000,14.15,14.45,3.52,29.879,17.876,,,,
2001,14.58,12.25,-15.23,15.97,14.879,,,,
2002,12.36,9.56,-22.01,-2.044,15.463,,,,
2003,9.57,13.63,42.64,-2.85,18.82,8.831,,,
2004,13.77,17.46,28.09,4.576,20.612,10.759,,,
2005,17.5,17.57,0.6198,3.987,16.214,13.052,,,
2006,17.86,23.68,34.79,14.09,15.026,14.616,,,
2007,24.48,23.87,0.7898,20.082,8.456,16.983,,,
2008,24.04,12.29,-48.49,-2.048,-2.45,11.411,6.003,,
2009,12.19,18.04,46.76,0.656,2.597,13.555,8.142,,
2010,18.45,10.17,-43.63,-10.358,-3.452,6.58,6.681,,
2011,10.18,8.57,-15.73,-18.394,-3.51,2.59,5.284,,
2012,8.76,9.42,9.92,-16.969,-0.147,-0.784,7.375,,
2013,9.58,12.39,31.53,0.162,-0.949,-1.587,8.486,4.808,
2014,12.04,9.39,-24.21,-12.242,-6.014,-2.609,6.47,3.718,
2015,9.61,7.33,-21.94,-6.339,-8.371,-4.424,3.192,3.939,
2016,7.21,6.77,-7.64,-4.606,-11.769,-3.876,0.742,3.227,
2017,6.89,8.5,25.55,-2.034,-9.81,-0.78,-1.098,5.423,
2018,8.52,5.29,-37.76,-15.652,-8.084,-6.115,-5.309,3.161,1.082
2019,5.18,5.58,5.48,-9.886,-11.072,-7.323,-4.482,2.977,1.316
2020,5.66,4.94,-11.47,-7.589,-6.966,-8.111,-5.225,0.94,1.923
2021,5.0,5.87,18.83,-2.813,-3.713,-8.879,-3.612,0.02,2.195
2022,5.9,6.01,2.39,-6.698,-4.395,-8.785,-2.294,-2.244,3.299
2023,6.16,7.81,29.95,8.103,-4.51,-2.977,-2.746,-2.767,3.968
