Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,1.77,1.98,,,,,,,
1969,1.98,1.7,-14.4,,,,,,
1972,1.94,1.89,11.74,,,,,,
1973,1.91,1.73,-8.52,,,,,,
1974,1.75,1.88,8.38,,,,,,
1975,1.88,1.85,-1.43,-1.349,,,,,
1976,1.85,2.03,9.88,3.612,,,,,
1977,2.05,2.13,4.5,2.42,,,,,
1978,2.13,2.36,11.14,6.408,,,,,
1979,2.36,2.24,-5.01,3.566,,,,,
1980,2.26,2.16,-3.6,3.147,0.874,,,,
1981,2.15,2.12,-2.24,0.871,2.232,,,,
1982,2.1,2.55,20.61,3.665,3.04,,,,
1983,2.55,3.49,36.71,8.139,7.27,,,,
1984,3.49,3.47,-0.4645,9.148,6.321,,,,
1985,3.46,3.89,12.09,12.486,7.715,4.605,,,
1986,3.86,3.49,-10.37,10.484,5.568,4.912,,,
1987,3.49,3.68,5.56,7.612,5.62,4.542,,,
1988,3.7,4.04,9.65,2.97,5.523,5.817,,,
1989,4.02,5.07,25.6,7.879,8.512,6.837,,,
1990,5.07,4.41,-13.06,2.541,7.399,5.962,4.085,,
1991,4.41,5.33,20.88,8.838,9.658,6.647,5.88,,
1992,5.34,4.2,-21.21,2.679,5.117,4.63,4.073,,
1993,4.21,4.51,7.31,2.225,2.597,4.412,4.907,,
1994,4.51,4.15,-7.89,-3.926,1.806,4.197,4.039,,
1995,4.17,4.46,7.39,0.226,1.377,4.952,4.498,3.302,
1996,4.47,6.17,38.41,2.97,5.863,7.382,5.716,5.292,
1997,6.15,8.61,39.53,15.439,8.872,8.45,7.234,6.253,
1998,8.61,9.8,13.88,16.791,9.266,7.126,7.378,7.183,
1999,9.75,23.3,137.73,41.209,16.476,13.536,12.423,10.593,
2000,23.64,31.63,35.73,47.963,21.777,14.994,14.362,12.026,9.677
2001,31.56,24.92,-21.21,32.206,16.676,14.003,13.113,10.551,9.363
2002,24.87,19.68,-21.01,17.979,16.702,11.827,10.758,9.301,8.123
2003,19.83,24.44,24.15,20.054,18.411,12.75,10.221,9.801,9.228
2004,24.6,26.37,7.92,2.506,20.311,11.62,10.672,10.366,9.202
2005,26.23,26.18,-0.7459,-3.712,19.361,12.608,10.002,10.494,9.235
2006,26.08,27.0,3.15,1.616,15.907,11.423,10.771,10.714,9.009
2007,26.97,39.74,47.19,15.091,16.526,16.162,12.634,11.611,10.246
2008,39.82,20.49,-48.44,-3.464,7.654,10.618,8.457,7.337,7.47
2009,20.55,27.61,34.75,0.923,1.712,13.467,8.844,8.65,8.733
2010,28.09,35.46,28.43,6.256,1.15,14.822,10.985,9.242,9.777
2011,35.67,41.67,17.51,9.067,5.276,13.58,10.829,10.428,10.437
2012,42.46,42.94,3.05,1.561,8.114,11.307,12.326,10.327,9.87
2013,43.59,43.29,0.8151,16.137,5.884,10.411,11.972,9.951,8.756
2014,43.34,45.86,5.94,10.681,5.69,4.618,12.764,9.209,8.986
2015,45.69,38.62,-15.79,1.722,3.964,1.34,11.397,9.067,7.952
2016,38.09,43.24,11.96,0.742,4.822,3.742,10.225,8.734,8.752
2017,43.23,48.01,11.03,2.257,1.908,6.126,8.972,10.236,8.939
2018,48.04,39.53,-17.66,-1.801,6.792,3.258,7.222,9.071,7.899
2019,39.27,46.35,17.25,0.213,5.317,3.832,3.499,10.134,7.655
2020,46.39,42.8,-7.66,2.077,1.899,3.331,1.524,9.467,7.87
2021,43.18,52.04,21.59,3.774,2.247,4.472,3.75,8.904,7.891
2022,52.05,43.95,-15.55,-1.752,0.233,0.674,4.099,6.738,8.141
2023,43.74,41.45,-5.69,0.953,-0.433,4.809,2.677,5.938,7.674
