Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1972,1.87,1.93,,,,,,,
1973,1.95,1.77,-8.41,,,,,,
1974,1.8,0.9373,-46.94,,,,,,
1975,0.9373,1.24,32.7,,,,,,
1976,1.24,1.14,-8.7,,,,,,
1977,1.14,0.9193,-19.05,-13.786,,,,,
1978,0.8833,1.48,60.79,-3.515,,,,,
1979,1.5,1.87,26.83,14.813,,,,,
1980,1.96,2.81,50.0,17.776,,,,,
1981,2.81,1.68,-40.38,8.064,,,,,
1982,1.68,0.8742,-47.85,-1.001,-7.614,,,,
1983,0.9013,1.82,108.26,4.223,0.279,,,,
1984,1.82,1.19,-34.65,-8.643,2.416,,,,
1985,1.2,1.71,43.94,-9.456,3.266,,,,
1986,1.71,2.01,17.48,3.652,5.835,,,,
1987,2.03,3.55,76.34,32.35,14.466,4.147,,,
1988,3.55,4.17,17.68,18.036,10.914,5.879,,,
1989,4.2,5.08,21.76,33.679,10.51,11.926,,,
1990,5.13,5.41,6.38,25.904,6.77,10.319,,,
1991,5.41,7.07,30.8,28.601,15.455,12.936,,,
1992,7.09,6.34,-10.4,12.298,21.912,13.739,6.127,,
1993,6.36,8.22,29.69,14.537,16.273,12.109,7.98,,
1994,8.26,10.66,29.74,15.979,24.515,12.304,12.926,,
1995,10.38,10.75,0.8515,14.721,20.183,9.357,11.404,,
1996,10.85,10.75,,8.742,18.255,13.172,11.873,,
1997,10.66,7.04,-34.51,2.117,7.086,14.92,10.715,5.313,
1998,7.0,5.47,-22.3,-7.823,2.751,7.612,6.755,4.617,
1999,5.81,10.11,84.78,-1.054,7.124,15.331,8.804,9.98,
2000,10.11,7.99,-20.94,-5.762,3.976,10.825,5.364,7.737,
2001,8.09,8.42,5.32,-4.768,1.763,10.021,8.393,8.327,
2002,8.59,9.61,14.14,6.422,4.247,6.864,12.734,9.843,5.497
2003,9.61,15.26,58.78,22.776,6.382,9.034,11.218,9.782,7.445
2004,15.38,20.07,31.54,14.699,6.532,9.592,15.173,9.958,10.753
2005,20.18,27.93,39.13,28.441,10.019,11.564,14.988,9.621,10.94
2006,28.58,33.22,18.94,31.588,11.944,10.866,15.056,12.679,11.896
2007,33.15,58.53,76.2,43.526,23.589,15.972,15.042,18.313,14.85
2008,59.38,35.85,-38.75,18.628,20.684,10.317,11.357,12.662,11.209
2009,36.66,64.0,78.51,26.103,20.266,12.692,13.505,17.28,12.498
2010,65.94,77.66,21.34,22.695,25.535,14.091,14.248,16.49,11.699
2011,78.43,59.03,-23.99,12.185,21.5,12.024,11.194,14.476,12.597
2012,62.37,65.54,11.03,2.288,21.165,16.037,12.388,12.37,15.477
2013,67.03,57.0,-13.03,9.718,14.086,16.912,10.167,11.027,12.166
2014,56.33,39.55,-30.62,-9.178,7.019,9.52,6.775,8.555,12.388
2015,39.58,22.97,-41.91,-21.622,-1.936,7.294,3.869,5.954,9.045
2016,22.36,31.91,38.9,-11.576,-0.402,9.288,5.591,6.214,9.654
2017,32.96,41.01,28.54,-8.951,-3.495,10.157,9.211,7.754,8.498
2018,41.69,43.06,5.0,-5.455,1.849,7.16,10.868,6.848,8.093
2019,41.59,48.79,13.29,4.289,-2.677,6.101,8.188,6.273,7.832
2020,49.24,58.27,19.43,20.464,-2.832,5.025,10.445,6.995,8.245
2021,60.64,53.82,-7.64,11.021,-0.92,3.269,9.719,6.655,7.0
2022,54.03,62.05,15.29,8.635,-0.546,0.39,9.774,9.095,7.9
2023,61.58,58.26,-6.11,6.233,0.219,3.29,6.928,9.925,6.746
