Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1980,2.56,2.96,,,,,,,
1981,2.96,1.44,-51.25,,,,,,
1982,1.46,1.35,-6.41,,,,,,
1983,1.35,2.5,84.92,,,,,,
1984,2.5,2.15,-14.07,,,,,,
1985,2.15,5.06,135.34,11.32,,,,,
1986,5.06,5.75,13.74,31.905,,,,,
1987,5.83,5.08,-11.59,30.348,,,,,
1988,5.17,5.67,11.47,17.795,,,,,
1989,5.71,5.33,-5.88,19.911,,,,,
1990,5.33,6.17,15.62,4.046,7.622,,,,
1991,6.17,6.58,6.76,2.733,16.409,,,,
1992,6.63,5.71,-13.29,2.366,15.513,,,,
1993,5.75,3.33,-41.61,-10.097,2.908,,,,
1994,3.42,9.25,177.5,11.656,15.71,,,,
1995,9.13,14.17,53.15,18.091,10.846,11.004,,,
1996,14.17,15.0,5.88,17.916,10.063,16.909,,,
1997,14.94,13.06,-12.92,17.994,9.903,16.334,,,
1998,13.0,10.5,-19.62,25.82,6.356,10.04,,,
1999,10.56,11.69,11.31,4.794,8.17,11.95,,,
2000,11.69,15.9,36.04,2.331,9.929,7.932,8.769,,
2001,16.0,31.65,99.06,16.106,17.008,12.042,16.708,,
2002,31.25,38.7,22.27,24.266,21.09,14.496,18.268,,
2003,38.45,57.67,49.02,40.589,33.0,16.723,16.99,,
2004,57.5,57.37,-0.5202,37.459,20.02,17.165,17.845,,
2005,58.5,65.44,14.07,32.706,16.533,17.05,13.654,13.183,
2006,64.7,82.52,26.1,21.126,18.59,18.365,14.247,17.578,
2007,81.77,103.62,25.57,21.772,23.013,21.317,16.273,18.961,
2008,103.25,75.31,-27.32,5.483,21.777,23.11,13.806,14.593,
2009,75.6,96.46,28.08,10.951,23.496,16.918,15.58,16.433,
2010,97.33,103.85,7.66,9.676,20.643,14.201,15.161,12.847,12.591
2011,104.3,96.04,-7.52,3.081,11.74,13.177,14.343,11.921,15.028
2012,97.99,105.05,9.38,0.274,10.502,14.912,15.675,12.881,15.621
2013,106.47,123.61,17.67,10.418,7.922,17.867,19.807,13.12,13.886
2014,123.93,120.56,-2.47,4.561,7.709,16.831,13.698,13.287,14.365
2015,121.47,138.66,15.01,5.952,7.798,15.532,12.08,13.257,11.667
2016,136.59,182.28,31.46,13.673,8.248,12.381,13.301,14.209,12.211
2017,182.96,238.67,30.94,17.837,8.701,12.894,15.636,16.104,13.692
2018,238.67,232.22,-2.7,13.441,11.919,9.731,16.744,18.505,13.173
2019,229.73,370.03,59.34,25.143,14.39,13.232,18.856,15.9,15.182
2020,372.08,582.94,57.54,33.271,18.829,15.696,19.732,16.03,16.371
2021,580.99,755.57,29.61,32.895,22.909,15.908,17.191,16.973,17.13
2022,752.17,420.49,-44.35,11.993,14.878,9.788,12.668,14.898,15.408
2023,427.08,394.6,-6.16,11.186,12.308,11.674,10.093,15.611,17.253
