Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1979,245.0,320.0,,,,,,,
1980,315.0,425.0,32.81,,,,,,
1981,430.0,560.0,31.76,,,,,,
1982,560.0,775.0,38.39,,,,,,
1983,775.0,1310.0,69.03,,,,,,
1984,1300.0,1275.0,-2.67,31.848,,,,,
1985,1275.0,2470.0,93.73,42.188,,,,,
1986,2470.0,2820.0,14.17,38.17,,,,,
1987,2915.0,2950.0,4.61,30.648,,,,,
1988,3150.0,4700.0,59.32,29.112,,,,,
1989,4650.0,8675.0,84.57,46.741,39.095,,,,
1990,8625.0,6675.0,-23.05,21.997,31.706,,,,
1991,6750.0,9050.0,35.58,26.264,32.083,,,,
1992,8725.0,11750.0,29.83,31.839,31.242,,,,
1993,11800.0,16325.0,38.94,28.278,28.694,,,,
1994,16375.0,20400.0,24.96,18.651,31.951,31.916,,,
1995,20500.0,32100.0,57.35,36.902,29.235,33.416,,,
1996,32000.0,34100.0,6.23,30.383,28.307,31.514,,,
1997,33900.0,46000.0,34.9,31.384,31.611,31.29,,,
1998,46000.0,70000.0,52.17,33.798,31.009,30.373,,,
1999,70400.0,56100.0,-19.86,22.424,20.523,28.696,29.476,,
2000,56100.0,71000.0,26.56,17.206,26.672,25.094,29.165,,
2001,71500.0,75600.0,6.48,17.261,23.648,24.514,27.796,,
2002,74800.0,72750.0,-3.77,9.601,20.0,23.823,25.495,,
2003,72650.0,84250.0,15.81,3.775,17.834,21.217,23.144,,
2004,84250.0,87900.0,4.33,9.397,15.727,16.694,23.573,25.185,
2005,87910.0,88620.0,0.8191,4.533,10.689,18.815,19.603,23.813,
2006,88250.0,109990.0,24.11,7.787,12.424,18.117,20.103,23.517,
2007,110400.0,141600.0,28.74,14.247,11.9,18.051,21.356,23.16,
2008,141800.0,96600.0,-31.78,2.774,3.273,12.584,16.317,18.77,
2009,95200.0,99200.0,2.69,2.448,5.866,11.12,12.957,19.026,21.072
2010,99350.0,120450.0,21.42,6.33,5.428,9.216,15.563,16.822,20.711
2011,120550.0,114755.0,-4.73,0.852,4.262,8.426,13.542,15.979,19.413
2012,115850.0,134060.0,16.82,-1.088,6.303,7.391,12.944,16.493,18.741
2013,136850.0,177900.0,32.7,12.99,7.761,6.416,12.685,15.644,17.787
2014,177500.0,226000.0,27.04,17.902,9.904,9.734,12.778,13.929,18.837
2015,227230.0,197800.0,-12.48,10.429,8.36,7.069,9.518,14.517,15.731
2016,195000.0,244121.0,23.42,16.297,8.299,8.128,10.342,14.088,16.032
2017,246382.0,297600.0,21.91,17.292,7.71,9.847,9.785,13.8,16.626
2018,297400.0,306000.0,2.82,11.457,12.221,8.979,7.654,12.438,14.935
2019,302000.0,339590.0,10.98,8.485,13.095,9.429,9.421,11.906,13.003
2020,341150.0,347815.0,2.42,11.95,11.187,9.544,8.269,10.0,14.085
2021,347825.0,450662.0,29.57,13.044,14.659,9.858,9.337,10.878,13.913
2022,452005.0,468711.0,4.0,9.51,13.334,8.307,9.762,9.73,13.074
2023,472950.0,550000.0,17.34,12.442,11.949,12.295,9.835,8.595,12.439
