Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1977,2.25,2.56,,,,,,,
1978,2.69,2.69,4.88,,,,,,
1979,2.75,2.69,,,,,,,
1980,2.5,2.75,2.33,,,,,,
1981,3.0,3.25,18.18,,,,,,
1982,3.88,4.94,51.92,14.051,,,,,
1983,5.0,1.31,-73.42,-13.403,,,,,
1984,1.31,2.06,57.14,-5.197,,,,,
1985,2.03,2.25,9.09,-3.934,,,,,
1986,2.25,3.41,51.39,0.966,,,,,
1987,3.41,4.13,21.1,-3.518,4.899,,,,
1988,4.19,4.03,-2.27,25.201,4.125,,,,
1989,4.03,6.66,65.12,26.451,9.489,,,,
1990,6.72,5.47,-17.84,19.443,7.119,,,,
1991,5.47,5.75,5.14,11.015,5.871,,,,
1992,5.75,7.38,28.26,12.311,4.096,7.314,,,
1993,7.34,4.06,-44.92,0.148,11.976,2.782,,,
1994,4.0,6.75,66.15,0.269,12.601,6.325,,,
1995,6.75,9.19,36.11,10.934,15.11,8.376,,,
1996,8.94,8.25,-10.2,7.487,9.237,6.407,,,
1997,8.22,9.38,13.64,4.913,8.549,4.367,6.708,,
1998,9.38,8.75,-6.67,16.599,8.061,13.496,6.075,,
1999,8.75,5.13,-41.43,-5.341,-2.576,6.271,3.28,,
2000,5.25,7.91,54.27,-2.955,3.757,8.743,5.425,,
2001,7.94,8.5,7.51,0.599,3.986,6.278,4.924,,
2002,8.51,9.85,15.88,0.983,2.929,5.966,3.511,5.538,
2003,9.97,13.84,40.46,9.604,13.048,8.573,12.511,6.772,
2004,13.78,17.32,25.23,27.552,9.881,6.579,11.233,7.734,
2005,17.35,22.52,29.99,23.276,9.377,9.894,12.207,8.775,
2006,22.73,28.33,25.8,27.223,13.13,11.217,11.167,9.047,
2007,29.02,39.28,38.65,31.87,15.398,11.791,11.921,8.647,9.529
2008,39.05,26.55,-32.4,13.916,11.739,13.336,9.885,12.79,7.93
2009,26.5,32.33,21.75,13.295,20.212,11.008,8.22,11.642,8.641
2010,32.52,38.85,20.17,11.523,17.252,10.088,10.299,12.07,9.228
2011,38.8,47.44,22.11,10.861,18.761,12.369,11.128,11.106,9.347
2012,47.59,50.63,6.71,5.208,17.787,11.896,10.108,10.545,8.066
2013,50.63,53.71,6.09,15.133,14.523,12.859,13.783,10.915,13.177
2014,53.12,53.91,0.3724,10.768,12.024,16.978,10.948,8.725,11.496
2015,53.55,55.23,2.44,7.289,9.386,13.833,9.381,9.69,11.258
2016,54.69,56.34,2.01,3.499,7.117,13.438,10.082,9.558,9.8
2017,56.58,66.99,18.91,5.76,5.483,13.633,10.329,9.224,9.733
2018,67.71,31.86,-52.44,-9.918,1.84,5.716,6.675,8.59,7.135
2019,31.23,42.46,33.27,-4.663,2.763,6.16,11.146,7.633,6.369
2020,42.94,37.49,-11.71,-7.456,-0.356,3.456,8.09,5.785,6.626
2021,37.92,37.41,-0.2134,-7.863,-2.347,1.871,7.691,6.233,6.441
2022,37.52,39.98,6.87,-9.808,-2.334,0.118,7.256,5.971,5.794
2023,40.31,32.94,-17.61,0.669,-4.772,1.448,4.431,5.446,7.228
