Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,3.45,3.64,,,,,,,
1969,3.7,3.54,-2.58,,,,,,
1970,3.46,3.56,0.5873,,,,,,
1971,3.52,3.94,10.53,,,,,,
1972,3.94,5.54,40.74,,,,,,
1973,5.54,5.58,0.7525,8.92,,,,,
1974,5.56,4.04,-27.61,2.678,,,,,
1975,4.08,5.81,43.81,10.292,,,,,
1976,5.81,7.25,24.73,12.971,,,,,
1977,7.25,6.86,-5.39,4.367,,,,,
1978,6.84,7.34,7.06,5.636,7.265,,,,
1979,7.34,6.75,-8.09,10.811,6.667,,,,
1980,6.73,7.25,7.41,4.528,7.371,,,,
1981,7.25,6.94,-4.31,-0.87,5.825,,,,
1982,6.91,5.02,-27.7,-6.055,-0.981,,,,
1983,5.06,5.91,17.76,-4.241,0.576,3.284,,,
1984,5.89,3.88,-34.39,-10.483,-0.403,0.613,,,
1985,3.88,5.25,35.48,-6.252,-1.008,2.624,,,
1986,5.25,5.02,-4.46,-6.272,-3.609,1.628,,,
1987,5.02,7.75,54.52,9.074,1.227,2.263,,,
1988,7.75,7.95,2.62,6.11,0.802,2.388,3.983,,
1989,7.95,7.23,-9.04,13.256,0.689,3.956,3.635,,
1990,7.23,5.88,-18.79,2.292,-2.073,0.08,2.541,,
1991,5.88,5.48,-6.65,1.769,-2.334,-1.849,1.663,,
1992,5.48,6.7,22.22,-2.87,2.929,-0.157,0.955,,
1993,6.73,11.13,65.97,6.961,6.535,2.814,3.513,4.572,
1994,11.17,13.78,23.88,13.769,13.512,4.873,6.327,5.587,
1995,13.72,14.69,6.58,20.096,10.837,4.82,4.747,5.833,
1996,14.66,18.81,28.09,27.974,14.122,6.873,4.882,6.452,
1997,18.44,24.25,28.9,29.338,12.083,11.071,6.517,6.084,
1998,24.44,23.0,-5.15,15.624,11.208,9.482,5.877,5.829,6.338
1999,23.97,23.53,2.31,11.295,12.525,12.768,6.443,7.302,6.517
2000,24.44,23.66,0.5312,10.001,14.938,10.558,6.092,5.778,6.517
2001,23.13,26.13,10.44,6.795,16.906,11.625,6.854,5.262,6.509
2002,26.18,22.86,-12.5,-1.174,13.058,7.478,7.874,4.933,4.838
2003,22.98,41.51,81.58,12.534,14.069,11.648,10.237,7.176,6.918
2004,41.59,48.76,17.45,15.688,13.47,13.569,13.491,8.231,8.657
2005,48.05,57.77,18.49,19.547,14.675,16.454,12.74,8.656,7.957
2006,57.87,61.33,6.16,18.606,12.546,17.47,13.331,9.107,7.377
2007,61.71,72.56,18.31,25.987,11.583,17.213,11.833,11.276,8.18
2008,72.56,44.67,-38.44,1.478,6.863,9.707,9.014,8.427,6.205
2009,44.91,56.99,27.58,3.168,9.249,9.927,10.875,11.347,7.37
2010,57.65,93.66,64.34,10.146,14.75,13.145,14.844,12.216,8.903
2011,94.38,90.6,-3.27,8.116,13.24,11.049,15.058,12.268,8.941
2012,92.77,89.61,-1.09,4.311,14.638,9.105,13.845,10.286,10.083
2013,92.95,90.81,1.34,15.245,8.143,9.587,11.066,10.233,9.535
2014,90.41,91.53,0.7929,9.939,6.5,9.479,9.93,10.687,11.111
2015,91.77,67.96,-25.75,-6.214,1.638,7.288,7.96,10.285,8.911
2016,66.88,92.74,36.46,0.468,4.222,8.812,8.304,11.98,10.209
2017,94.0,157.58,69.92,11.951,8.064,13.735,9.809,13.464,10.562
2018,158.3,127.07,-19.36,6.95,11.02,7.744,8.922,10.231,9.679
2019,124.03,147.68,16.22,10.04,9.99,7.667,9.619,9.952,10.579
2020,149.0,182.02,23.25,21.779,6.87,7.951,10.74,10.592,12.122
2021,183.0,206.74,13.58,17.39,8.6,8.438,10.896,10.063,12.864
2022,207.33,239.56,15.88,8.738,10.333,8.288,12.465,9.594,12.662
2023,240.68,286.25,19.49,17.636,12.166,13.183,10.136,10.612,11.432
