Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1986,3.95,3.41,,,,,,,
1987,3.41,3.41,,,,,,,
1988,3.41,3.59,5.26,,,,,,
1989,3.56,3.83,6.66,,,,,,
1990,3.83,3.71,-3.13,,,,,,
1991,3.71,3.68,-0.8052,1.536,,,,,
1992,3.68,2.93,-20.33,-2.989,,,,,
1993,2.96,3.65,24.49,0.332,,,,,
1994,3.59,4.31,18.03,2.39,,,,,
1995,4.28,6.44,49.31,11.661,,,,,
1996,6.44,11.62,80.46,25.855,13.043,,,,
1997,11.56,25.56,119.98,54.219,22.315,,,,
1998,25.56,25.69,0.527,47.739,21.749,,,,
1999,25.74,14.46,-43.71,27.391,14.208,,,,
2000,14.1,13.66,-5.59,16.229,13.922,,,,
2001,13.52,13.61,-0.3156,3.212,13.973,9.666,,,
2002,13.51,15.61,14.68,-9.392,18.21,10.673,,,
2003,15.68,15.72,0.6906,-9.356,15.722,10.346,,,
2004,15.65,14.99,-4.66,0.723,13.275,9.523,,,
2005,15.11,13.78,-8.06,0.175,7.904,9.142,,,
2006,13.84,14.68,6.52,1.525,2.365,9.663,7.572,,
2007,14.76,18.71,27.47,3.689,-3.072,13.157,8.884,,
2008,18.61,8.65,-53.78,-11.261,-10.314,5.921,4.495,,
2009,8.62,15.24,76.23,0.331,0.527,8.785,7.149,,
2010,15.41,17.99,18.07,5.477,2.792,7.089,8.214,,
2011,18.06,18.53,3.0,4.768,3.134,3.16,8.418,7.005,
2012,18.92,22.8,23.08,4.033,3.861,-0.759,10.803,7.896,
2013,23.07,31.72,39.08,29.677,7.272,1.416,11.417,9.106,
2014,31.52,31.78,0.204,15.833,7.804,5.39,10.505,8.832,
2015,31.8,35.39,11.35,14.491,9.891,6.552,8.893,9.441,
2016,34.7,31.4,-11.27,11.125,7.9,5.732,5.096,8.954,7.681
2017,31.16,39.85,26.91,11.815,7.854,6.447,2.245,11.005,8.54
2018,39.88,45.85,15.06,7.647,18.15,7.397,2.939,10.653,8.862
2019,45.22,50.88,10.97,9.87,12.812,8.488,6.492,10.378,9.005
2020,50.99,49.83,-2.06,7.083,10.725,8.947,6.685,8.529,9.045
2021,49.69,55.93,12.24,12.239,11.68,9.327,7.322,6.487,9.495
2022,55.91,55.32,-1.09,6.78,9.268,7.495,6.53,3.137,10.289
2023,55.43,62.32,12.65,6.33,6.987,14.071,7.129,3.608,9.92
