Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,6.79,8.39,,,,,,,
1969,8.36,1.9,-77.32,,,,,,
1970,1.83,2.01,5.84,,,,,,
1971,2.0,2.13,5.52,,,,,,
1972,2.14,2.94,38.56,,,,,,
1973,2.99,2.53,-14.15,-21.319,,,,,
1974,2.53,1.67,-34.07,-2.548,,,,,
1975,1.67,1.88,12.5,-1.328,,,,,
1976,1.88,2.4,28.14,2.416,,,,,
1977,2.4,2.78,15.61,-1.113,,,,,
1978,2.78,3.33,20.0,5.649,-8.827,,,,
1979,3.33,3.24,-2.92,14.174,5.482,,,,
1980,3.24,3.15,-2.57,10.874,4.595,,,,
1981,3.15,3.33,5.73,6.769,4.57,,,,
1982,3.31,3.28,-1.67,3.363,1.1,,,,
1983,3.26,4.15,26.7,4.501,5.073,-4.584,,,
1984,4.12,5.03,21.07,9.195,11.657,6.706,,,
1985,5.03,9.96,98.06,25.89,18.144,11.26,,,
1986,9.93,11.46,15.06,28.041,16.922,11.872,,,
1987,11.46,11.72,2.3,29.006,15.475,9.658,,,
1988,11.72,15.42,31.52,30.019,16.564,12.806,3.09,,
1989,15.33,17.71,14.87,28.626,18.513,17.049,11.808,,
1990,17.71,18.92,6.82,13.693,19.636,16.641,11.863,,
1991,18.83,29.92,58.15,21.159,24.552,18.318,14.125,,
1992,29.67,39.88,33.29,27.751,28.377,19.43,13.925,,
1993,40.13,41.88,5.02,22.119,26.007,18.387,15.065,6.642,
1994,41.88,37.75,-9.85,16.343,22.331,17.785,16.872,12.701,
1995,37.75,41.75,10.6,17.151,15.409,18.802,16.768,12.901,
1996,41.75,54.38,30.24,12.693,16.849,20.467,16.886,13.837,
1997,54.63,50.13,-7.82,4.681,15.642,19.936,15.559,12.013,
1998,50.19,30.81,-38.53,-5.955,7.167,14.299,11.767,10.515,4.431
1999,30.88,22.38,-27.38,-9.928,2.368,10.464,10.145,10.939,8.568
2000,22.38,7.44,-66.76,-29.176,-8.911,-1.926,4.391,5.657,4.459
2001,7.38,2.54,-65.85,-45.815,-21.858,-9.557,-1.345,0.227,0.589
2002,2.55,7.95,212.99,-30.808,-14.894,-2.554,4.526,4.292,3.371
2003,7.86,9.06,13.96,-21.713,-14.195,-3.483,3.981,4.085,4.344
2004,9.04,13.74,51.66,-9.296,-9.613,-1.678,5.153,5.949,7.278
2005,13.64,19.53,42.14,21.29,-7.316,0.212,3.424,7.571,8.115
2006,19.5,20.92,7.12,52.456,-9.111,-2.357,3.055,7.628,7.484
2007,20.92,25.65,22.61,26.399,-6.481,-2.899,3.994,8.575,7.688
2008,25.61,19.2,-25.15,16.208,-4.619,-5.066,1.102,6.319,6.014
2009,19.28,25.58,33.23,13.236,1.345,-2.561,1.855,6.722,7.13
2010,25.38,33.38,30.49,11.316,16.196,-1.481,2.879,4.956,8.186
2011,33.57,33.58,0.5992,9.927,29.457,-3.163,0.579,4.394,8.008
2012,34.15,36.81,9.62,7.492,16.563,-2.038,-0.4,4.684,8.393
2013,37.2,44.57,21.08,18.345,17.271,2.492,0.312,4.337,8.235
2014,44.45,50.9,14.2,14.753,13.992,5.631,1.506,4.313,8.02
2015,50.9,50.7,-0.3929,8.719,10.01,13.648,0.976,4.022,5.574
2016,49.78,52.57,3.69,9.378,9.652,22.385,-0.169,2.28,5.209
2017,52.65,56.25,7.0,8.851,8.169,13.933,0.578,1.385,5.367
2018,56.81,41.57,-26.1,-1.384,8.031,10.69,1.509,-0.03,3.361
2019,40.98,72.54,74.5,7.343,10.986,11.731,6.056,2.647,4.812
2020,72.85,100.2,38.13,14.597,11.619,11.518,13.885,3.564,5.714
2021,100.32,110.62,10.4,16.043,12.661,11.742,20.767,2.881,4.455
2022,110.56,82.21,-25.68,7.885,8.367,8.074,12.39,1.998,2.441
2023,82.68,93.87,14.18,17.693,7.733,11.16,12.401,4.557,2.727
