Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,0.9245,1.03,,,,,,,
1969,1.02,0.9271,-9.64,,,,,,
1970,0.9062,0.9948,7.3,,,,,,
1971,0.9948,1.22,22.77,,,,,,
1972,1.24,1.96,60.56,,,,,,
1973,1.97,1.55,-20.71,8.517,,,,,
1974,1.55,1.51,-3.02,10.248,,,,,
1975,1.5,1.8,19.17,12.592,,,,,
1976,1.8,1.72,-4.35,7.111,,,,,
1977,1.72,1.35,-21.36,-7.186,,,,,
1978,1.35,1.04,-23.12,-7.671,0.097,,,,
1979,1.04,0.8984,-13.54,-9.864,-0.314,,,,
1980,0.8984,0.9141,1.75,-12.674,-0.842,,,,
1981,0.9141,1.05,14.53,-9.399,-1.489,,,,
1982,1.05,1.23,17.16,-1.845,-4.552,,,,
1983,1.23,1.34,9.55,5.2,-1.445,1.77,,,
1984,1.34,1.55,15.69,11.525,0.262,3.486,,,
1985,1.55,2.05,31.66,17.531,1.309,4.938,,,
1986,2.04,2.55,24.81,19.418,4.016,5.038,,,
1987,2.57,2.45,-3.98,14.776,6.141,1.499,,,
1988,2.45,2.94,19.75,17.017,10.951,4.36,5.384,,
1989,2.93,3.97,35.11,20.696,16.02,6.657,7.543,,
1990,3.97,4.61,16.14,17.595,17.563,6.47,7.969,,
1991,4.59,6.11,32.54,19.097,19.257,8.818,8.389,,
1992,6.06,6.97,14.07,23.257,18.941,11.565,6.549,,
1993,6.97,7.8,11.88,21.548,19.261,14.377,8.415,8.435,
1994,7.75,7.92,1.6,14.812,17.717,15.616,8.639,8.959,
1995,7.89,8.78,10.85,13.752,15.658,16.279,8.246,9.101,
1996,8.75,11.53,31.32,13.542,16.286,17.321,9.98,9.4,
1997,11.53,18.38,59.35,21.401,22.326,19.756,13.946,9.366,
1998,18.63,23.22,26.36,24.381,22.956,20.944,16.8,11.435,10.943
1999,23.25,32.5,39.97,32.627,23.398,22.491,19.652,13.062,12.588
2000,32.0,32.27,-0.6923,29.736,21.481,20.172,19.506,12.238,12.297
2001,31.68,28.88,-10.53,20.158,16.803,17.563,18.024,11.944,11.124
2002,28.63,26.21,-9.21,7.356,14.162,17.117,16.527,12.597,9.029
2003,26.26,25.02,-4.54,1.504,12.362,15.344,15.76,13.566,9.715
2004,24.98,25.58,2.22,-4.676,12.439,13.225,15.048,14.334,9.892
2005,25.45,27.43,7.21,-3.198,12.066,12.625,13.848,14.575,9.504
2006,27.49,32.62,18.94,2.465,10.96,11.814,13.592,14.734,10.306
2007,32.98,38.98,19.5,8.262,7.808,12.161,14.838,14.825,11.862
2008,39.0,34.27,-12.08,6.494,3.969,10.371,13.065,13.845,12.356
2009,34.23,41.08,19.86,9.938,2.37,11.599,12.394,14.007,13.59
2010,41.24,40.19,-2.17,7.939,2.219,10.673,11.435,12.64,13.441
2011,40.17,46.2,14.96,7.209,4.81,9.695,10.645,12.286,13.444
2012,45.7,52.27,13.15,6.043,7.147,7.216,10.599,13.022,13.313
2013,52.8,65.21,24.76,13.731,10.053,7.126,11.202,13.198,13.826
2014,64.89,69.19,6.1,10.99,10.462,5.166,11.446,12.111,13.499
2015,69.17,66.62,-3.71,10.636,9.279,4.951,10.664,11.275,12.304
2016,65.4,65.44,-1.77,7.211,7.21,5.605,9.069,9.949,11.423
2017,65.56,75.45,15.3,7.617,6.827,7.303,7.316,9.996,12.103
2018,75.43,59.52,-21.11,-1.809,5.676,5.948,4.819,8.468,10.546
2019,59.24,68.84,15.66,-0.101,5.298,6.822,3.824,9.035,9.977
2020,68.84,85.51,24.22,5.119,7.842,7.875,4.993,9.532,10.224
2021,84.78,85.34,-0.1988,5.454,6.329,6.621,5.567,8.336,9.187
2022,84.55,78.79,-7.68,0.87,4.189,4.803,5.657,5.995,8.42
2023,78.79,73.27,-7.01,4.244,1.172,5.196,5.519,4.704,7.753
