Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1972,0.061,0.0561,,,,,,,
1973,0.0549,0.0171,-69.52,,,,,,
1974,0.0146,0.0122,-28.65,,,,,,
1975,0.0122,0.0244,100.0,,,,,,
1976,0.0244,0.0366,50.0,,,,,,
1977,0.0366,0.0537,46.72,-0.871,,,,,
1978,0.0537,0.1219,127.0,48.116,,,,,
1979,0.1219,0.2658,118.05,85.199,,,,,
1980,0.2585,0.439,65.16,78.244,,,,,
1981,0.4426,0.4445,1.25,64.77,,,,,
1982,0.4445,0.5761,29.61,60.733,26.227,,,,
1983,0.5761,0.7737,34.3,44.715,46.406,,,,
1984,0.7737,0.9938,28.45,30.181,55.272,,,,
1985,0.9938,1.66,66.77,30.475,52.501,,,,
1986,1.65,1.27,-23.46,23.363,42.571,,,,
1987,1.27,1.82,43.8,25.868,42.236,26.107,,,
1988,1.82,1.24,-31.98,9.893,26.108,33.054,,,
1989,1.23,1.86,50.0,13.356,21.477,39.812,,,
1990,1.86,1.46,-21.64,-2.535,12.769,31.36,,,
1991,1.46,1.86,27.62,7.93,15.389,29.938,,,
1992,1.82,2.15,15.67,3.389,14.076,27.888,19.998,,
1993,2.15,4.04,87.74,26.646,17.973,26.287,31.422,,
1994,4.01,2.56,-36.6,6.597,9.924,16.3,30.645,,
1995,2.6,2.94,14.63,15.027,5.882,13.516,27.071,,
1996,2.96,2.94,,9.589,8.756,13.422,24.521,,
1997,2.96,5.31,80.85,19.821,11.302,15.96,25.822,19.962,
1998,5.3,9.57,80.2,18.825,22.673,18.256,24.379,28.8,
1999,9.63,15.96,66.7,44.198,23.98,20.332,22.722,33.25,
2000,16.15,13.77,-13.71,36.181,25.158,15.148,18.802,28.843,
2001,13.65,12.0,-12.86,32.485,20.494,16.152,17.914,26.075,
2002,12.01,7.86,-34.53,8.16,13.841,10.244,13.958,22.073,17.909
2003,7.81,10.93,39.12,2.693,10.465,15.615,14.157,19.703,24.028
2004,10.97,11.09,1.49,-7.022,15.789,12.641,12.819,16.095,25.493
2005,11.09,8.64,-22.12,-8.901,11.382,12.584,8.598,12.658,21.61
2006,8.68,14.11,63.31,3.293,16.982,14.464,12.794,14.833,21.956
2007,14.13,9.13,-35.29,3.041,5.569,10.121,8.398,11.686,18.672
2008,9.15,8.44,-7.56,-5.039,-1.249,5.034,10.064,10.03,15.171
2009,8.36,8.43,-0.1185,-5.337,-6.183,8.269,7.849,8.928,12.213
2010,8.38,10.98,30.31,4.91,-2.239,9.182,10.615,7.85,11.328
2011,11.09,11.86,7.92,-3.415,-0.117,9.744,9.706,9.348,11.568
2012,12.14,18.68,57.57,15.393,9.042,8.747,11.416,9.762,12.296
2013,19.02,25.98,39.09,25.216,9.044,6.885,9.752,12.94,12.427
2014,25.9,29.0,11.63,28.031,10.09,4.062,12.904,11.613,11.902
2015,29.0,28.21,-2.72,20.77,12.561,4.897,11.97,12.575,9.903
2016,27.57,34.52,22.36,23.822,9.359,7.298,13.106,12.394,11.637
2017,34.84,40.05,16.0,16.478,15.935,11.467,10.631,12.41,10.854
2018,40.39,34.05,-14.98,5.559,14.968,7.87,6.552,8.9,11.675
2019,33.49,44.97,32.07,9.17,18.225,9.782,5.316,12.147,11.202
2020,45.36,52.4,16.52,13.184,16.916,12.769,6.91,12.212,12.676
2021,52.28,50.33,-3.95,7.833,15.551,8.848,7.432,12.031,11.62
2022,49.98,34.97,-30.52,-2.676,6.471,9.366,7.749,7.831,9.743
2023,34.94,45.73,30.77,6.076,5.817,11.924,7.418,6.456,8.424
