Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,12.55,11.71,,,,,,,
1969,11.87,10.6,-9.46,,,,,,
1970,10.67,12.31,16.14,,,,,,
1971,12.11,12.34,0.2721,,,,,,
1972,12.38,13.72,11.14,,,,,,
1973,13.72,7.41,-45.97,-8.746,,,,,
1974,7.41,6.07,-18.1,-10.551,,,,,
1975,6.14,6.34,4.42,-12.428,,,,,
1976,6.34,8.52,34.39,-7.141,,,,,
1977,8.52,8.22,-3.54,-9.738,,,,,
1978,8.22,7.35,-10.61,-0.162,-4.551,,,,
1979,7.35,7.82,6.39,5.197,-2.996,,,,
1980,7.82,7.65,-2.15,3.828,-4.646,,,,
1981,7.61,7.3,-4.61,-3.044,-5.114,,,,
1982,7.3,8.05,10.34,-0.417,-5.192,,,,
1983,8.05,7.8,-3.13,1.196,0.514,-2.672,,,
1984,7.8,9.06,16.13,2.987,4.086,-1.041,,,
1985,9.06,11.27,24.45,8.057,5.921,-0.587,,,
1986,11.27,13.99,24.11,13.894,5.084,0.84,,,
1987,13.99,12.08,-13.67,8.456,3.925,-0.845,,,
1988,12.08,11.27,-6.67,7.638,4.367,2.835,-0.191,,
1989,11.27,14.09,25.0,9.234,6.065,5.775,1.433,,
1990,14.09,14.79,5.0,5.587,6.815,5.81,0.922,,
1991,14.79,17.81,20.41,4.947,9.329,5.038,1.852,,
1992,17.76,18.47,3.67,8.863,8.659,5.545,1.498,,
1993,18.57,19.17,3.81,11.209,9.409,6.6,4.867,1.991,
1994,19.12,14.34,-25.2,0.352,4.699,4.125,4.392,1.216,
1995,14.34,19.52,36.14,5.707,5.647,6.444,5.784,1.861,
1996,19.42,18.21,-6.7,0.445,2.671,6.283,3.871,1.569,
1997,18.21,21.53,18.23,3.113,5.949,6.778,4.932,1.819,
1998,21.43,25.81,19.86,6.129,8.639,8.304,6.482,5.118,2.669
1999,25.96,18.41,-28.66,5.124,2.71,4.84,4.374,4.538,1.857
2000,18.31,34.87,89.34,12.304,8.955,7.821,7.88,7.057,3.532
2001,35.02,21.35,-38.77,3.233,1.829,2.858,5.512,3.743,1.844
2002,21.57,8.0,-62.51,-17.963,-8.027,-2.71,-0.031,-0.108,-1.782
2003,8.06,9.69,21.08,-17.793,-6.595,-1.002,1.091,1.112,0.898
2004,9.66,11.3,16.62,-9.3,-2.354,-1.46,1.111,1.483,2.093
2005,11.28,12.85,13.72,-18.099,-4.095,-0.933,0.658,2.096,2.383
2006,12.88,16.58,29.03,-4.931,-0.933,-0.476,0.853,3.336,2.244
2007,16.63,17.13,3.32,16.448,-2.26,-0.501,1.762,3.067,2.478
2008,17.1,12.62,-26.33,5.426,-6.905,-2.749,0.567,1.943,1.818
2009,12.76,14.51,14.98,5.128,-2.352,0.079,0.147,1.902,2.082
2010,14.59,15.72,8.34,4.114,-7.658,-1.433,0.305,1.34,2.43
2011,15.81,20.09,27.8,3.915,-0.606,0.657,0.604,1.458,3.432
2012,20.31,19.25,-4.18,2.361,9.178,-0.743,0.207,1.881,2.949
2013,19.52,23.18,20.42,12.93,9.114,-0.714,0.954,2.927,3.697
2014,23.17,23.43,1.08,10.058,7.565,1.62,2.485,2.055,3.218
2015,23.45,18.36,-21.64,3.154,3.633,-4.186,-0.306,0.869,1.64
2016,18.26,24.64,34.2,4.167,4.041,0.96,1.523,1.307,1.905
2017,24.72,28.36,15.1,8.058,5.171,8.803,1.387,1.73,2.886
2018,28.39,28.23,-0.4584,4.021,8.384,7.389,0.449,1.56,3.108
2019,28.16,27.27,-3.4,3.082,6.513,6.049,1.984,2.604,2.225
2020,27.33,21.64,-20.65,3.342,3.248,3.536,-2.357,0.413,1.277
2021,21.67,27.91,28.97,2.524,3.342,3.533,1.349,1.723,1.509
2022,27.92,29.99,7.45,1.124,4.533,3.804,6.83,1.334,1.629
2023,29.9,27.65,-7.8,-0.414,1.779,5.368,5.383,0.276,1.228
