Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,2.11,2.42,,,,,,,
1969,2.41,1.55,-35.88,,,,,,
1970,1.59,1.81,17.1,,,,,,
1971,1.81,1.97,8.41,,,,,,
1972,1.94,2.85,44.9,,,,,,
1973,2.85,4.4,54.37,12.701,,,,,
1974,4.4,2.78,-36.86,12.394,,,,,
1975,2.78,3.49,25.44,14.033,,,,,
1976,3.49,4.25,21.89,16.623,,,,,
1977,4.25,3.93,-7.37,6.637,,,,,
1978,3.93,4.06,3.26,-1.596,5.31,,,,
1979,4.06,6.17,51.78,17.287,14.814,,,,
1980,6.15,7.55,22.4,16.687,15.352,,,,
1981,7.55,5.2,-31.06,4.117,10.193,,,,
1982,5.19,4.19,-19.44,1.289,3.929,,,,
1983,4.19,4.43,5.75,1.76,0.068,4.113,,,
1984,4.4,5.75,29.71,-1.4,7.538,9.133,,,
1985,5.7,4.67,-18.71,-9.161,2.955,6.523,,,
1986,4.67,4.53,-3.09,-2.721,0.64,5.708,,,
1987,4.53,5.4,19.15,5.205,3.229,4.353,,,
1988,5.4,7.52,39.29,11.164,6.358,3.638,5.833,,
1989,7.52,9.73,29.49,11.094,4.66,8.71,9.62,,
1990,9.73,10.07,3.47,16.612,2.922,7.32,8.96,,
1991,10.07,9.25,-8.13,15.348,5.929,5.321,8.04,,
1992,9.25,9.68,4.69,12.382,8.734,6.194,6.304,,
1993,9.88,11.18,15.42,8.254,9.699,6.986,4.773,6.313,
1994,11.18,12.62,12.93,5.339,8.178,4.886,7.858,8.75,
1995,12.62,13.15,4.2,5.482,10.907,3.768,6.858,8.255,
1996,13.15,17.06,29.67,13.023,14.179,8.243,7.196,9.019,
1997,17.1,18.74,9.89,14.124,13.25,10.502,8.123,7.824,
1998,18.69,16.43,-12.34,8.004,8.129,9.131,7.24,5.411,6.593
1999,16.33,18.12,10.26,7.503,6.415,7.952,5.534,7.787,8.541
2000,17.92,21.92,21.01,10.76,8.089,10.858,5.474,7.627,8.669
2001,22.02,23.23,5.95,6.369,9.645,11.514,7.771,7.03,8.572
2002,23.19,18.65,-19.7,-0.096,6.778,8.614,7.751,6.427,6.462
2003,18.81,25.27,35.5,8.992,8.497,8.416,9.096,7.588,6.0
2004,25.24,33.47,32.42,13.058,10.245,8.585,9.207,6.998,8.648
2005,33.43,44.85,34.01,15.394,13.053,10.471,11.975,7.387,8.884
2006,45.36,55.47,23.67,19.015,12.514,12.684,13.344,9.932,8.94
2007,54.97,68.07,22.72,29.555,13.768,13.886,13.508,11.797,9.973
2008,68.42,39.93,-41.34,9.582,9.286,8.857,8.706,9.193,7.918
2009,40.07,39.37,-1.41,3.3,8.069,7.88,7.239,7.999,6.372
2010,39.91,52.5,33.35,3.2,9.127,9.669,8.607,10.162,6.678
2011,53.01,56.18,7.0,0.255,9.233,8.27,9.439,10.596,8.256
2012,56.98,57.99,3.23,-3.154,12.013,7.822,9.364,9.961,9.154
2013,59.15,70.65,21.83,12.089,10.828,10.213,9.656,9.374,9.671
2014,70.27,69.06,-2.25,11.895,7.512,9.33,8.87,8.154,8.639
2015,68.5,46.69,-32.39,-2.318,0.403,5.17,6.541,6.328,7.977
2016,46.41,50.14,7.39,-2.249,-1.005,5.263,5.538,6.995,8.344
2017,50.82,54.89,9.47,-1.093,-2.129,7.462,5.52,7.188,8.036
2018,55.09,62.35,13.59,-2.469,4.557,6.206,6.896,7.116,7.305
2019,60.69,65.03,4.3,-1.195,5.147,4.527,6.598,6.778,6.537
2020,65.28,39.99,-38.51,-3.051,-2.685,-0.762,3.052,4.549,4.704
2021,40.5,72.18,80.5,7.559,2.538,1.771,5.832,5.939,7.088
2022,72.03,118.0,63.48,16.541,7.363,3.736,9.663,7.638,8.693
2023,116.56,122.14,3.51,14.394,5.627,7.738,8.196,8.355,8.296
