Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
2001,4.45,3.9,,,,,,,
2002,3.98,3.94,1.03,,,,,,
2003,3.95,5.63,42.89,,,,,,
2004,5.66,6.88,22.24,,,,,,
2005,6.9,8.39,21.91,,,,,,
2006,8.2,10.55,25.77,22.022,,,,,
2007,10.69,12.93,22.52,26.83,,,,,
2008,12.99,6.72,-47.99,3.603,,,,,
2009,6.76,10.8,60.62,9.438,,,,,
2010,10.95,12.96,20.02,9.086,,,,,
2011,13.06,13.53,4.41,5.102,13.246,,,,
2012,13.64,20.32,50.17,9.462,17.826,,,,
2013,20.8,30.26,48.91,35.114,18.314,,,,
2014,30.05,38.54,27.34,28.973,18.804,,,,
2015,38.36,25.52,-33.78,14.513,11.767,,,,
2016,25.09,28.55,11.89,16.108,10.468,14.192,,,
2017,28.95,36.55,28.01,12.459,10.95,16.009,,,
2018,36.64,35.52,-2.81,3.257,18.116,13.066,,,
2019,35.14,50.99,43.54,5.758,16.79,14.286,,,
2020,51.28,69.34,35.98,22.13,18.26,15.119,,,
2021,69.7,71.94,3.75,20.302,18.186,13.653,15.69,,
2022,73.06,74.59,3.68,15.334,13.887,12.393,15.84,,
2023,75.07,80.37,7.75,17.74,10.261,17.991,14.217,,
