Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1980,0.3912,0.4421,,,,,,,
1981,0.4421,0.537,21.47,,,,,,
1982,0.537,0.4734,-11.84,,,,,,
1983,0.4734,0.6875,45.23,,,,,,
1984,0.6875,0.6667,-3.03,,,,,,
1985,0.6667,0.8403,26.04,13.706,,,,,
1986,0.8403,0.809,-3.72,8.541,,,,,
1987,0.809,0.809,,11.313,,,,,
1988,0.8125,0.8819,9.01,5.106,,,,,
1989,0.8819,0.9965,12.99,8.37,,,,,
1990,0.9965,0.8819,-11.5,0.971,7.149,,,,
1991,0.8819,1.61,82.29,14.756,11.605,,,,
1992,1.6,1.91,18.79,18.745,14.969,,,,
1993,1.92,2.27,19.09,20.815,12.687,,,,
1994,2.27,1.93,-14.96,14.134,11.215,,,,
1995,1.93,2.53,31.06,23.464,11.653,12.333,,,
1996,2.51,2.35,-7.4,7.857,11.253,10.342,,,
1997,2.35,3.0,27.81,9.45,14.003,13.099,,,
1998,3.0,2.31,-23.15,0.35,10.108,8.415,,,
1999,2.32,1.74,-24.4,-2.051,5.732,6.604,,,
2000,1.74,1.44,-17.33,-10.659,5.025,3.656,6.082,,
2001,1.44,1.95,35.13,-3.663,1.934,6.041,6.66,,
2002,1.97,1.57,-19.23,-12.147,-1.941,4.519,6.178,,
2003,1.58,2.0,26.95,-2.841,-1.258,5.611,5.484,,
2004,2.0,2.23,11.52,5.088,1.455,5.517,6.223,,
2005,2.22,2.82,26.67,14.387,1.091,8.058,6.241,7.693,
2006,2.83,3.83,35.63,14.454,5.006,5.948,8.084,8.176,
2007,3.86,4.89,27.74,25.511,5.007,6.468,9.413,9.79,
2008,4.89,3.61,-26.17,12.537,4.566,3.141,7.301,6.859,
2009,3.62,5.39,49.34,19.304,11.971,7.087,8.807,8.719,
2010,5.44,7.18,33.24,20.552,17.429,7.201,11.054,8.96,9.737
2011,7.23,7.02,-2.21,12.883,13.666,7.568,7.64,9.027,8.946
2012,7.2,6.58,-6.31,6.117,15.407,5.376,6.38,8.745,9.169
2013,6.7,9.59,45.82,21.58,16.971,9.955,7.471,10.016,9.182
2014,9.54,12.08,25.93,17.516,18.407,13.789,9.604,10.495,10.138
2015,12.04,8.65,-28.37,3.795,11.86,12.696,6.34,9.563,8.082
2016,8.46,11.98,38.46,11.282,12.079,12.866,8.485,8.359,9.4
2017,12.05,18.34,53.1,22.754,14.132,17.806,9.475,9.47,10.964
2018,18.54,20.71,12.94,16.647,19.088,16.863,11.591,9.246,11.094
2019,20.25,24.12,16.47,14.832,16.166,17.203,14.049,10.63,11.206
2020,24.27,30.25,25.41,28.452,15.468,17.138,16.444,10.434,12.506
2021,30.22,37.6,24.3,25.703,18.273,16.448,15.947,11.729,11.074
2022,37.46,30.98,-17.61,11.055,16.758,13.097,16.08,9.789,9.732
2023,31.08,30.63,-1.13,8.142,12.314,15.321,14.619,10.892,9.061
