Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,0.6699,0.9219,,,,,,,
1969,0.9062,1.09,18.65,,,,,,
1970,1.09,1.28,17.13,,,,,,
1971,1.29,1.93,50.62,,,,,,
1972,1.91,2.07,7.29,,,,,,
1973,2.08,0.6797,-67.17,-5.914,,,,,
1974,0.6797,0.3984,-41.39,-18.233,,,,,
1975,0.3984,1.13,182.38,-2.462,,,,,
1976,1.13,1.67,48.61,-2.852,,,,,
1977,1.67,1.74,4.2,-3.414,,,,,
1978,1.74,1.65,-5.38,19.408,5.994,,,,
1979,1.65,1.72,4.27,33.981,4.667,,,,
1980,1.72,2.17,26.36,13.94,5.42,,,,
1981,2.2,2.36,8.63,7.162,2.032,,,,
1982,2.36,4.42,87.42,20.497,7.881,,,,
1983,4.42,4.36,-1.41,21.451,20.425,10.914,,,
1984,4.36,4.66,6.81,22.059,27.881,10.17,,,
1985,4.63,6.31,35.57,23.798,18.767,11.221,,,
1986,6.31,6.75,6.93,23.39,14.99,8.705,,,
1987,6.77,6.63,-1.85,8.447,14.313,8.069,,,
1988,6.66,9.3,40.33,16.359,18.878,19.054,12.251,,
1989,9.3,11.16,20.0,19.085,20.563,24.879,12.334,,
1990,11.16,10.5,-5.88,10.722,17.077,16.022,11.096,,
1991,10.5,11.13,5.95,10.519,16.777,13.48,9.156,,
1992,11.09,13.28,19.38,14.904,11.629,14.51,9.739,,
1993,13.31,10.16,-23.53,1.785,8.828,12.883,14.48,10.075,
1994,10.13,7.72,-24.0,-7.105,5.178,10.528,15.975,8.145,
1995,7.78,7.69,-0.4055,-6.039,1.998,8.801,10.063,7.436,
1996,7.63,10.34,34.55,-1.462,4.357,10.35,9.544,6.945,
1997,10.31,16.02,54.83,3.823,9.223,8.964,11.739,8.529,
1998,16.19,27.5,71.71,22.036,11.451,13.064,15.105,15.953,11.984
1999,27.5,19.94,-27.5,20.899,5.976,10.177,13.034,16.944,10.173
2000,20.0,29.97,50.31,31.266,11.058,10.946,14.028,14.01,11.083
2001,29.91,14.8,-50.62,7.436,2.891,5.373,9.614,9.119,7.026
2002,14.93,12.48,-15.64,-4.872,-0.619,4.307,5.327,8.2,6.172
2003,12.72,18.06,44.65,-8.066,5.921,4.524,7.365,10.045,11.553
2004,18.14,22.54,24.78,2.482,11.31,4.798,8.2,10.84,14.399
2005,22.7,26.42,17.24,-2.49,13.136,6.345,7.422,10.514,11.078
2006,26.67,30.91,16.99,15.869,11.573,7.047,7.905,10.838,10.216
2007,30.95,39.75,28.6,26.074,9.513,7.583,9.368,9.183,10.992
2008,39.71,28.74,-27.7,9.737,0.442,7.178,5.804,7.835,9.993
2009,28.81,32.21,12.07,7.401,4.912,9.991,5.443,8.04,10.259
2010,32.43,34.77,7.95,5.646,1.497,10.582,6.17,7.065,9.688
2011,34.94,40.78,17.29,5.699,10.667,9.579,6.708,7.46,9.964
2012,41.3,48.35,18.56,3.995,14.503,7.642,6.674,8.272,8.301
2013,49.02,71.57,48.02,20.019,14.763,6.584,10.253,8.505,9.776
2014,71.16,96.31,34.57,24.49,15.63,11.07,13.45,9.003,10.622
2015,96.52,97.77,1.52,22.97,13.98,8.202,13.557,9.335,9.565
2016,96.17,78.91,-19.29,14.113,9.826,11.804,10.696,8.15,8.541
2017,79.58,72.5,-8.12,8.44,6.194,12.445,7.841,7.025,8.3
2018,73.06,65.52,-9.63,-1.751,8.59,8.971,4.436,7.741,6.724
2019,64.86,74.29,13.39,-5.059,8.716,8.276,6.797,9.479,6.523
2020,74.65,68.3,-8.06,-6.923,6.985,6.537,4.205,9.129,6.441
2021,68.68,103.16,51.04,5.506,9.725,8.366,10.195,9.638,7.705
2022,102.81,93.19,-9.66,5.149,6.782,5.845,10.575,7.297,6.71
2023,91.72,65.67,-29.53,0.046,-0.857,5.664,6.668,3.543,6.418
