Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,3.94,4.51,,,,,,,
1969,4.52,3.2,-29.12,,,,,,
1970,3.27,3.41,6.6,,,,,,
1971,3.34,3.59,5.28,,,,,,
1972,3.61,4.98,38.78,,,,,,
1973,5.0,4.38,-12.09,-0.583,,,,,
1974,4.38,2.78,-36.43,-2.775,,,,,
1975,2.78,3.67,32.03,1.48,,,,,
1976,3.67,5.13,39.57,7.4,,,,,
1977,5.13,4.86,-5.18,-0.487,,,,,
1978,4.86,5.86,20.58,5.995,2.653,,,,
1979,5.86,7.05,20.27,20.456,8.219,,,,
1980,7.05,12.44,76.5,27.653,13.817,,,,
1981,12.42,10.72,-13.82,15.882,11.56,,,,
1982,10.72,8.0,-25.36,10.482,4.854,,,,
1983,8.0,8.66,8.2,8.124,7.054,4.445,,,
1984,8.66,7.81,-9.75,2.069,10.882,6.129,,,
1985,7.78,9.53,22.0,-5.19,10.013,7.092,,,
1986,9.53,11.34,19.02,1.131,8.255,7.97,,,
1987,11.38,9.91,-12.67,4.375,7.385,4.694,,,
1988,10.03,11.44,15.46,5.726,6.918,6.61,4.764,,
1989,11.44,16.94,48.09,16.749,9.162,12.804,8.69,,
1990,16.94,18.16,7.2,13.764,3.856,11.249,8.722,,
1991,18.16,17.25,-4.99,8.751,4.872,8.421,8.164,,
1992,17.28,17.38,0.7246,11.891,8.068,8.866,6.449,,
1993,17.44,21.78,25.36,13.743,9.661,9.147,8.35,6.501,
1994,21.84,22.31,2.44,5.662,11.067,7.983,10.974,8.077,
1995,22.44,26.19,17.37,7.598,10.638,5.088,10.325,8.496,
1996,26.31,32.5,24.11,13.506,11.103,7.674,9.67,9.212,
1997,32.63,38.5,18.46,17.242,14.535,11.043,10.902,8.525,
1998,38.25,41.47,7.71,13.746,13.745,11.006,10.279,9.408,7.676
1999,41.53,43.31,4.45,14.187,9.842,12.097,9.501,11.61,9.072
2000,42.94,42.22,-2.53,10.021,8.803,10.432,6.3,10.264,8.749
2001,42.59,44.8,6.13,6.63,10.014,9.592,7.412,9.055,8.778
2002,44.8,33.24,-25.81,-2.895,6.699,8.402,7.381,7.994,6.532
2003,33.6,43.2,29.95,0.821,7.088,9.262,8.367,8.319,7.928
2004,43.24,52.51,21.56,3.928,8.937,7.834,9.997,8.363,10.291
2005,52.46,56.77,8.11,6.101,8.043,7.895,9.333,6.261,9.559
2006,57.25,73.53,29.52,10.417,8.507,10.148,9.798,8.007,9.281
2007,72.77,93.33,26.93,22.934,9.259,11.857,11.866,10.326,10.352
2008,93.96,73.97,-20.74,11.356,5.958,8.493,9.782,8.959,8.819
2009,74.23,76.99,4.08,7.954,5.922,8.608,7.864,9.585,8.295
2010,78.2,91.25,18.52,9.957,8.012,8.678,8.407,9.458,6.868
2011,91.66,106.4,16.6,7.67,9.035,8.227,9.524,9.369,7.951
2012,108.74,108.14,1.64,2.99,12.521,7.128,9.571,10.031,9.068
2013,110.27,124.91,15.51,11.047,11.202,7.628,9.126,10.034,9.304
2014,124.46,112.18,-10.19,7.819,7.887,6.55,8.41,7.855,9.289
2015,111.63,89.96,-19.81,-0.284,4.711,5.172,6.364,6.61,7.77
2016,89.53,117.7,30.84,2.039,4.817,6.651,6.646,7.984,8.112
2017,118.38,125.19,6.36,2.971,2.98,9.243,6.073,8.218,8.822
2018,125.71,108.79,-13.1,-2.726,3.933,6.351,4.94,6.645,7.797
2019,107.34,120.51,10.77,1.443,4.582,5.694,5.25,6.98,6.759
2020,120.81,84.45,-29.92,-1.256,-0.771,2.683,3.527,4.795,5.257
2021,85.15,117.35,38.96,-0.06,0.984,3.166,4.933,5.27,6.6
2022,117.42,179.49,52.95,7.472,5.197,4.456,8.798,6.351,8.094
2023,178.04,164.3,-8.46,8.595,2.779,5.464,6.907,5.661,6.968
