Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1969,785.97,800.36,,,,,,,
1970,809.2,838.92,4.82,,,,,,
1971,838.92,890.2,6.11,,,,,,
1972,890.2,1020.02,14.58,,,,,,
1973,1022.88,850.86,-16.58,,,,,,
1974,850.86,616.24,-27.57,-5.094,,,,,
1975,619.13,852.41,38.32,0.32,,,,,
1976,852.41,1004.65,17.86,2.448,,,,,
1977,1004.65,831.17,-17.27,-4.012,,,,,
1978,830.47,805.01,-3.15,-1.102,,,,,
1979,805.01,838.74,4.19,6.359,0.469,,,,
1980,838.74,963.98,14.93,2.491,1.399,,,,
1981,963.98,875.0,-9.23,-2.726,-0.172,,,,
1982,875.0,1046.55,19.61,4.716,0.257,,,,
1983,1048.92,1258.63,20.27,9.35,3.993,,,,
1984,1257.72,1211.57,-3.74,7.633,6.994,2.803,,,
1985,1210.14,1546.67,27.66,9.917,6.139,4.163,,,
1986,1546.67,1896.0,22.59,16.726,6.557,5.17,,,
1987,1913.1,1938.8,2.26,13.124,8.839,4.375,,,
1988,1992.7,2168.6,11.85,11.495,10.417,6.436,,,
1989,2154.5,2753.2,26.96,17.841,12.621,10.494,6.372,,
1990,2748.7,2633.6,-4.34,11.232,10.573,7.81,5.887,,
1991,2627.2,3168.83,20.32,10.818,13.734,7.959,6.554,,
1992,3168.83,3301.11,4.17,11.231,12.173,9.63,6.048,,
1993,3301.11,3754.09,13.72,11.6,11.548,10.81,7.704,,
1994,3753.53,3834.44,2.14,6.85,12.211,10.664,9.571,6.467,
1995,3834.44,5117.1,33.45,14.208,12.71,11.771,9.375,7.501,
1996,5156.9,6448.27,26.01,15.268,13.021,14.243,9.742,8.243,
1997,6448.27,7908.25,22.64,19.092,15.095,14.434,11.923,8.537,
1998,7908.25,9201.26,16.35,19.638,15.549,14.182,12.954,9.992,
1999,9201.26,11497.0,24.95,24.559,15.365,16.185,13.985,12.417,9.289
2000,11495.0,10788.0,-6.17,16.087,15.143,13.825,12.835,10.686,8.886
2001,10703.0,10022.0,-7.11,9.22,12.203,11.74,12.966,9.637,8.405
2002,10022.0,8341.63,-16.76,1.073,9.713,10.217,10.937,9.664,7.256
2003,8342.38,10454.0,25.32,2.586,10.784,11.056,11.165,10.8,8.721
2004,10453.0,10783.0,3.15,-1.274,10.893,9.528,11.55,10.755,10.01
2005,10784.0,10718.0,-0.6075,-0.13,7.674,9.809,10.163,10.114,8.805
2006,10718.0,12463.0,16.29,4.456,6.811,9.559,9.873,11.21,8.756
2007,12460.0,13265.0,6.43,9.721,5.308,9.716,10.093,10.692,9.673
2008,13262.0,8776.39,-33.84,-3.438,-0.472,5.825,7.24,8.078,8.289
2009,8772.25,10428.0,18.82,-0.667,-0.971,6.897,6.885,8.992,8.764
2010,10431.0,11578.0,11.02,1.556,0.709,5.594,7.685,8.385,8.639
2011,11577.0,12218.0,5.53,-0.396,2.001,4.353,6.981,7.737,9.186
2012,12221.0,13104.0,7.26,-0.244,4.62,3.424,7.136,7.943,8.79
2013,13104.0,16577.0,26.5,13.563,4.718,4.003,7.709,8.476,8.973
2014,16572.0,17823.0,7.52,11.316,5.154,2.966,7.985,7.757,9.376
2015,17823.0,17425.0,-2.23,8.52,4.98,3.248,6.318,7.851,8.407
2016,17405.0,19763.0,13.42,10.096,4.718,4.631,5.76,7.597,8.127
2017,19873.0,24719.0,25.08,13.534,6.422,7.511,5.864,8.386,8.855
2018,24809.0,23327.0,-5.63,7.071,10.269,5.497,4.761,7.581,8.24
2019,23059.0,28538.0,22.34,9.872,10.592,6.704,4.651,8.36,8.107
2020,28639.0,30606.0,7.25,11.925,10.209,7.246,5.352,7.417,8.52
2021,30627.0,36338.0,18.73,12.954,11.516,7.395,6.652,7.161,8.471
2022,36322.0,33147.0,-8.78,6.043,9.725,6.296,7.142,5.9,7.992
2023,33149.0,34838.0,5.1,8.352,7.71,9.627,6.203,5.47,7.709
