Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,22.55,24.14,,,,,,,
1969,24.57,18.19,-24.67,,,,,,
1970,18.93,19.14,5.26,,,,,,
1971,18.93,17.87,-6.67,,,,,,
1972,17.97,17.55,-1.79,,,,,,
1973,17.55,13.93,-20.61,-10.413,,,,,
1974,13.93,6.81,-51.14,-17.84,,,,,
1975,7.13,11.27,65.62,-10.051,,,,,
1976,11.27,12.87,14.15,-6.354,,,,,
1977,12.87,14.04,9.09,-4.365,,,,,
1978,14.04,11.49,-18.18,-3.778,-7.155,,,,
1979,11.49,10.53,-8.33,9.108,-5.32,,,,
1980,10.53,9.25,-12.12,-3.873,-7.013,,,,
1981,9.25,9.68,4.6,-5.538,-5.946,,,,
1982,9.68,11.17,15.38,-4.471,-4.418,,,,
1983,11.17,11.7,4.76,0.363,-1.729,-4.714,,,
1984,11.7,13.61,16.36,5.265,7.169,-1.915,,,
1985,13.51,13.51,-0.7816,7.871,1.829,-2.296,,,
1986,13.51,14.04,3.94,7.72,0.874,-1.595,,,
1987,14.04,11.38,-18.94,0.373,-2.079,-2.847,,,
1988,11.49,14.78,29.91,4.785,2.55,0.396,-2.423,,
1989,14.78,21.59,46.04,9.668,7.444,7.996,0.86,,
1990,21.59,24.04,11.33,12.216,10.022,5.18,1.146,,
1991,24.04,29.57,23.01,16.064,11.814,5.702,2.55,,
1992,29.57,27.87,-5.76,19.619,9.574,4.677,2.339,,
1993,28.08,25.53,-8.4,11.551,8.115,5.467,3.075,0.224,
1994,25.53,22.23,-12.92,0.586,5.029,5.108,6.094,0.806,
1995,22.23,29.35,32.06,4.072,8.068,8.002,4.902,1.725,
1996,29.25,27.55,-6.16,-1.405,6.973,7.222,3.879,1.747,
1997,27.65,29.51,7.14,1.15,9.997,6.691,3.784,2.1,
1998,29.46,36.64,24.14,7.493,9.504,7.907,5.97,3.944,1.401
1999,36.43,26.91,-26.56,3.895,2.227,4.649,4.803,5.65,1.314
2000,26.7,33.13,23.12,2.453,3.259,6.162,6.587,4.408,1.846
2001,32.92,35.68,7.71,5.308,1.896,6.415,6.74,4.163,2.332
2002,35.77,39.48,10.63,5.994,3.544,8.646,6.516,4.222,2.739
2003,39.56,33.52,-15.09,-1.764,2.76,5.611,5.404,4.376,2.97
2004,33.52,36.7,9.47,6.402,5.141,3.6,5.085,5.121,5.775
2005,36.87,36.75,0.139,2.096,2.274,2.87,5.131,5.673,4.019
2006,36.77,41.19,12.09,2.914,4.104,2.234,5.529,5.964,3.954
2007,41.29,37.4,-9.19,-1.077,2.398,1.98,6.13,4.952,3.32
2008,37.41,30.35,-18.86,-1.967,-1.866,1.16,3.663,3.886,3.291
2009,30.74,37.09,22.2,0.212,3.261,3.472,2.743,4.092,4.286
2010,37.35,38.56,3.97,0.966,1.529,1.836,2.391,4.284,4.874
2011,38.76,46.33,20.15,2.38,2.646,3.526,2.271,4.891,5.358
2012,46.75,51.09,10.28,6.437,2.611,3.727,3.077,6.191,5.198
2013,51.76,56.49,10.56,13.23,5.358,2.928,4.051,5.51,5.388
2014,56.5,73.49,30.09,14.655,7.19,6.927,6.161,5.022,5.782
2015,73.88,68.23,-7.16,12.09,6.383,4.934,4.308,4.261,5.547
2016,67.64,83.82,22.85,12.589,7.363,5.859,5.721,4.256,6.137
2017,84.01,93.13,11.12,12.759,9.552,5.888,5.915,4.944,7.258
2018,93.32,93.85,0.7674,10.686,11.951,7.105,4.815,5.345,6.355
2019,93.75,110.5,17.74,8.499,11.535,7.625,7.318,6.624,5.593
2020,110.61,103.3,-6.51,8.649,10.356,7.133,5.851,5.162,4.98
2021,103.56,119.54,15.72,7.358,9.942,7.361,6.232,6.046,4.766
2022,119.75,117.53,-1.68,4.764,8.688,7.932,5.606,5.683,4.914
2023,117.75,102.18,-13.06,1.715,6.106,8.429,5.731,4.188,4.731
