Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,16.32,16.7,,,,,,,
1969,16.98,12.88,-22.88,,,,,,
1970,12.88,10.81,-16.1,,,,,,
1971,10.86,10.37,-4.04,,,,,,
1972,10.04,10.15,-2.1,,,,,,
1973,10.15,7.53,-25.81,-14.726,,,,,
1974,7.64,4.64,-38.41,-18.469,,,,,
1975,4.69,8.52,83.53,-4.65,,,,,
1976,8.46,9.61,12.82,-1.511,,,,,
1977,9.55,9.61,,-1.087,,,,,
1978,9.61,8.46,-11.93,2.356,-6.575,,,,
1979,8.46,7.53,-10.97,10.168,-5.226,,,,
1980,7.59,7.92,5.07,-1.45,-3.063,,,,
1981,7.92,9.01,13.79,-1.281,-1.396,,,,
1982,9.01,10.15,12.73,1.099,0.0,,,,
1983,10.15,10.97,8.06,5.334,3.834,-2.763,,,
1984,10.97,12.66,15.42,10.95,10.558,-0.115,,,
1985,12.66,15.45,21.98,14.299,6.133,2.409,,,
1986,15.45,19.76,27.92,17.007,7.475,4.392,,,
1987,19.76,18.72,-5.25,13.023,6.895,4.165,,,
1988,18.78,20.2,7.87,12.987,9.093,6.8,0.956,,
1989,20.2,24.51,21.35,14.125,12.527,11.735,3.269,,
1990,24.51,26.75,9.13,11.604,12.943,7.926,4.635,,
1991,26.75,30.57,14.29,9.119,12.994,8.02,5.554,,
1992,30.57,31.55,3.21,11.004,12.009,8.248,5.834,,
1993,31.77,37.01,17.3,12.874,12.93,10.339,8.287,3.234,
1994,37.01,33.3,-10.03,6.321,10.154,10.419,10.356,3.873,
1995,33.3,41.38,24.26,9.117,10.354,11.653,8.222,5.516,
1996,41.16,40.4,-2.37,5.735,7.414,10.521,7.444,5.59,
1997,40.51,48.37,19.73,8.922,9.958,10.97,8.416,6.445,
1998,48.48,55.96,15.69,8.62,10.727,11.475,9.907,8.354,4.113
1999,55.96,43.78,-21.76,5.625,5.973,8.623,9.2,9.393,4.163
2000,43.67,74.46,70.07,12.467,10.78,11.054,11.856,9.058,6.644
2001,74.02,68.58,-7.89,11.164,8.415,8.649,10.681,8.178,6.499
2002,68.22,34.13,-50.23,-6.736,0.789,4.085,6.251,5.2,4.125
2003,34.48,35.72,4.66,-8.587,-0.354,3.873,6.08,5.931,5.326
2004,35.99,44.25,23.86,0.214,2.884,4.017,6.457,7.341,7.807
2005,44.41,47.95,8.37,-8.426,1.485,3.968,5.826,7.469,5.928
2006,48.3,58.01,20.98,-3.292,3.684,4.363,5.532,7.734,6.176
2007,60.0,60.51,4.3,12.134,2.265,4.437,6.042,7.403,6.325
2008,60.39,45.03,-25.58,4.741,-2.15,1.316,4.09,5.811,5.731
2009,45.15,51.63,14.66,3.133,1.663,2.967,3.795,5.784,6.628
2010,51.63,53.43,3.49,2.188,-3.264,1.718,3.52,5.088,6.57
2011,53.76,66.0,23.53,2.614,-0.383,3.326,3.923,4.942,6.863
2012,66.33,63.8,-3.33,1.065,6.456,1.863,3.584,5.027,6.319
2013,64.56,69.01,8.17,8.914,6.807,1.407,3.164,5.037,6.322
2014,69.2,83.54,21.05,10.103,6.561,4.402,4.706,5.027,6.492
2015,83.54,71.39,-14.54,5.967,4.06,-0.28,2.764,4.005,5.234
2016,70.93,77.62,8.73,3.297,2.955,0.829,3.319,3.798,4.666
2017,77.65,84.11,8.36,5.683,3.348,6.197,2.805,4.0,5.136
2018,84.28,86.3,2.6,4.573,6.721,6.057,2.19,3.445,4.96
2019,86.11,91.21,5.69,1.772,5.856,4.94,3.738,4.113,4.478
2020,91.28,91.56,0.3837,5.103,5.534,4.407,1.039,3.228,4.187
2021,91.78,104.9,14.57,6.209,4.743,4.028,2.148,3.89,4.196
2022,104.91,102.99,-1.82,4.133,4.905,3.609,5.678,3.069,4.022
2023,103.2,87.93,-14.62,0.375,2.452,4.562,4.607,1.824,2.927
