Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,8.13,8.31,,,,,,,
1969,8.38,6.38,-23.31,,,,,,
1970,6.75,6.69,4.9,,,,,,
1971,6.75,6.47,-3.27,,,,,,
1972,6.5,6.25,-3.38,,,,,,
1973,6.38,4.69,-25.0,-10.81,,,,,
1974,4.72,1.88,-60.0,-21.681,,,,,
1975,1.88,3.75,100.0,-10.932,,,,,
1976,3.75,5.25,40.0,-4.093,,,,,
1977,5.25,6.34,20.83,0.286,,,,,
1978,6.34,5.78,-8.87,4.268,-3.565,,,,
1979,5.78,6.06,4.87,26.376,-0.513,,,,
1980,6.06,6.22,2.58,10.65,-0.726,,,,
1981,6.22,8.13,30.65,9.141,2.31,,,,
1982,8.13,10.25,26.15,10.085,5.071,,,,
1983,10.19,12.44,21.34,16.568,10.246,2.726,,,
1984,12.44,15.38,23.62,20.475,23.39,6.041,,,
1985,15.31,19.75,28.46,25.996,18.074,7.484,,,
1986,19.75,23.56,19.3,23.713,16.199,8.998,,,
1987,23.56,20.88,-11.41,15.293,12.659,8.374,,,
1988,21.0,23.25,11.38,13.324,14.934,11.263,5.279,,
1989,23.25,29.13,25.27,13.626,17.0,20.045,7.889,,
1990,29.13,23.63,-18.88,3.652,14.279,13.056,6.513,,
1991,23.63,28.63,21.16,3.975,13.416,11.972,7.72,,
1992,28.5,32.63,13.97,9.34,12.277,11.541,8.614,,
1993,32.75,32.13,-1.53,6.684,9.953,12.115,10.1,5.558,
1994,32.13,25.75,-19.84,-2.437,5.289,10.125,13.981,5.74,
1995,25.88,31.75,23.3,6.085,4.862,11.48,11.272,6.427,
1996,32.0,29.13,-8.27,0.347,2.145,8.88,8.945,6.203,
1997,28.75,41.0,40.77,4.673,6.981,9.682,9.783,7.814,
1998,41.0,52.88,28.96,10.478,8.564,10.128,11.704,10.175,6.363
1999,52.75,34.5,-34.75,6.025,1.706,5.534,9.086,12.343,5.787
2000,34.38,38.5,11.59,3.931,5.003,4.551,9.543,9.763,6.007
2001,38.31,40.36,4.83,6.739,3.493,3.654,8.341,8.5,6.292
2002,40.11,42.82,6.1,0.872,2.755,4.905,7.41,7.94,6.625
2003,42.95,43.01,0.4437,-4.048,2.959,4.186,6.399,8.359,7.666
2004,43.06,43.75,1.72,4.865,5.444,2.749,5.366,8.228,11.061
2005,43.76,46.33,5.9,3.772,3.851,4.591,4.355,8.363,8.741
2006,46.43,48.07,3.76,3.558,5.136,3.515,3.63,7.367,7.661
2007,48.12,48.85,1.62,2.67,1.767,2.727,4.341,6.445,7.043
2008,48.67,38.93,-20.31,-1.974,-3.016,1.288,2.611,4.669,6.564
2009,39.0,45.43,16.7,0.756,2.79,3.857,2.247,4.428,6.945
2010,45.73,49.57,9.11,1.361,2.559,3.014,3.774,3.75,7.164
2011,49.76,62.03,25.14,5.231,4.391,5.168,3.942,3.948,7.008
2012,62.1,55.54,-10.46,2.6,2.635,2.044,2.695,3.991,5.794
2013,56.2,55.28,-0.4681,7.265,2.542,0.296,2.75,3.525,5.097
2014,55.15,66.01,19.41,7.759,4.199,4.421,4.819,3.326,4.976
2015,66.1,64.27,-2.64,5.331,3.327,3.475,3.589,4.083,4.012
2016,63.85,73.68,14.64,3.502,4.363,4.094,4.749,3.853,3.874
2017,73.72,84.95,15.3,8.871,5.689,4.673,3.71,3.902,4.789
2018,84.75,76.46,-9.99,6.702,6.983,3.91,1.861,3.529,4.048
2019,76.32,90.47,18.32,6.507,7.131,4.963,4.938,5.155,3.85
2020,90.55,72.27,-20.12,2.374,3.842,3.008,3.199,3.345,3.797
2021,72.27,85.32,18.06,2.977,3.239,3.899,3.814,4.392,3.707
2022,85.35,95.31,11.71,2.328,5.549,4.557,4.082,3.432,3.638
2023,95.46,88.35,-7.3,2.933,4.801,5.616,3.665,2.074,3.429
