Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,8.91,9.03,,,,,,,
1969,9.09,7.53,-16.61,,,,,,
1970,7.56,8.03,6.64,,,,,,
1971,7.97,7.38,-8.17,,,,,,
1972,7.38,6.94,-5.93,,,,,,
1973,7.0,4.63,-33.33,-12.506,,,,,
1974,4.66,4.38,-5.41,-10.27,,,,,
1975,4.44,4.91,12.14,-9.37,,,,,
1976,4.91,5.72,16.56,-4.968,,,,,
1977,5.72,6.59,15.3,-1.03,,,,,
1978,6.59,6.44,-2.37,6.822,-3.324,,,,
1979,6.44,6.13,-4.85,6.954,-2.036,,,,
1980,6.13,6.41,4.59,5.476,-2.228,,,,
1981,6.41,7.19,12.2,4.681,-0.26,,,,
1982,7.19,8.78,22.17,5.906,2.38,,,,
1983,8.78,9.94,13.17,9.069,7.94,0.642,,,
1984,9.94,11.38,14.47,13.171,10.019,2.791,,,
1985,11.38,13.31,17.03,15.735,10.487,3.426,,,
1986,13.31,16.94,27.23,18.696,11.468,5.696,,,
1987,17.0,15.25,-9.96,11.675,8.752,5.389,,,
1988,15.44,16.19,6.15,10.248,9.657,8.704,2.962,,
1989,16.19,19.69,21.62,11.589,12.377,10.54,4.923,,
1990,19.69,18.94,-3.81,7.31,11.443,9.417,4.384,,
1991,18.81,23.38,23.43,6.656,12.515,9.841,5.935,,
1992,23.38,22.0,-5.88,7.605,9.621,8.368,5.938,,
1993,22.06,20.0,-9.09,4.317,7.242,7.847,7.59,3.232,
1994,20.13,14.63,-26.88,-5.768,2.544,5.971,6.216,2.692,
1995,14.63,17.63,20.51,-1.423,2.851,6.978,6.6,3.196,
1996,17.5,19.88,12.77,-3.191,1.613,7.015,6.427,4.043,
1997,20.0,27.19,36.79,4.327,5.953,7.827,7.344,5.614,
1998,27.25,27.88,2.53,6.869,5.586,7.117,7.602,7.446,3.829
1999,28.0,26.19,-6.05,12.351,2.894,5.714,7.531,7.415,4.242
2000,25.5,15.63,-40.33,-2.379,-1.903,1.077,4.557,4.741,2.245
2001,15.5,15.1,-3.36,-5.352,-4.278,-0.764,3.78,3.959,2.415
2002,15.1,11.85,-21.52,-15.304,-6.0,-1.668,1.511,2.375,1.799
2003,11.85,21.93,85.06,-4.688,0.925,2.044,4.036,5.023,5.321
2004,21.72,32.03,46.06,4.108,8.151,3.297,5.31,6.838,6.857
2005,32.09,43.61,36.15,22.779,9.48,5.718,6.113,7.971,7.552
2006,43.66,45.48,4.29,24.672,8.628,4.536,5.062,7.657,7.155
2007,46.17,53.37,17.35,35.119,6.977,6.086,6.464,7.486,7.221
2008,53.34,32.12,-39.82,7.931,1.426,3.209,3.485,4.803,5.503
2009,32.03,34.78,8.28,1.661,2.877,5.943,2.886,4.57,5.957
2010,35.07,38.6,10.98,-2.411,9.462,5.363,3.624,4.351,6.167
2011,38.92,41.4,7.25,-1.862,10.612,5.012,2.898,3.639,6.009
2012,41.81,45.19,9.15,-3.273,14.323,3.445,3.665,4.441,5.613
2013,45.09,46.3,2.46,7.587,7.759,3.439,4.286,4.293,5.262
2014,46.06,65.48,41.43,13.49,7.413,6.3,7.781,4.924,6.006
2015,65.01,59.21,-9.58,8.934,3.105,9.285,6.245,4.665,5.101
2016,58.57,71.99,21.58,11.7,4.7,10.974,6.646,4.601,4.941
2017,71.76,63.24,-12.15,6.952,1.711,11.811,4.311,4.314,4.855
2018,63.63,56.77,-10.23,4.162,5.861,6.546,3.619,4.261,4.271
2019,56.18,75.41,32.83,2.864,8.046,5.875,5.43,6.779,4.578
2020,74.71,62.82,-16.7,1.191,4.991,2.463,7.203,5.214,4.078
2021,62.76,68.25,8.64,-1.061,5.126,2.743,7.834,5.058,3.636
2022,68.34,63.62,-6.78,0.12,3.48,1.178,8.766,3.459,3.603
2023,64.01,68.41,7.53,3.801,3.981,5.169,5.853,3.656,4.184
