Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,2.03,2.14,,,,,,,
1969,2.14,2.51,17.56,,,,,,
1970,2.49,2.75,9.54,,,,,,
1971,2.78,3.34,21.59,,,,,,
1972,3.24,3.8,13.71,,,,,,
1973,3.8,3.63,-4.66,11.147,,,,,
1974,3.63,2.04,-43.68,-4.062,,,,,
1975,2.04,2.86,40.31,0.787,,,,,
1976,2.86,2.88,0.3631,-2.92,,,,,
1977,2.88,2.8,-2.54,-5.925,,,,,
1978,2.81,2.97,5.95,-3.934,3.332,,,,
1979,2.96,2.93,-1.4,7.51,1.559,,,,
1980,2.93,3.04,3.91,1.228,1.008,,,,
1981,3.04,3.78,24.32,5.589,1.245,,,,
1982,3.78,5.04,33.33,12.475,2.864,,,,
1983,5.03,5.54,9.92,13.279,4.318,6.547,,,
1984,5.54,5.79,4.51,14.594,10.995,5.731,,,
1985,5.79,6.77,16.91,17.366,8.999,6.19,,,
1986,6.77,6.98,3.08,13.051,9.256,5.037,,,
1987,6.98,8.66,24.03,11.434,11.953,5.645,,,
1988,8.66,7.59,-12.27,6.499,9.837,5.04,6.535,,
1989,7.56,9.75,28.39,10.985,12.775,10.992,7.02,,
1990,9.75,9.44,-3.21,6.875,11.998,8.286,6.361,,
1991,9.44,13.75,45.7,14.522,13.784,10.984,7.332,,
1992,13.59,13.75,,9.687,10.557,11.193,6.641,,
1993,13.72,15.06,9.55,14.688,10.518,11.431,7.373,8.118,
1994,15.03,15.59,3.53,9.842,10.412,11.789,10.703,7.579,
1995,15.53,20.44,31.06,16.708,11.684,13.547,10.333,8.354,
1996,20.28,24.22,18.5,11.989,13.248,13.182,11.234,8.247,
1997,24.19,28.22,16.52,15.465,12.539,12.17,12.246,8.351,
1998,28.38,30.25,7.2,14.969,14.828,11.982,12.305,8.851,9.23
1999,30.47,28.69,-5.17,12.974,11.397,11.259,12.084,11.154,8.46
2000,28.44,39.41,37.36,14.032,15.362,12.461,13.668,11.063,9.28
2001,39.41,28.55,-27.55,3.344,7.58,9.846,10.638,9.61,7.414
2002,28.35,25.43,-10.95,-2.061,6.342,7.446,8.429,9.226,6.541
2003,25.52,32.38,27.34,1.37,7.956,10.155,9.229,10.027,7.567
2004,32.38,35.05,8.26,4.086,8.439,8.904,9.421,10.437,9.943
2005,35.1,37.35,6.56,-1.068,6.214,9.603,8.914,10.555,8.943
2006,37.52,44.09,18.05,9.08,6.174,8.078,9.654,10.325,9.521
2007,44.12,56.66,28.51,17.378,7.219,9.9,9.847,10.163,10.545
2008,56.66,36.61,-35.39,2.486,1.927,6.101,8.185,7.846,8.733
2009,36.72,42.6,16.36,3.979,4.032,6.931,7.652,8.31,9.333
2010,43.15,57.17,34.2,8.887,3.79,7.097,9.423,8.909,10.275
2011,57.61,46.59,-18.51,1.109,5.019,4.458,6.292,7.889,8.733
2012,48.24,52.96,13.67,-1.342,7.612,4.286,6.975,7.512,8.156
2013,53.96,70.18,32.52,13.9,8.042,5.771,7.999,9.305,8.832
2014,69.83,61.73,-12.04,7.7,5.823,5.241,7.123,7.661,8.208
2015,61.84,47.83,-22.52,-3.505,2.504,1.299,4.342,6.706,6.734
2016,47.32,55.75,16.56,3.655,2.374,4.562,4.257,5.759,7.172
2017,56.25,69.69,25.0,5.644,2.091,6.952,4.624,6.707,7.198
2018,70.06,59.75,-14.26,-3.167,5.02,4.169,3.462,5.667,7.12
2019,58.8,76.26,27.63,4.318,5.996,5.319,5.009,6.556,7.097
2020,76.57,80.37,5.39,10.938,3.465,5.241,3.627,5.629,7.4
2021,80.58,92.97,15.68,10.769,7.153,5.099,6.081,5.528,6.578
2022,93.3,96.06,3.32,6.629,6.135,3.582,6.871,5.022,6.694
2023,96.6,98.92,2.98,10.609,3.492,6.851,5.743,4.853,6.475
