Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1972,3.56,3.59,,,,,,,
1973,3.66,2.53,-29.57,,,,,,
1974,2.69,1.41,-44.45,,,,,,
1975,1.47,1.42,1.12,,,,,,
1976,1.44,1.7,19.78,,,,,,
1977,1.7,1.58,-7.34,-15.138,,,,,
1978,1.58,1.66,4.95,-8.083,,,,,
1979,1.7,1.95,17.93,6.7,,,,,
1980,1.97,1.66,-15.2,3.172,,,,,
1981,1.64,1.52,-8.49,-2.213,,,,,
1982,1.53,2.47,62.89,9.347,-3.67,,,,
1983,2.39,2.88,16.45,11.65,1.304,,,,
1984,2.75,3.25,13.04,10.757,8.709,,,,
1985,3.19,3.88,19.23,18.507,10.574,,,,
1986,3.8,3.55,-8.47,18.489,7.641,,,,
1987,3.67,4.16,17.18,10.989,10.165,0.987,,,
1988,4.19,4.5,8.27,9.336,10.487,3.914,,,
1989,4.48,4.73,5.21,7.794,9.265,8.403,,,
1990,4.69,5.13,8.25,5.744,11.944,8.94,,,
1991,5.2,3.59,-29.88,0.224,8.975,5.11,,,
1992,3.59,2.22,-38.26,-11.803,-1.061,2.293,-2.375,,
1993,2.19,3.0,35.21,-7.789,0.409,4.024,0.856,,
1994,3.0,2.54,-15.36,-11.693,-2.435,1.778,2.987,,
1995,2.53,2.83,11.38,-11.216,-3.106,3.62,3.508,,
1996,2.97,3.61,27.63,0.111,0.168,5.936,3.837,,
1997,3.61,5.63,55.84,20.457,3.072,5.646,6.56,1.816,
1998,5.75,5.74,2.08,13.857,2.464,4.705,6.4,3.331,
1999,5.75,5.03,-12.38,14.643,0.617,2.955,4.852,5.219,
2000,5.03,7.16,42.24,20.4,3.39,4.169,7.582,6.685,
2001,7.0,6.8,-4.91,13.501,6.596,4.428,7.779,5.702,
2002,6.78,6.79,-0.2939,3.818,11.828,3.32,5.186,6.006,2.147
2003,6.83,10.35,52.51,12.514,13.183,5.71,6.605,7.595,4.808
2004,10.34,12.45,20.27,19.873,17.229,6.665,6.946,7.697,7.531
2005,12.35,15.63,25.63,16.899,18.636,7.71,7.215,9.384,8.323
2006,15.63,17.2,10.01,20.394,16.897,11.01,8.209,10.191,8.02
2007,17.18,20.21,17.53,24.377,13.633,15.864,8.224,8.771,8.867
2008,20.2,16.23,-19.69,9.415,10.953,11.913,6.624,7.161,7.896
2009,16.27,23.11,42.35,13.169,16.472,15.859,8.255,8.162,8.591
2010,23.45,28.2,22.03,12.527,14.692,16.564,8.895,8.257,9.902
2011,28.38,37.41,32.66,16.813,18.59,16.869,12.433,9.878,11.268
2012,37.8,43.32,15.8,16.473,20.36,14.572,16.016,9.826,10.019
2013,44.05,43.68,0.831,21.897,15.487,14.487,14.329,9.517,9.487
2014,43.57,51.41,17.7,17.341,15.236,16.761,16.228,10.014,9.641
2015,51.03,33.19,-35.44,3.312,7.821,10.766,13.1,7.755,7.417
2016,32.62,42.12,26.91,2.4,9.369,12.927,13.07,10.351,8.595
2017,42.52,39.11,-7.15,-2.024,6.825,12.381,10.176,12.16,7.756
2018,39.36,31.08,-20.53,-6.58,6.713,7.606,8.812,9.803,6.654
2019,30.74,39.77,27.96,-5.005,5.579,8.05,10.892,11.632,7.355
2020,39.8,31.99,-19.56,-0.734,1.269,4.891,7.772,10.187,6.291
2021,32.35,39.08,22.16,-1.487,0.438,5.624,9.137,9.996,8.283
2022,39.13,39.1,0.0512,-0.005,-1.02,4.498,9.148,8.06,10.034
2023,38.91,35.51,-9.18,2.701,-2.049,5.358,6.358,7.562,8.586
