Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,1.54,1.94,,,,,,,
1969,1.92,1.95,0.9242,,,,,,
1970,1.92,1.7,-13.15,,,,,,
1971,1.67,2.0,17.61,,,,,,
1972,1.99,1.93,-3.3,,,,,,
1973,1.93,1.24,-35.91,-8.563,,,,,
1974,1.24,0.9266,-25.12,-13.827,,,,,
1975,0.9386,1.42,53.55,-3.535,,,,,
1976,1.42,2.1,47.48,0.981,,,,,
1977,2.1,1.75,-16.81,-1.939,,,,,
1978,1.75,1.66,-4.79,6.008,-1.547,,,,
1979,1.66,1.84,10.61,14.706,-0.579,,,,
1980,1.84,2.04,11.22,7.515,1.84,,,,
1981,2.04,2.29,11.84,1.747,1.363,,,,
1982,2.3,2.3,0.3936,5.618,1.769,,,,
1983,2.3,3.96,72.65,18.992,12.312,4.872,,,
1984,3.96,3.81,-3.85,15.67,15.187,4.567,,,
1985,3.8,4.6,20.71,17.659,12.473,6.861,,,
1986,4.6,5.29,15.01,18.229,9.679,6.699,,,
1987,5.29,5.69,7.46,19.861,12.514,7.474,,,
1988,5.69,6.0,5.52,8.665,13.711,11.083,5.808,,
1989,5.97,6.13,2.24,9.978,12.788,13.424,5.894,,
1990,6.13,5.37,-12.5,3.144,10.163,9.273,5.92,,
1991,5.37,6.95,29.57,5.61,11.742,8.306,6.426,,
1992,6.93,8.78,26.31,9.063,14.334,11.352,7.869,,
1993,8.78,10.87,23.74,12.62,10.625,13.346,11.465,7.136,
1994,10.92,10.65,-1.98,11.681,10.826,12.418,12.986,7.027,
1995,10.65,11.54,8.33,16.532,9.634,12.246,11.044,7.962,
1996,11.51,15.01,30.07,16.649,10.992,13.354,10.334,8.396,
1997,14.96,19.21,27.96,16.952,12.938,15.2,12.726,9.627,
1998,19.15,15.21,-20.8,6.95,9.748,9.386,11.712,10.547,7.105
1999,15.13,15.63,2.74,7.975,9.812,9.867,11.29,11.965,7.184
2000,15.58,16.18,3.53,6.993,11.661,8.746,10.909,10.222,7.8
2001,16.31,18.6,14.97,4.382,10.345,8.744,11.041,9.117,7.717
2002,18.52,19.53,4.97,0.331,8.323,8.569,11.288,10.13,8.02
2003,19.7,27.0,38.24,12.162,9.525,10.547,10.074,11.802,10.815
2004,26.95,36.18,34.02,18.277,13.009,12.564,11.912,12.654,12.993
2005,36.3,33.55,-7.28,15.703,11.262,12.992,10.445,11.852,11.117
2006,33.65,37.57,12.0,15.097,9.609,11.907,10.298,11.841,10.092
2007,37.45,48.48,29.03,19.942,9.699,12.065,11.307,12.967,11.708
2008,48.35,24.86,-48.73,-1.638,5.036,5.67,7.366,7.625,9.441
2009,24.85,31.81,27.98,-2.542,7.364,7.567,8.581,8.859,9.966
2010,32.1,50.76,59.56,8.634,12.113,10.379,11.886,10.081,11.309
2011,51.23,43.53,-14.24,2.989,8.875,7.356,9.607,8.796,10.314
2012,44.78,54.18,24.47,2.248,10.742,7.157,9.526,9.433,11.106
2013,55.55,76.12,40.49,25.083,10.921,11.333,10.221,10.697,10.355
2014,75.74,67.96,-10.72,16.396,6.507,10.294,9.71,10.101,10.081
2015,68.39,52.04,-23.43,0.499,4.488,8.1,7.822,9.51,8.422
2016,51.21,67.09,28.92,9.037,5.97,8.929,7.774,9.493,8.836
2017,67.59,79.01,17.77,7.837,5.005,9.765,7.327,9.186,9.166
2018,79.23,68.66,-13.1,-2.042,10.693,6.42,7.827,7.651,8.464
2019,67.72,94.72,37.96,6.866,11.529,6.626,9.427,9.135,9.555
2020,95.24,120.14,26.84,18.214,8.998,8.876,10.544,9.825,10.915
2021,120.3,172.82,43.85,20.833,14.784,10.709,11.79,10.268,11.306
2022,173.39,156.95,-9.18,14.714,11.222,8.147,10.982,8.765,10.089
2023,158.08,233.67,48.88,27.756,11.869,16.111,11.394,11.547,10.768
