Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,10.7,11.1,,,,,,,
1969,11.14,8.56,-22.89,,,,,,
1970,8.74,8.02,-6.25,,,,,,
1971,8.16,8.51,6.11,,,,,,
1972,8.56,8.11,-4.71,,,,,,
1973,8.11,6.42,-20.88,-10.372,,,,,
1974,6.42,3.88,-39.58,-14.637,,,,,
1975,4.06,5.35,37.93,-7.778,,,,,
1976,5.35,6.37,19.17,-5.628,,,,,
1977,6.37,7.0,9.79,-2.901,,,,,
1978,7.0,5.53,-21.02,-2.941,-6.73,,,,
1979,5.57,4.9,-11.29,4.779,-5.426,,,,
1980,4.9,4.46,-9.09,-3.574,-5.699,,,,
1981,4.46,4.86,9.0,-5.267,-5.448,,,,
1982,4.86,6.06,24.77,-2.843,-2.872,,,,
1983,6.06,5.13,-15.44,-1.49,-2.218,-5.015,,,
1984,5.13,5.3,3.48,1.582,3.168,-3.145,,,
1985,5.3,6.19,16.81,6.775,1.469,-1.712,,,
1986,6.19,8.07,30.22,10.674,2.394,-0.353,,,
1987,8.07,6.6,-18.23,1.722,-0.587,-1.364,,,
1988,6.6,7.13,8.11,6.806,2.574,0.702,-2.189,,
1989,7.13,8.24,15.63,9.227,5.335,5.149,-0.19,,
1990,8.24,6.42,-22.16,0.732,3.71,1.223,-1.106,,
1991,6.42,9.23,43.75,2.723,6.624,2.503,0.407,,
1992,9.18,9.31,0.9669,7.123,4.387,1.919,0.692,,
1993,9.36,10.79,15.79,8.639,7.719,4.557,2.63,-0.113,
1994,10.7,8.74,-19.01,1.185,5.129,3.933,4.144,0.083,
1995,8.74,10.74,22.96,10.839,5.665,6.034,3.546,1.175,
1996,10.7,9.0,-16.18,-0.503,1.097,4.193,1.743,0.224,
1997,9.0,8.65,-3.96,-1.46,2.742,2.401,1.064,0.258,
1998,8.71,14.89,72.16,6.653,7.642,7.362,5.077,3.422,0.984
1999,14.75,12.39,-16.77,7.229,4.163,5.825,4.748,4.754,1.24
2000,12.3,25.03,102.04,18.438,14.576,9.762,9.007,6.366,3.867
2001,24.87,17.07,-31.8,13.658,6.342,5.121,6.483,4.022,2.347
2002,17.22,18.81,10.21,16.809,7.286,7.232,5.827,4.033,2.844
2003,18.97,23.66,25.75,9.704,8.168,8.325,7.943,5.987,4.444
2004,23.76,31.43,32.82,20.463,13.654,9.335,9.308,7.717,7.222
2005,31.59,37.89,20.58,8.646,13.436,12.564,9.482,8.935,6.743
2006,38.24,44.13,16.47,20.921,17.233,10.995,8.866,9.225,6.664
2007,44.13,58.22,31.91,25.354,21.006,12.999,11.5,9.472,7.316
2008,58.29,39.65,-31.88,10.878,10.29,9.064,8.958,8.524,6.787
2009,39.75,34.85,-12.12,2.087,10.895,9.659,7.477,7.824,6.758
2010,34.99,29.69,-14.79,-4.76,1.722,7.014,7.958,6.472,6.523
2011,29.93,30.93,4.15,-6.862,6.124,8.578,6.233,5.521,6.363
2012,30.82,21.21,-31.43,-18.287,1.208,6.162,4.203,4.78,4.264
2013,21.46,19.53,-7.9,-13.206,-1.9,1.825,3.011,4.113,4.557
2014,19.58,26.44,35.38,-5.374,-1.714,5.183,5.691,4.774,5.503
2015,26.63,19.8,-25.11,-7.783,-6.284,-1.55,3.106,4.608,3.952
2016,19.6,25.31,27.8,-3.931,-5.408,2.661,5.306,4.117,3.884
2017,25.44,28.1,11.05,5.787,-7.026,2.712,6.068,4.518,4.947
2018,28.19,32.16,14.44,10.49,-2.072,2.067,3.925,4.465,5.15
2019,31.93,32.51,1.09,4.22,-0.693,0.225,4.942,5.395,4.681
2020,32.64,30.11,-7.39,8.745,0.141,-1.521,0.928,4.21,5.286
2021,30.25,41.19,36.81,10.23,2.906,-0.459,4.503,6.273,5.112
2022,40.71,43.23,4.96,8.997,7.38,-1.965,4.249,6.648,5.251
2023,43.25,39.99,-7.49,4.454,7.43,0.057,2.659,4.031,4.463
