Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1986,35.0,29.5,,,,,,,
1987,29.5,29.0,-1.69,,,,,,
1988,29.0,30.0,3.45,,,,,,
1989,30.0,26.0,-13.33,,,,,,
1990,26.0,19.0,-26.92,,,,,,
1991,19.0,27.5,44.74,-1.394,,,,,
1992,29.0,50.75,84.55,11.843,,,,,
1993,52.0,46.5,-8.37,9.161,,,,,
1994,44.5,43.5,-6.45,10.842,,,,,
1995,42.0,55.13,26.72,23.745,,,,,
1996,53.75,77.0,39.68,22.866,10.069,,,,
1997,75.5,104.03,35.11,15.437,13.626,,,,
1998,104.0,90.0,-13.49,14.119,11.612,,,,
1999,90.0,69.75,-22.5,9.903,10.372,,,,
2000,69.75,80.75,15.77,7.932,15.568,,,,
2001,80.0,97.75,21.05,4.888,13.522,8.314,,,
2002,97.5,96.6,-1.18,-1.471,6.648,8.352,,,
2003,96.53,120.5,24.74,6.011,9.99,9.713,,,
2004,123.75,148.25,23.03,16.276,13.045,12.306,,,
2005,145.8,174.42,17.65,16.652,12.207,15.928,,,
2006,176.02,202.64,16.18,15.697,10.16,14.242,10.115,,
2007,203.32,145.85,-28.03,8.589,3.437,7.291,8.412,,
2008,143.54,152.8,4.77,4.864,5.436,8.254,8.48,,
2009,153.99,164.01,7.34,2.041,8.926,9.251,9.647,,
2010,166.8,189.05,15.27,1.624,8.879,8.562,12.174,,
2011,191.38,174.99,-7.44,-2.891,5.996,5.625,9.694,7.381,
2012,178.54,163.5,-6.57,2.311,5.403,3.06,6.024,7.163,
2013,165.87,222.63,36.17,7.818,6.331,6.224,8.145,8.347,
2014,222.81,252.79,13.55,9.038,5.482,8.964,9.198,9.525,
2015,254.38,258.17,2.13,6.43,3.999,8.056,8.025,11.001,
2016,255.34,355.0,37.51,15.197,5.767,8.978,7.941,10.773,8.646
2017,357.6,403.0,13.52,19.773,10.698,9.991,7.006,8.641,9.168
2018,405.9,377.05,-6.44,11.113,9.453,7.901,7.426,8.732,8.803
2019,371.3,532.21,41.15,16.055,12.492,8.894,10.695,10.536,10.587
2020,534.61,574.27,7.9,17.339,11.752,8.268,10.306,9.827,12.033
2021,576.89,829.84,44.5,18.51,16.842,9.855,11.287,9.977,12.027
2022,836.67,758.36,-8.61,13.479,16.583,11.617,10.852,8.27,9.433
2023,758.5,1369.15,80.54,29.423,19.919,15.741,12.921,11.503,11.935
