Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1978,0.9531,1.64,,,,,,,
1979,1.64,2.91,77.62,,,,,,
1980,2.91,5.53,89.81,,,,,,
1981,5.53,7.81,41.24,,,,,,
1982,7.81,9.28,18.8,,,,,,
1983,9.28,11.56,24.58,47.782,,,,,
1984,11.56,8.63,-25.41,24.286,,,,,
1985,8.59,15.16,75.72,22.347,,,,,
1986,15.09,15.78,4.12,15.104,,,,,
1987,15.81,9.97,-36.83,1.445,,,,,
1988,10.09,12.66,26.96,1.835,22.676,,,,
1989,12.59,11.44,-9.63,5.799,14.671,,,,
1990,11.63,8.47,-25.96,-10.99,4.356,,,,
1991,8.47,9.69,14.39,-9.292,2.18,,,,
1992,9.63,13.63,40.65,6.454,3.919,,,,
1993,13.69,17.72,30.05,6.956,4.364,17.195,,,
1994,17.72,15.06,-14.99,5.653,5.726,11.582,,,
1995,15.06,18.47,22.61,16.874,1.995,8.372,,,
1996,18.34,22.25,20.47,18.087,3.496,7.229,,,
1997,22.19,30.53,37.22,17.502,11.842,8.263,,,
1998,30.5,44.59,46.06,20.269,13.418,9.417,17.956,,
1999,44.5,40.94,-8.2,22.142,13.598,10.937,14.133,,
2000,42.38,39.96,-2.39,16.689,16.782,6.675,10.394,,
2001,39.45,51.88,29.83,18.45,18.268,8.258,9.93,,
2002,51.7,54.22,4.51,12.173,14.806,11.952,9.227,,
2003,54.36,67.5,24.49,8.646,14.31,11.804,9.224,16.032,
2004,67.7,98.49,45.91,19.192,20.658,15.433,12.946,15.128,
2005,99.12,103.39,4.98,20.94,18.796,18.152,10.075,12.427,
2006,103.38,108.62,5.06,15.926,17.181,17.482,10.126,11.104,
2007,108.75,89.17,-17.91,10.462,11.314,13.34,11.577,9.473,
2008,88.57,64.15,-28.06,-1.013,3.704,8.955,8.452,7.095,13.0
2009,64.16,83.45,30.09,-3.26,7.381,12.092,10.446,9.501,11.837
2010,84.21,93.01,11.46,-2.094,8.815,11.379,12.728,7.526,9.865
2011,93.54,83.51,-10.21,-5.122,4.875,9.218,11.371,6.892,8.219
2012,85.47,91.72,9.83,0.566,5.398,7.609,10.001,9.283,7.935
2013,93.46,143.77,56.75,17.515,7.854,8.117,11.035,10.207,8.765
2014,142.9,173.66,20.79,15.786,5.835,10.113,13.004,11.494,10.524
2015,173.78,148.99,-14.21,9.882,3.721,9.17,11.003,12.153,7.915
2016,146.41,186.2,24.97,17.395,5.538,8.893,11.207,12.55,8.575
2017,186.57,249.54,34.02,22.162,10.839,10.713,11.076,12.333,11.331
2018,250.83,161.33,-35.35,2.332,9.661,5.981,6.641,9.237,8.854
2019,158.52,151.21,-6.27,-2.731,6.124,2.899,6.751,9.666,8.986
2020,152.42,259.62,71.69,11.747,10.81,6.33,9.808,11.151,12.085
2021,260.4,258.64,-0.3775,6.793,11.968,5.954,8.364,10.31,11.57
2022,259.8,173.2,-33.03,-7.043,6.563,4.525,5.979,7.19,8.843
2023,174.97,260.97,50.68,10.097,6.143,9.806,6.995,7.323,9.38
