Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,4.09,4.35,,,,,,,
1969,4.29,2.79,-35.95,,,,,,
1970,2.74,2.71,-2.55,,,,,,
1971,2.73,2.84,4.71,,,,,,
1972,2.84,2.56,-10.0,,,,,,
1973,2.59,1.9,-25.55,-15.267,,,,,
1974,1.9,1.21,-36.57,-15.387,,,,,
1975,1.24,2.29,89.41,-3.312,,,,,
1976,2.29,2.79,21.74,-0.355,,,,,
1977,2.79,2.53,-9.18,-0.235,,,,,
1978,2.53,2.76,8.99,7.753,-4.448,,,,
1979,2.76,2.96,7.22,19.592,0.593,,,,
1980,2.96,3.47,17.31,8.667,2.503,,,,
1981,3.47,2.91,-15.98,0.846,0.244,,,,
1982,2.91,3.67,25.85,7.723,3.667,,,,
1983,3.67,5.24,43.03,13.68,10.677,1.249,,,
1984,5.24,6.41,22.22,16.711,18.143,5.702,,,
1985,6.41,7.45,16.19,16.511,12.521,6.974,,,
1986,7.45,2.93,-60.69,0.137,0.491,0.208,,,
1987,2.96,3.84,31.07,0.91,4.261,2.74,,,
1988,3.84,3.64,-5.18,-7.028,2.806,4.429,-0.887,,
1989,3.64,4.01,10.16,-8.955,3.083,8.315,1.83,,
1990,4.04,3.62,-9.58,-13.441,0.424,3.1,1.458,,
1991,3.62,5.44,50.2,13.174,6.456,4.552,3.303,,
1992,5.44,5.63,3.39,7.953,4.372,5.477,4.019,,
1993,5.64,5.36,-4.8,8.047,0.227,4.524,5.322,0.839,
1994,5.36,6.56,22.55,10.345,0.232,5.449,8.819,3.479,
1995,6.55,7.69,17.1,16.264,0.318,5.448,6.244,4.26,
1996,7.69,7.97,3.7,7.937,10.525,6.948,5.388,4.214,
1997,7.99,7.65,-4.01,6.324,7.135,5.019,5.688,4.476,
1998,7.64,6.37,-16.81,3.513,5.756,1.31,4.271,4.958,1.28
1999,6.41,6.51,2.34,-0.153,4.965,0.103,4.019,6.963,2.865
2000,6.54,8.15,25.08,1.169,8.454,0.6,4.362,5.209,3.738
2001,8.12,6.76,-17.0,-3.24,2.196,5.732,4.304,3.603,2.933
2002,6.94,5.92,-12.49,-4.998,0.504,2.928,2.42,3.459,2.834
2003,5.97,7.39,24.93,3.015,3.264,4.834,1.734,4.018,4.632
2004,7.43,10.46,41.52,9.949,4.776,6.6,2.479,5.179,7.455
2005,10.52,11.52,10.08,7.166,4.124,8.023,2.203,4.917,5.533
2006,11.47,16.58,43.97,19.654,7.6,7.712,9.053,7.208,6.121
2007,16.64,23.64,42.52,31.906,11.943,10.038,9.513,7.736,7.734
2008,23.57,19.38,-18.0,21.267,11.769,8.946,8.721,5.371,6.712
2009,19.49,24.16,24.66,18.226,14.012,9.08,9.395,5.451,7.249
2010,24.5,34.62,43.27,24.616,15.563,10.55,11.952,6.338,7.969
2011,34.96,37.28,7.7,17.592,18.619,10.833,10.102,10.709,8.873
2012,38.24,50.71,36.03,16.49,23.959,13.439,11.617,10.874,9.148
2013,51.7,65.39,28.95,27.536,24.362,16.795,13.323,12.247,8.778
2014,65.23,49.42,-24.42,15.388,16.798,14.469,10.624,10.568,7.045
2015,49.47,33.91,-31.39,-0.414,11.401,9.971,7.701,9.362,5.181
2016,32.77,49.01,44.54,5.624,11.447,14.118,9.507,9.191,9.845
2017,49.6,82.03,67.36,10.097,13.249,19.154,12.594,11.311,10.744
2018,82.66,64.09,-21.87,-0.401,12.705,15.49,12.236,10.435,10.033
2019,63.04,99.82,55.74,15.097,15.242,16.228,14.626,11.505,11.31
2020,100.37,114.93,15.14,27.65,12.748,16.573,14.147,11.424,12.217
2021,115.71,109.89,-4.39,17.526,11.416,13.438,14.961,11.066,10.538
2022,110.56,124.8,13.57,8.755,9.424,11.73,16.465,11.816,10.881
2023,124.87,86.09,-31.02,6.08,2.788,10.452,13.062,10.977,9.697
