Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,1.64,1.15,,,,,,,
1969,1.16,0.6937,-39.84,,,,,,
1970,0.7188,0.4781,-31.08,,,,,,
1971,0.4656,0.5437,13.72,,,,,,
1972,0.5938,0.6344,16.68,,,,,,
1973,0.6438,0.5,-21.19,-15.345,,,,,
1974,0.5,0.4813,-3.74,-7.05,,,,,
1975,0.4813,0.9406,95.43,14.493,,,,,
1976,0.9406,1.34,42.87,19.77,,,,,
1977,1.35,1.14,-14.88,12.437,,,,,
1978,1.14,1.99,73.76,31.819,5.637,,,,
1979,1.99,3.78,90.25,51.013,18.476,,,,
1980,3.78,5.34,41.33,41.523,27.292,,,,
1981,5.34,3.06,-42.69,17.957,18.86,,,,
1982,3.06,4.13,34.69,29.363,20.603,,,,
1983,4.13,7.27,76.14,29.579,30.694,13.081,,,
1984,7.27,8.69,19.57,18.115,33.555,18.356,,,
1985,8.69,8.59,-1.08,9.974,24.755,21.236,,,
1986,8.59,8.47,-1.45,22.584,20.248,20.089,,,
1987,8.5,6.09,-28.04,8.077,18.242,16.274,,,
1988,6.09,6.34,4.1,-2.7,12.285,18.452,8.91,,
1989,6.34,5.61,-11.58,-8.38,4.027,17.789,11.017,,
1990,5.61,3.16,-43.73,-18.127,-5.111,8.414,9.903,,
1991,3.16,6.72,112.88,-4.523,8.184,11.348,13.397,,
1992,6.72,12.95,92.79,16.287,12.107,17.587,16.277,,
1993,13.05,11.53,-10.98,12.706,4.72,12.426,16.988,9.659,
1994,11.55,10.88,-5.69,14.165,2.273,7.302,16.872,11.64,
1995,10.84,14.78,35.92,36.144,5.577,7.023,14.766,14.711,
1996,14.75,17.69,19.66,21.359,7.643,12.409,13.771,14.946,
1997,17.72,21.69,22.61,10.866,13.544,11.692,15.869,15.174,
1998,21.59,29.5,36.02,20.67,16.62,9.787,14.432,17.716,11.422
1999,29.88,26.38,-10.59,19.379,16.743,7.684,10.202,17.369,12.894
2000,26.06,39.0,47.87,21.417,28.569,10.613,10.453,16.066,15.803
2001,39.09,39.82,2.1,17.618,19.474,10.87,13.689,14.53,15.387
2002,39.75,39.69,-0.339,12.846,11.851,13.311,11.979,15.258,14.783
2003,39.69,45.2,13.88,8.909,14.639,13.991,9.567,13.306,16.2
2004,45.02,52.3,15.72,14.669,17.0,16.048,9.389,11.081,16.915
2005,52.69,57.02,9.03,7.893,14.455,21.271,9.926,9.936,14.662
2006,57.48,74.35,30.38,13.302,15.44,17.38,11.473,13.612,14.324
2007,75.05,88.99,19.69,17.525,15.162,13.712,14.35,13.067,15.633
2008,88.75,57.59,-35.28,4.964,6.918,11.319,11.664,8.631,11.871
2009,57.76,68.17,18.37,5.443,9.959,13.014,13.3,8.588,10.121
2010,68.51,70.96,4.09,4.471,6.168,11.025,16.833,8.813,9.006
2011,70.26,66.41,-6.41,-2.233,5.248,9.22,12.136,8.586,10.803
2012,67.97,69.27,4.31,-4.887,5.727,8.049,8.746,10.214,9.855
2013,70.67,95.55,37.94,10.656,7.773,8.15,11.153,11.462,8.966
2014,94.85,137.62,44.03,15.085,10.158,11.642,13.528,13.655,9.645
2015,138.47,137.36,-0.1889,14.122,9.19,8.756,11.792,16.286,9.68
2016,135.62,172.66,25.7,21.057,8.791,10.274,12.066,13.866,10.572
2017,174.39,203.45,17.83,24.046,8.62,11.511,11.843,11.647,12.407
2018,203.54,157.21,-22.73,10.471,10.564,8.665,8.726,11.016,11.296
2019,155.32,176.35,12.17,5.085,9.971,8.441,9.965,11.787,12.18
2020,177.45,148.82,-15.61,1.616,7.687,6.605,6.925,9.678,13.701
2021,149.26,208.47,40.08,3.841,12.119,7.115,8.629,10.37,12.13
2022,209.0,248.11,19.01,4.049,13.608,7.075,9.597,10.239,10.343
2023,247.85,226.37,-8.76,7.564,9.008,9.555,8.389,8.493,10.433
