Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,5.98,5.87,,,,,,,
1969,5.93,4.84,-17.44,,,,,,
1970,4.79,5.87,21.13,,,,,,
1971,5.87,7.83,33.42,,,,,,
1972,7.88,9.11,16.37,,,,,,
1973,9.16,7.88,-13.55,6.066,,,,,
1974,7.84,4.17,-47.02,-2.936,,,,,
1975,4.17,5.77,38.2,-0.343,,,,,
1976,5.77,6.95,20.59,-2.356,,,,,
1977,6.95,6.23,-10.34,-7.318,,,,,
1978,6.2,5.89,-5.51,-5.655,0.034,,,,
1979,5.89,6.33,7.43,8.706,2.72,,,,
1980,6.33,7.66,20.99,5.83,2.697,,,,
1981,7.67,7.17,-6.33,0.625,-0.877,,,,
1982,7.22,11.86,65.36,13.742,2.673,,,,
1983,11.86,14.66,23.58,20.006,6.405,6.292,,,
1984,14.59,14.16,-3.41,17.471,13.004,7.419,,,
1985,14.13,18.19,28.48,18.883,12.167,7.832,,,
1986,18.19,21.5,18.21,24.562,11.955,6.966,,,
1987,21.59,22.06,2.62,13.215,13.478,6.073,,,
1988,22.31,22.38,1.42,8.829,14.281,7.207,6.921,,
1989,22.31,32.25,44.13,17.894,17.683,14.611,9.947,,
1990,32.25,28.69,-11.05,9.542,14.117,11.285,8.257,,
1991,28.69,38.25,33.33,12.212,18.226,12.041,8.254,,
1992,37.81,42.75,11.76,14.147,13.68,13.701,8.037,,
1993,42.81,52.44,22.66,18.566,13.593,15.692,9.94,9.154,
1994,52.32,51.0,-2.74,9.599,13.671,14.924,13.337,9.878,
1995,50.75,72.0,41.18,20.204,14.749,16.111,13.451,10.547,
1996,71.38,98.88,37.33,20.919,16.484,19.117,14.197,10.676,
1997,98.76,146.76,48.42,27.978,20.865,18.259,17.113,11.759,
1998,146.63,204.01,39.01,31.219,24.732,19.189,19.392,13.9,12.556
1999,202.76,309.52,51.72,43.425,25.376,22.831,21.469,18.802,14.867
2000,306.02,287.64,-7.07,31.918,25.925,20.208,19.876,16.925,13.852
2001,280.52,240.5,-16.39,19.454,20.184,17.466,19.201,15.23,12.093
2002,241.82,146.11,-39.25,-0.089,13.077,13.433,13.378,13.451,9.691
2003,147.91,185.89,27.23,-1.843,13.49,15.158,13.542,14.806,11.111
2004,186.01,219.01,17.82,-6.684,15.688,13.622,14.675,15.229,14.115
2005,220.27,210.31,-3.97,-6.07,11.315,14.202,13.019,14.168,12.734
2006,210.61,223.28,6.16,-1.475,8.486,12.482,12.414,14.745,12.261
2007,224.48,222.44,-0.3763,8.769,4.246,11.623,12.248,12.441,12.657
2008,222.62,97.21,-56.3,-12.16,-7.145,4.201,7.62,7.861,9.796
2009,99.07,90.79,-6.6,-16.148,-11.542,3.92,5.311,7.716,9.283
2010,91.33,109.75,20.89,-12.197,-9.185,2.85,6.938,7.454,9.28
2011,110.95,107.47,-2.08,-13.605,-7.739,0.557,5.301,6.648,9.444
2012,109.39,125.95,17.2,-10.752,-1.474,-1.014,5.551,7.217,8.194
2013,129.07,168.19,33.54,11.588,-0.996,-1.279,6.0,8.402,8.473
2014,167.17,151.63,-9.85,10.802,-3.61,-4.646,5.599,6.387,8.224
2015,152.05,186.91,23.27,11.236,-1.173,-2.833,4.885,7.784,8.075
2016,183.31,189.61,1.44,12.025,-1.621,-1.573,3.309,6.613,7.526
2017,190.03,104.71,-44.78,-3.626,-7.258,-2.197,-1.674,3.648,5.329
2018,105.49,45.42,-56.62,-23.036,-7.327,-8.967,-7.236,-0.573,2.387
2019,44.76,69.67,53.38,-14.404,-2.613,-7.351,-7.185,1.256,2.601
2020,70.11,67.42,-3.23,-18.449,-4.756,-7.304,-6.997,-0.263,2.889
2021,67.98,73.72,9.34,-17.216,-3.699,-7.121,-5.741,-1.168,2.211
2022,74.3,65.38,-11.31,-8.99,-6.346,-7.839,-3.941,-3.183,1.426
2023,65.59,114.24,74.72,20.258,-3.794,1.082,-2.405,-2.293,2.629
