Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1976,7.75,5.6,,,,,,,
1977,5.81,7.53,34.61,,,,,,
1978,8.07,7.85,4.29,,,,,,
1979,7.96,19.48,147.95,,,,,,
1980,20.12,27.33,40.33,,,,,,
1981,27.55,20.12,-26.38,29.148,,,,,
1982,20.23,28.51,41.71,30.509,,,,,
1983,28.41,27.65,-3.02,28.637,,,,,
1984,27.22,20.77,-24.9,1.291,,,,,
1985,20.23,11.84,-43.01,-15.405,,,,,
1986,12.27,13.02,10.0,-8.336,8.803,,,,
1987,13.56,10.98,-15.7,-17.373,3.844,,,,
1988,10.44,7.16,-34.8,-23.679,-0.916,,,,
1989,7.21,12.05,68.42,-10.317,-4.69,,,,
1990,12.16,9.25,-23.21,-4.817,-10.267,,,,
1991,9.36,9.68,4.65,-5.756,-7.055,3.716,,,
1992,9.79,5.38,-44.44,-13.297,-15.359,-2.216,,,
1993,5.27,11.08,106.0,9.125,-8.739,2.324,,,
1994,10.98,13.02,17.48,1.56,-4.563,-2.65,,,
1995,12.8,10.65,-18.18,2.859,-1.054,-6.09,,,
1996,10.76,8.61,-19.19,-2.316,-4.051,-5.501,2.174,,
1997,8.82,5.7,-33.75,1.162,-6.346,-10.176,-1.382,,
1998,5.65,3.44,-39.62,-20.859,-7.068,-12.972,-4.041,,
1999,3.44,3.9,13.28,-21.424,-10.668,-10.551,-7.727,,
2000,3.89,3.01,-22.76,-22.332,-10.62,-8.726,-10.444,,
2001,2.96,4.17,38.28,-13.498,-8.077,-7.31,-7.567,-1.172,
2002,4.17,12.02,188.43,16.093,8.371,0.605,-4.226,1.888,
2003,11.68,12.0,-0.1431,28.388,0.801,3.503,-4.088,1.712,
2004,12.27,10.74,-10.47,22.458,-1.907,-0.764,-3.244,-2.354,
2005,10.65,15.18,41.27,38.211,3.608,3.358,1.25,-2.325,
2006,15.8,16.25,7.09,31.263,6.558,3.514,1.114,-0.851,3.615
2007,16.36,12.22,-24.79,0.331,7.924,5.622,0.536,-3.332,1.627
2008,12.52,8.55,-30.07,-6.555,9.532,-1.713,0.891,-4.586,0.285
2009,8.57,11.29,32.02,1.004,11.215,-0.946,-0.325,-2.409,-1.802
2010,11.66,15.61,38.29,0.56,17.892,2.582,2.651,1.112,-1.85
2011,15.73,13.13,-15.89,-4.174,12.154,2.853,1.536,0.034,-1.413
2012,13.43,10.75,-18.1,-2.531,-1.11,4.32,3.522,-0.085,-3.199
2013,10.81,3.2,-70.24,-17.844,-12.381,-0.481,-6.021,-3.17,-6.936
2014,3.25,4.53,41.56,-16.693,-8.27,1.003,-5.142,-3.838,-4.949
2015,4.43,2.77,-38.85,-29.236,-15.643,-0.552,-6.512,-4.709,-4.727
2016,2.73,3.01,8.66,-25.516,-15.517,-2.15,-5.119,-4.565,-4.765
2017,3.13,4.3,42.86,-16.745,-9.918,-6.623,-1.399,-0.892,-3.077
2018,4.37,3.52,-18.14,1.924,-8.492,-7.851,0.115,-4.483,-2.339
2019,3.47,6.6,87.5,7.817,-5.227,-3.194,2.665,-2.681,-1.987
2020,6.68,9.27,40.45,27.327,-5.078,-3.235,5.785,-0.554,0.007
2021,10.07,10.99,18.55,29.565,-1.763,-2.574,4.965,0.981,0.424
2022,10.8,10.35,-5.82,19.205,-0.378,-1.101,-0.745,2.415,2.205
2023,10.54,12.63,22.03,29.114,14.716,2.635,0.256,5.34,0.437
