Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,0.8911,0.9234,,,,,,,
1969,0.9234,0.904,-2.1,,,,,,
1970,0.9298,0.8459,-6.43,,,,,,
1971,0.833,1.07,26.72,,,,,,
1972,1.04,1.66,55.12,,,,,,
1973,1.66,1.42,-14.57,8.988,,,,,
1974,1.41,1.05,-26.36,3.04,,,,,
1975,1.05,1.54,47.53,12.73,,,,,
1976,1.53,1.78,15.07,10.715,,,,,
1977,1.78,1.57,-11.63,-1.109,,,,,
1978,1.57,1.53,-2.47,1.503,5.179,,,,
1979,1.53,1.29,-15.61,4.203,3.62,,,,
1980,1.28,1.39,8.0,-2.029,5.092,,,,
1981,1.39,1.85,32.87,0.774,5.628,,,,
1982,1.83,2.52,35.88,9.926,4.263,,,,
1983,2.52,2.7,7.18,12.03,6.637,7.415,,,
1984,2.7,2.63,-2.63,15.312,9.617,7.379,,,
1985,2.62,3.16,20.15,17.851,7.453,9.184,,,
1986,3.16,4.46,41.11,19.243,9.62,9.984,,,
1987,4.46,5.13,15.07,15.277,12.57,7.812,,,
1988,5.13,5.36,4.53,14.699,13.357,9.259,9.191,,
1989,5.36,7.48,39.52,23.251,19.215,13.985,11.144,,
1990,7.48,10.12,35.41,26.211,21.96,13.373,13.212,,
1991,10.0,15.21,50.26,27.808,23.451,15.376,14.192,,
1992,15.16,14.15,-6.96,22.498,18.833,15.786,11.31,,
1993,14.26,12.55,-11.31,18.548,16.608,15.062,11.511,11.002,
1994,12.55,11.8,-5.97,9.546,16.196,15.901,12.859,10.823,
1995,11.78,14.44,22.32,7.369,16.409,16.888,11.841,12.019,
1996,14.44,15.91,10.17,0.904,13.562,15.425,11.574,11.402,
1997,15.88,17.91,12.57,4.826,13.318,13.967,12.943,9.981,
1998,17.89,19.44,8.55,9.147,13.75,14.066,13.553,11.034,10.69
1999,19.44,17.88,-8.04,8.667,9.105,13.63,14.048,12.008,10.46
2000,17.69,22.28,24.65,9.061,8.212,13.907,14.88,11.28,11.52
2001,22.0,26.0,16.71,10.322,5.508,12.472,14.127,11.322,11.221
2002,25.86,23.48,-9.73,5.565,5.195,10.672,11.806,11.427,9.233
2003,23.48,22.65,-3.51,3.104,6.082,10.085,11.221,11.382,9.671
2004,22.75,24.86,9.74,6.814,7.736,8.336,11.886,12.563,11.125
2005,24.87,24.66,-0.7846,2.051,5.498,6.118,10.819,12.191,9.685
2006,24.76,28.8,16.79,2.067,6.114,4.348,9.775,11.606,9.723
2007,28.7,28.5,-1.04,3.951,4.755,4.779,8.952,10.189,10.145
2008,28.43,30.38,6.58,6.048,4.566,6.071,9.061,10.166,10.475
2009,30.46,35.41,16.56,7.331,7.072,7.601,8.084,10.96,11.674
2010,35.59,35.59,0.5225,7.614,4.795,6.198,6.49,10.171,11.415
2011,35.75,40.41,13.54,7.009,4.508,6.411,5.007,9.216,10.827
2012,40.59,40.42,0.0247,7.238,5.582,5.576,5.388,8.607,9.692
2013,40.9,49.91,23.48,10.438,8.221,6.488,7.146,9.335,10.212
2014,49.6,53.33,6.85,8.535,7.931,7.557,7.834,8.174,10.552
2015,53.1,57.66,8.12,10.131,8.865,6.544,7.168,7.208,10.164
2016,56.84,61.77,7.13,8.857,7.929,5.938,7.018,5.766,9.156
2017,62.09,59.29,-4.01,7.964,7.6,6.37,6.168,5.898,8.5
2018,59.43,38.94,-34.32,-4.843,2.513,3.678,3.534,4.633,6.834
2019,38.82,53.56,37.54,0.086,4.225,5.25,5.639,6.238,6.782
2020,53.63,58.8,9.78,0.392,5.149,5.964,4.972,5.777,6.041
2021,58.58,67.38,14.59,1.754,5.246,5.83,4.876,5.944,5.086
2022,67.2,83.85,24.44,7.178,7.57,7.459,6.571,6.369,6.11
2023,83.56,66.25,-20.99,11.214,2.873,5.335,5.513,5.027,5.702
