Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,5.72,4.8,,,,,,,
1969,4.79,4.24,-11.56,,,,,,
1970,4.27,2.95,-30.55,,,,,,
1971,2.93,3.09,4.95,,,,,,
1972,3.08,4.55,47.04,,,,,,
1973,4.55,3.16,-30.57,-8.021,,,,,
1974,3.15,1.25,-60.4,-21.673,,,,,
1975,1.27,1.81,45.0,-9.308,,,,,
1976,1.82,2.97,63.79,-0.789,,,,,
1977,2.97,2.17,-26.84,-13.764,,,,,
1978,2.17,2.22,2.15,-6.818,-7.421,,,,
1979,2.22,2.33,5.17,13.263,-5.811,,,,
1980,2.33,2.48,6.48,6.501,-1.72,,,,
1981,2.48,2.16,-13.0,-6.17,-3.517,,,,
1982,2.16,2.74,26.99,4.775,-4.945,,,,
1983,2.74,2.91,5.88,5.562,-0.821,-3.281,,,
1984,2.91,2.88,-1.07,4.33,8.705,-2.546,,,
1985,2.87,5.15,78.98,15.737,11.023,3.784,,,
1986,5.15,4.57,-11.13,16.17,4.404,2.643,,,
1987,4.58,3.9,-14.81,7.316,6.038,-1.022,,,
1988,3.92,5.78,48.4,14.712,10.042,4.108,0.933,,
1989,5.75,7.17,23.96,20.012,11.896,12.35,2.662,,
1990,7.17,7.48,4.36,7.75,11.672,9.921,4.762,,
1991,7.48,12.79,71.03,22.854,19.465,10.224,7.361,,
1992,12.54,12.5,-2.28,26.232,16.39,12.382,5.183,,
1993,12.58,9.33,-25.33,10.05,12.357,10.045,5.563,2.694,
1994,9.25,9.96,6.7,6.794,13.21,10.169,10.935,3.475,
1995,10.0,10.67,7.11,7.362,7.556,10.217,9.276,5.277,
1996,10.58,15.42,44.53,3.811,12.932,14.001,8.584,6.641,
1997,15.25,12.37,-19.73,-0.209,12.236,10.571,9.093,4.082,
1998,12.5,15.0,21.21,9.962,10.006,11.553,10.024,6.428,3.871
1999,14.96,42.98,186.53,33.968,19.612,19.745,15.69,15.2,8.026
2000,43.04,52.81,22.88,37.693,21.585,16.787,16.523,14.446,10.094
2001,52.0,8.92,-83.11,-10.369,-3.54,4.559,7.348,4.497,3.597
2002,8.99,3.31,-62.89,-23.177,-12.443,-1.088,0.949,1.703,-1.055
2003,3.43,10.43,215.11,-7.009,1.121,4.014,6.591,6.384,4.061
2004,10.53,11.77,12.85,-22.82,1.684,3.36,7.292,6.693,7.761
2005,11.84,19.66,67.03,-17.932,6.302,6.654,6.927,8.634,8.275
2006,19.98,18.71,-4.83,15.969,1.953,2.568,7.302,9.02,6.327
2007,18.94,23.99,28.22,48.607,6.848,4.442,9.509,9.066,8.339
2008,24.02,9.53,-60.28,-1.789,-4.435,0.141,2.532,4.86,4.976
2009,9.6,19.31,102.62,10.408,-7.689,4.512,5.078,7.908,7.304
2010,19.47,19.32,0.0518,-0.348,-9.567,4.037,4.859,5.431,7.083
2011,19.43,12.98,-32.82,-7.052,3.822,-1.142,0.074,4.264,6.16
2012,13.26,12.62,-2.77,-12.056,14.32,0.133,0.048,4.809,5.223
2013,12.93,17.82,41.2,13.335,5.502,1.155,3.288,4.607,6.227
2014,17.74,22.93,28.68,3.496,6.896,-4.102,4.257,4.76,7.16
2015,23.03,18.28,-20.28,-1.101,-0.725,-6.828,2.728,3.639,4.313
2016,17.95,24.27,32.77,13.334,2.636,6.901,2.294,2.595,5.724
2017,24.4,31.99,31.81,20.446,2.92,16.327,4.865,3.83,7.267
2018,32.32,30.21,-5.56,11.134,12.229,7.347,3.563,4.812,5.667
2019,29.59,29.11,-3.64,4.888,4.19,6.223,-1.929,4.383,4.781
2020,29.32,36.0,23.67,14.516,6.422,4.115,-1.898,4.985,5.377
2021,36.05,37.23,3.42,8.934,11.112,4.694,7.405,3.589,3.626
2022,37.4,31.94,-14.21,-0.031,9.731,1.926,12.002,3.867,3.177
2023,32.14,32.86,2.88,1.696,6.31,8.602,5.906,3.187,4.286
