Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1971,1.95,2.59,,,,,,,
1972,2.6,4.66,80.06,,,,,,
1973,4.69,4.33,-7.05,,,,,,
1974,4.3,2.17,-49.82,,,,,,
1975,2.17,3.13,43.88,,,,,,
1976,3.13,3.75,20.0,7.683,,,,,
1977,3.75,3.94,5.0,-3.301,,,,,
1978,3.91,4.06,3.17,-1.279,,,,,
1979,4.06,4.67,15.0,16.566,,,,,
1980,4.64,4.31,-7.69,6.607,,,,,
1981,4.31,4.64,7.61,4.351,6.004,,,,
1982,4.67,6.69,44.11,11.17,3.682,,,,
1983,6.63,7.69,14.95,13.627,5.912,,,,
1984,7.69,7.17,-6.71,8.953,12.695,,,,
1985,7.17,9.59,33.77,17.346,11.848,,,,
1986,9.59,10.88,13.35,18.583,11.24,10.041,,,
1987,10.88,14.69,35.06,17.036,14.065,7.955,,,
1988,14.69,13.47,-8.3,11.863,12.742,7.86,,,
1989,13.47,16.13,19.72,17.604,13.196,14.308,,,
1990,16.13,16.59,2.91,11.585,14.429,11.76,,,
1991,16.59,27.13,63.46,20.051,19.314,14.102,12.462,,
1992,27.13,30.0,10.6,15.351,16.19,14.492,9.758,,
1993,30.06,28.75,-4.17,16.373,14.096,13.939,9.928,,
1994,28.75,28.88,0.4348,12.355,14.95,12.915,13.817,,
1995,28.75,33.13,14.72,14.835,13.198,14.564,12.521,,
1996,33.06,40.13,21.13,8.144,13.942,15.468,12.583,11.585,
1997,40.06,48.59,21.11,10.125,12.707,14.132,13.384,9.831,
1998,48.72,41.63,-14.34,7.685,11.945,11.918,12.342,9.475,
1999,41.38,47.81,14.86,10.607,11.478,13.484,12.334,13.168,
2000,47.63,36.5,-23.66,1.956,8.204,9.32,11.273,10.324,
2001,35.75,48.0,31.51,3.646,5.872,10.401,12.392,10.736,10.221
2002,47.5,51.55,7.4,1.19,5.563,8.729,10.749,10.833,8.341
2003,51.7,47.39,-8.07,2.626,5.125,8.748,9.519,10.328,8.303
2004,47.37,66.62,40.58,6.86,8.718,9.917,11.79,11.217,12.091
2005,66.52,71.1,6.72,14.266,7.936,10.188,10.536,11.865,10.971
2006,71.02,69.94,-1.63,7.819,5.712,6.517,9.75,11.462,10.244
2007,70.5,87.52,25.14,11.167,6.061,7.399,9.334,10.833,10.889
2008,87.17,78.84,-9.92,10.716,6.594,6.957,9.237,9.757,10.393
2009,78.85,96.83,22.82,7.766,7.312,8.4,9.375,10.974,10.634
2010,97.24,138.11,42.63,14.201,14.233,9.985,11.178,11.259,12.251
2011,139.18,187.19,35.54,21.762,14.579,10.812,10.139,12.054,13.116
2012,191.29,202.37,8.11,18.252,14.655,9.978,10.015,11.062,12.036
2013,205.39,255.42,26.21,26.503,18.347,12.856,11.54,12.49,12.386
2014,254.7,254.89,-0.2075,21.358,14.36,11.804,11.503,11.673,12.64
2015,256.02,202.59,-20.52,7.964,11.039,12.104,9.476,10.528,10.703
2016,199.55,232.25,14.64,4.408,12.752,11.083,9.175,8.968,10.742
2017,233.42,236.25,1.72,3.144,10.44,10.682,8.228,8.605,9.701
2018,237.05,282.36,19.52,2.026,13.607,12.635,10.045,9.569,10.675
2019,278.89,338.52,19.89,5.839,13.333,11.446,10.282,10.347,10.679
2020,339.75,408.34,20.63,15.048,11.45,12.36,12.833,10.569,11.269
2021,410.44,518.24,26.91,17.413,10.72,14.284,12.633,10.775,10.332
2022,517.51,556.25,7.33,18.681,10.64,13.121,12.629,10.242,10.223
2023,558.54,710.78,27.78,20.278,10.777,15.789,14.499,12.019,11.285
