Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,1.32,2.05,,,,,,,
1969,2.04,2.05,,,,,,,
1970,2.03,1.98,-3.56,,,,,,
1971,1.96,3.22,62.63,,,,,,
1972,3.23,5.84,81.55,,,,,,
1973,5.85,8.05,37.79,31.464,,,,,
1974,8.05,5.71,-29.04,22.737,,,,,
1975,5.74,6.09,6.65,25.196,,,,,
1976,6.12,8.14,33.59,20.38,,,,,
1977,8.11,8.14,,6.867,,,,,
1978,8.14,8.25,1.34,0.492,14.94,,,,
1979,8.25,10.63,28.79,13.235,17.89,,,,
1980,10.59,20.88,96.47,27.945,26.563,,,,
1981,20.88,13.03,-37.58,9.866,15.003,,,,
1982,13.03,8.84,-32.13,1.664,4.233,,,,
1983,8.84,10.09,14.13,4.109,2.284,11.21,,,
1984,10.09,7.13,-29.41,-7.677,2.246,8.665,,,
1985,7.13,6.88,-3.51,-19.911,1.227,8.658,,,
1986,6.88,6.09,-11.36,-14.112,-2.86,4.34,,,
1987,6.13,6.19,1.54,-6.879,-2.701,0.389,,,
1988,6.19,7.0,13.13,-7.052,-1.63,-0.927,6.333,,
1989,7.0,10.69,52.68,8.437,0.056,4.269,8.608,,
1990,10.69,11.41,6.72,10.647,-5.864,4.274,9.152,,
1991,11.41,7.13,-37.53,3.204,-5.851,-0.879,4.055,,
1992,7.13,7.19,0.8772,3.04,-2.045,-0.824,1.045,,
1993,7.25,7.97,10.87,2.629,-2.331,-0.23,-0.05,5.582,
1994,7.91,8.28,3.92,-4.981,1.507,-1.652,1.875,5.743,
1995,8.25,12.66,52.83,2.101,6.288,-3.281,3.727,7.704,
1996,12.63,15.06,19.01,16.131,9.476,0.97,3.124,6.365,
1997,15.06,25.94,72.2,29.255,15.406,7.44,5.966,6.146,
1998,25.97,14.81,-42.89,13.193,7.782,2.591,2.969,2.468,6.814
1999,15.13,20.13,35.86,19.444,6.534,7.164,3.244,5.169,7.912
2000,20.22,18.13,-9.94,7.447,4.74,6.673,-0.704,4.46,7.661
2001,18.47,6.55,-63.86,-15.339,-0.845,0.487,-3.38,-0.866,2.395
2002,6.53,9.36,42.82,-18.443,2.673,2.795,0.286,0.56,1.585
2003,9.53,13.0,38.96,-2.573,5.014,4.213,1.275,1.836,1.61
2004,13.01,19.62,50.92,-0.512,9.01,4.131,5.191,2.482,4.2
2005,19.38,30.98,57.9,11.311,9.362,6.886,7.814,1.591,5.572
2006,31.59,31.05,0.226,36.51,7.504,10.306,8.486,3.534,4.564
2007,30.9,37.91,22.09,32.28,3.867,11.721,9.485,5.997,5.262
2008,38.05,18.18,-52.04,6.938,2.071,5.652,4.888,2.383,2.669
2009,18.18,30.09,65.51,8.929,4.102,8.983,5.311,5.929,3.529
2010,30.72,40.83,35.69,5.677,8.457,8.119,6.582,7.383,2.261
2011,41.35,34.51,-15.48,2.135,18.078,5.684,8.204,7.185,3.3
2012,33.88,34.69,0.5216,-1.76,13.997,1.957,8.187,7.137,4.663
2013,35.48,50.75,46.3,22.792,14.591,8.557,9.698,8.246,5.532
2014,50.47,39.33,-22.5,5.502,7.202,4.566,8.102,5.349,5.857
2015,39.17,34.04,-13.45,-3.572,0.946,4.289,5.07,4.469,5.474
2016,33.86,54.09,58.9,9.404,5.707,15.113,6.602,8.443,7.552
2017,54.96,48.87,-9.65,7.095,2.572,11.648,3.218,7.967,7.13
2018,48.92,26.58,-45.61,-12.133,3.871,4.884,2.967,4.936,4.548
2019,26.11,24.47,-7.94,-9.054,-2.046,1.484,0.981,4.43,2.799
2020,24.69,18.9,-22.76,-11.101,-7.413,-3.241,0.208,1.616,1.696
2021,19.22,22.87,21.01,-15.816,-4.031,-2.018,6.451,1.685,3.962
2022,23.14,39.35,72.06,-4.241,1.268,0.249,7.444,1.681,5.83
2023,38.96,39.81,1.17,8.415,-2.399,5.364,5.755,4.035,5.508
