Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1972,1.06,1.04,,,,,,,
1973,1.04,0.8365,-19.72,,,,,,
1974,0.8365,0.601,-28.15,,,,,,
1975,0.601,0.6472,7.69,,,,,,
1976,0.6472,0.9004,39.12,,,,,,
1977,0.9004,1.05,16.89,0.192,,,,,
1978,1.06,1.19,13.01,7.304,,,,,
1979,1.19,1.19,0.2606,14.64,,,,,
1980,1.19,1.2,0.7044,13.143,,,,,
1981,1.2,1.74,44.64,14.083,,,,,
1982,1.72,1.77,1.85,11.009,5.462,,,,
1983,1.77,2.3,29.8,14.087,10.644,,,,
1984,2.3,3.08,34.24,20.949,17.752,,,,
1985,3.04,4.5,45.83,30.259,21.4,,,,
1986,4.5,4.52,0.5717,21.037,17.509,,,,
1987,4.52,3.99,-11.77,17.652,14.282,9.378,,,
1988,3.99,4.47,12.01,14.213,14.15,11.821,,,
1989,4.47,5.96,33.33,14.114,17.482,16.527,,,
1990,5.96,3.65,-38.81,-4.101,11.766,12.223,,,
1991,3.65,6.71,84.04,8.222,14.45,14.328,,,
1992,6.71,9.78,45.83,19.639,18.641,16.041,11.858,,
1993,9.68,11.18,14.23,20.123,17.131,16.107,13.841,,
1994,11.29,10.2,-8.73,11.345,12.721,15.399,15.209,,
1995,10.05,14.9,46.09,32.489,12.719,18.286,16.979,,
1996,14.67,18.01,20.89,21.831,14.825,16.86,16.159,,
1997,18.01,27.05,50.14,22.565,21.093,19.935,17.638,13.921,
1998,26.77,24.84,-8.14,17.312,18.709,17.191,16.407,14.527,
1999,24.84,21.7,-12.64,16.298,13.795,13.901,15.623,15.426,
2000,21.53,16.19,-25.42,1.675,16.063,8.91,13.895,13.744,
2001,16.19,17.19,6.19,-0.928,9.864,9.314,12.134,12.521,
2002,17.26,18.71,8.84,-7.107,6.702,10.851,12.514,12.211,10.112
2003,18.83,22.5,20.26,-1.959,7.244,11.376,12.079,12.477,11.598
2004,22.58,24.74,9.96,2.657,9.265,9.954,10.979,12.905,13.192
2005,24.71,23.75,-4.0,7.965,4.773,13.299,8.673,12.683,12.76
2006,23.89,23.75,,6.679,2.805,8.792,8.649,11.021,11.526
2007,23.84,14.76,-37.85,-4.632,-5.878,2.782,6.759,8.854,9.21
2008,14.85,7.66,-48.1,-19.386,-11.099,-2.489,2.73,4.93,6.404
2009,7.88,3.65,-52.35,-31.801,-16.327,-6.622,-2.422,0.682,3.807
2010,3.71,6.87,88.22,-21.971,-8.215,-5.03,3.213,1.707,5.989
2011,6.96,5.49,-20.09,-25.393,-10.787,-7.614,-0.998,0.781,3.904
2012,5.63,6.39,16.39,-15.417,-10.186,-9.171,-2.106,1.902,4.372
2013,6.59,9.65,51.02,4.727,-8.117,-6.109,-0.733,3.126,4.896
2014,9.6,10.52,9.02,23.579,-8.196,-4.712,0.155,2.299,4.179
2015,10.6,11.06,5.13,9.992,-7.358,-2.508,-1.479,4.534,3.043
2016,10.76,13.22,19.53,19.215,-5.69,-1.735,-1.534,2.75,3.642
2017,13.46,14.56,10.14,17.905,-0.136,-1.658,-3.05,1.604,4.409
2018,14.71,11.92,-18.13,4.316,4.521,-4.147,-3.605,0.257,3.323
2019,11.78,15.08,26.51,7.467,15.242,-3.246,-1.803,1.576,3.143
2020,15.12,12.63,-16.25,2.69,6.278,-4.123,-1.234,-0.659,4.225
2021,12.75,15.42,22.09,3.127,10.879,-2.838,-0.542,-0.619,2.812
2022,15.5,14.1,-8.56,-0.64,8.236,-0.305,-1.404,-2.572,1.227
2023,14.29,11.22,-20.43,-1.203,1.519,2.577,-3.419,-3.129,0.012
