Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1969,8.57,4.78,,,,,,,
1970,4.76,7.46,56.01,,,,,,
1971,7.52,6.62,-11.17,,,,,,
1972,6.62,7.12,7.48,,,,,,
1973,7.14,6.05,-15.04,,,,,,
1974,6.07,2.5,-58.69,-12.158,,,,,
1975,2.5,2.66,6.35,-18.637,,,,,
1976,2.66,5.04,89.55,-5.308,,,,,
1977,5.04,4.51,-10.41,-8.728,,,,,
1978,4.49,4.69,3.89,-4.965,,,,,
1979,4.58,8.12,73.33,26.568,5.442,,,,
1980,8.12,14.46,77.95,40.3,6.842,,,,
1981,14.46,8.04,-44.38,9.791,1.962,,,,
1982,8.04,8.33,3.63,13.056,1.582,,,,
1983,8.58,9.67,16.0,15.571,4.801,,,,
1984,9.67,8.12,-15.95,0.0,12.502,3.596,,,
1985,8.12,9.08,11.79,-8.886,13.063,1.319,,,
1986,9.08,7.92,-12.84,-0.3,4.624,1.202,,,
1987,7.92,8.29,4.74,-0.096,6.277,1.019,,,
1988,8.42,10.5,26.63,1.661,8.393,3.744,,,
1989,10.46,16.25,54.76,14.884,7.184,13.291,6.309,,
1990,16.25,15.46,-4.87,11.231,0.671,12.449,3.711,,
1991,15.46,15.83,2.43,14.855,7.01,7.929,4.455,,
1992,15.92,15.33,-3.16,13.083,6.289,8.499,3.909,,
1993,15.33,15.04,-1.9,7.451,4.516,8.078,4.659,,
1994,15.0,15.21,1.11,-1.314,6.477,4.273,9.448,4.739,
1995,15.17,17.67,16.16,2.708,6.885,1.346,9.93,3.509,
1996,17.67,19.29,9.2,4.033,9.31,6.008,6.941,4.371,
1997,19.37,18.29,-5.18,3.594,8.235,5.383,7.251,3.846,
1998,18.27,16.58,-9.34,1.969,4.674,3.66,6.517,4.115,
1999,16.67,18.92,14.07,4.462,1.533,5.801,4.32,8.432,4.693
2000,18.87,24.35,28.74,6.623,4.648,6.797,2.64,9.261,4.022
2001,24.4,20.83,-14.46,1.548,2.783,6.659,4.875,5.84,3.895
2002,20.8,18.35,-11.92,0.066,1.814,5.44,4.028,5.774,3.206
2003,18.13,17.72,-3.41,1.339,1.653,3.55,3.075,5.461,3.647
2004,17.75,27.46,54.94,7.735,6.086,3.559,6.281,4.994,8.316
2005,27.33,42.27,53.95,11.662,9.114,6.935,7.993,4.384,9.658
2006,42.83,49.57,17.26,18.934,9.898,7.907,9.604,7.547,7.918
2007,48.85,100.86,103.47,40.61,18.618,13.382,13.307,10.49,10.914
2008,100.07,53.64,-46.82,24.797,12.458,8.847,8.496,7.093,8.462
2009,53.91,60.5,12.79,17.115,12.327,9.642,6.794,8.365,6.924
2010,61.84,76.54,26.51,12.609,12.134,10.266,8.326,8.901,5.712
2011,77.94,56.8,-25.79,2.76,10.552,7.465,6.597,8.199,6.734
2012,58.72,52.96,-6.76,-12.088,11.181,7.345,6.395,7.7,6.36
2013,54.13,83.0,56.72,9.123,16.697,11.335,8.916,8.621,7.429
2014,82.95,73.82,-11.06,4.06,10.394,9.501,8.219,6.241,7.635
2015,73.19,48.48,-34.33,-8.729,1.38,4.698,5.176,4.678,5.742
2016,48.4,62.29,28.49,1.862,2.31,7.576,6.036,5.632,7.117
2017,63.38,47.47,-23.79,-2.165,-7.259,6.542,4.884,4.625,5.989
2018,47.97,40.5,-14.68,-13.369,-2.771,5.665,4.567,4.042,4.603
2019,39.29,66.81,64.96,-1.976,0.997,6.107,6.511,6.098,4.825
2020,67.51,52.79,-20.98,1.718,-3.647,1.493,3.945,4.475,4.178
2021,53.85,74.03,40.23,3.514,2.685,2.71,6.546,5.527,5.276
2022,73.9,141.82,91.57,24.47,10.352,2.298,10.766,8.538,7.698
2023,140.04,157.2,10.84,31.159,6.595,7.431,11.532,9.414,8.137
