Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,14.65,15.04,,,,,,,
1969,14.98,17.41,15.71,,,,,,
1970,17.42,15.18,-12.83,,,,,,
1971,14.95,16.07,5.9,,,,,,
1972,15.9,19.2,19.47,,,,,,
1973,19.32,14.73,-23.27,-0.416,,,,,
1974,14.73,10.03,-31.91,-10.443,,,,,
1975,10.04,13.39,33.48,-2.478,,,,,
1976,13.39,16.66,24.47,0.724,,,,,
1977,16.66,16.33,-2.02,-3.186,,,,,
1978,16.3,17.82,9.14,3.882,1.711,,,,
1979,17.82,15.37,-13.74,8.912,-1.239,,,,
1980,15.37,16.21,5.44,3.896,0.659,,,,
1981,16.21,13.58,-16.21,-4.006,-1.669,,,,
1982,13.58,22.98,69.23,7.071,1.813,,,,
1983,22.98,29.13,26.75,10.328,7.057,4.506,,,
1984,29.13,29.4,0.922,13.85,11.354,3.555,,,
1985,29.28,37.13,26.29,18.029,10.737,6.144,,,
1986,36.98,28.65,-22.83,16.103,5.571,3.93,,,
1987,28.86,27.58,-3.75,3.717,5.381,2.444,,,
1988,27.88,29.1,5.52,-0.021,5.026,4.644,3.355,,
1989,29.1,22.48,-22.77,-5.226,3.875,5.528,1.286,,
1990,22.57,26.98,20.05,-6.187,5.227,4.781,2.917,,
1991,26.98,21.25,-21.24,-5.801,4.579,1.636,1.407,,
1992,21.25,12.03,-43.4,-15.29,-6.267,-2.017,-2.31,,
1993,12.36,13.49,12.16,-14.252,-7.409,-1.839,-0.439,-0.434,
1994,13.58,17.55,30.09,-4.831,-5.029,0.888,2.837,0.032,
1995,17.55,21.82,24.32,-4.157,-5.177,2.001,2.472,1.462,
1996,21.82,36.18,65.8,11.23,2.361,6.751,3.954,3.299,
1997,36.71,49.97,38.12,32.95,6.123,5.315,5.751,3.9,
1998,49.91,88.05,76.22,45.527,11.708,7.653,8.316,7.414,6.068
1999,88.35,103.04,17.02,42.477,16.445,8.72,9.981,9.766,6.106
2000,107.4,81.19,-21.21,30.056,11.647,5.354,8.389,7.475,5.749
2001,80.71,115.54,42.31,26.14,18.451,9.742,11.299,8.054,6.797
2002,115.19,74.03,-35.93,8.178,19.926,6.804,6.024,6.232,4.601
2003,75.27,88.52,19.59,0.107,20.699,7.699,5.715,6.622,6.16
2004,88.7,94.16,6.37,-1.786,18.293,10.02,5.993,7.52,7.75
2005,94.53,78.51,-16.62,-0.669,13.66,7.381,3.815,6.514,6.073
2006,78.75,92.79,18.19,-4.291,9.876,10.326,6.052,7.99,5.891
2007,92.82,103.25,11.27,6.88,7.527,15.41,6.823,6.194,6.34
2008,104.1,80.39,-22.15,-1.908,-0.906,12.637,5.212,4.144,5.15
2009,80.13,125.03,55.54,5.835,1.953,13.985,8.958,5.961,7.237
2010,125.3,140.18,12.12,12.293,5.613,13.202,8.588,5.458,7.456
2011,140.61,175.64,25.29,13.612,4.277,11.108,11.138,7.523,8.907
2012,178.36,182.96,4.17,12.123,9.47,9.038,14.579,7.862,7.16
2013,185.39,179.16,-2.08,17.384,7.305,4.85,13.805,7.541,6.242
2014,178.82,153.25,-14.46,4.154,4.991,2.682,11.444,7.98,5.658
2015,154.08,131.45,-14.22,-1.278,5.289,3.264,9.394,6.539,4.304
2016,129.52,158.55,20.61,-2.027,5.503,2.132,7.668,8.371,5.869
2017,159.51,146.54,-7.57,-4.342,3.563,4.657,5.527,10.517,5.725
2018,147.57,108.57,-25.91,-9.532,3.051,1.37,1.053,8.7,4.487
2019,106.99,128.03,17.92,-3.532,0.237,2.07,1.092,8.273,5.97
2020,128.95,120.24,-6.09,-1.767,-1.523,2.883,1.983,7.065,5.107
2021,120.21,133.66,11.16,-3.358,-2.694,2.463,0.731,5.366,6.322
2022,134.07,140.89,5.41,-0.783,-2.579,2.094,3.27,4.233,8.548
2023,141.1,147.94,5.0,6.384,-1.897,4.15,2.601,2.097,8.31
