Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1983,1.54,1.58,,,,,,,
1984,1.6,1.69,6.58,,,,,,
1985,1.69,2.29,35.8,,,,,,
1986,2.29,4.29,87.27,,,,,,
1987,4.29,2.71,-36.89,,,,,,
1988,2.71,3.79,40.0,19.123,,,,,
1989,3.79,3.29,-13.19,14.251,,,,,
1990,3.29,2.92,-11.39,4.981,,,,,
1991,2.92,5.0,71.43,3.11,,,,,
1992,4.96,5.81,16.25,16.477,,,,,
1993,5.81,5.81,,8.92,13.907,,,,
1994,5.81,3.81,-34.41,2.978,8.469,,,,
1995,3.88,4.19,9.84,7.49,6.228,,,,
1996,4.25,3.5,-16.42,-6.885,-2.015,,,,
1997,3.5,4.69,33.93,-4.193,5.638,,,,
1998,4.69,5.75,22.67,-0.207,4.256,8.994,,,
1999,5.72,3.46,-39.81,-1.909,0.505,4.893,,,
2000,3.56,4.2,21.45,0.048,3.702,4.126,,,
2001,4.22,5.8,37.99,10.63,1.495,2.031,,,
2002,5.8,7.33,26.29,9.342,2.351,6.858,,,
2003,7.32,13.51,84.37,18.631,8.805,8.843,11.327,,
2004,13.44,22.43,66.05,45.328,19.396,13.652,13.801,,
2005,22.43,22.64,0.9588,40.064,18.377,14.63,12.138,,
2006,22.64,20.77,-8.26,29.063,19.491,9.959,8.205,,
2007,21.68,27.55,32.64,30.318,19.37,10.934,12.294,,
2008,27.33,26.27,-4.65,14.225,16.407,10.582,10.164,11.901,
2009,26.29,32.27,22.84,7.546,25.018,15.308,12.093,12.522,
2010,32.56,40.81,26.46,12.507,25.531,16.387,14.096,12.211,
2011,41.21,45.07,10.44,16.759,22.757,18.574,11.621,9.864,
2012,46.01,59.71,32.48,16.731,23.337,18.484,12.355,13.168,
2013,61.03,77.3,29.46,24.092,19.056,18.914,13.815,12.819,13.846
2014,77.17,84.25,8.99,21.159,14.15,23.718,16.743,13.851,13.917
2015,84.61,73.36,-12.93,12.445,12.476,21.008,15.388,13.764,12.25
2016,71.85,97.07,32.32,16.584,16.672,20.664,18.073,12.596,10.957
2017,97.83,114.98,18.45,14.003,15.359,20.144,17.347,12.683,13.307
2018,115.96,93.04,-19.08,3.776,13.48,13.728,14.934,11.733,11.259
2019,91.5,116.78,25.52,6.748,13.725,11.627,19.238,14.672,12.635
2020,117.9,136.65,17.01,13.248,12.846,12.732,19.019,14.957,13.677
2021,136.23,204.4,49.58,16.059,16.321,16.467,19.496,17.667,13.166
2022,205.0,174.36,-14.7,8.684,11.311,13.089,17.17,15.561,12.006
2023,175.66,191.73,9.96,15.559,9.509,14.169,14.183,15.059,12.361
