Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1969,9.56,8.89,,,,,,,
1970,8.83,9.63,8.33,,,,,,
1971,9.54,8.33,-13.46,,,,,,
1972,8.31,7.76,-6.89,,,,,,
1973,7.81,6.15,-20.76,,,,,,
1974,6.15,4.31,-29.82,-13.48,,,,,
1975,4.37,4.48,3.86,-14.191,,,,,
1976,4.48,6.35,41.74,-5.283,,,,,
1977,6.33,6.3,-0.8738,-4.083,,,,,
1978,6.26,5.54,-12.06,-2.067,,,,,
1979,5.54,5.43,-2.01,4.728,-4.81,,,,
1980,5.43,6.31,16.38,7.09,-4.139,,,,
1981,6.31,8.07,27.86,4.911,-0.317,,,,
1982,8.07,9.0,11.47,7.394,1.493,,,,
1983,8.94,9.78,8.64,12.038,4.748,,,,
1984,9.78,11.5,17.61,16.193,10.312,1.731,,,
1985,11.46,15.13,31.52,19.114,12.942,3.058,,,
1986,15.13,14.08,-6.89,11.775,8.289,3.561,,,
1987,14.08,7.13,-49.41,-4.551,1.245,-0.563,,,
1988,7.13,10.33,45.03,1.1,6.429,3.518,,,
1989,10.33,9.96,-3.63,-2.834,6.254,5.743,0.57,,
1990,9.96,3.58,-64.02,-25.044,-5.51,-1.484,-4.827,,
1991,3.58,7.08,97.67,-12.846,-1.3,0.728,-0.81,,
1992,7.29,12.88,81.76,12.555,3.65,4.883,2.566,,
1993,12.92,13.38,3.88,5.31,3.184,6.055,3.963,,
1994,13.38,11.96,-10.59,3.728,0.393,5.405,5.236,1.194,
1995,11.96,19.58,63.76,40.471,2.612,7.841,7.653,2.879,
1996,19.5,29.79,52.13,33.293,7.782,9.097,8.035,5.229,
1997,30.08,36.5,22.52,23.162,17.739,9.783,9.181,6.389,
1998,36.21,47.33,29.68,28.747,16.44,11.084,11.322,8.505,
1999,46.75,51.79,9.42,34.061,17.923,10.553,11.937,10.456,6.05
2000,49.83,45.44,-12.27,18.338,28.93,7.607,10.375,9.71,5.308
2001,44.63,36.35,-20.0,4.061,17.773,6.527,7.816,7.228,5.034
2002,36.49,24.0,-33.98,-8.043,6.422,8.428,5.026,5.496,3.835
2003,25.25,36.73,53.04,-4.945,10.626,8.825,6.84,7.86,6.138
2004,36.56,39.01,6.21,-5.51,12.55,9.529,6.298,8.207,7.619
2005,39.48,39.69,1.74,-2.67,7.322,17.396,4.94,7.633,7.542
2006,39.83,48.3,21.69,5.849,4.951,13.656,6.357,7.419,6.997
2007,48.0,43.65,-9.63,12.708,1.805,8.477,9.483,6.52,6.665
2008,43.55,31.53,-27.77,-3.007,-3.981,5.881,5.738,4.794,5.968
2009,31.19,41.67,32.16,1.328,-2.151,8.677,7.418,5.285,7.029
2010,41.79,42.42,1.8,1.339,-0.685,5.289,13.158,4.21,6.558
2011,43.0,33.25,-21.62,-7.196,-0.887,0.735,8.041,3.497,4.833
2012,34.06,43.97,32.24,0.146,6.242,1.249,6.332,7.548,5.43
2013,44.98,58.48,33.0,13.151,4.761,1.42,7.653,7.181,6.142
2014,58.31,62.58,7.01,8.473,4.84,1.27,8.626,7.628,5.809
2015,62.62,66.03,5.51,9.253,5.222,2.523,6.267,12.366,5.034
2016,63.95,86.29,30.68,21.013,5.974,5.933,5.462,10.519,6.23
2017,87.34,106.94,23.93,19.453,9.374,10.474,5.522,8.835,9.446
2018,107.63,97.62,-8.72,10.791,11.965,6.734,3.686,8.274,7.774
2019,95.95,139.4,42.8,17.372,12.835,8.861,5.075,10.322,9.194
2020,139.79,127.07,-8.85,13.988,11.596,8.066,5.276,7.768,12.635
2021,127.5,158.35,24.62,12.91,16.891,8.238,7.636,6.911,10.914
2022,159.86,134.1,-15.31,4.63,11.796,7.77,8.984,5.343,8.123
2023,135.24,146.82,9.49,8.505,9.642,10.799,7.174,4.632,8.312
