Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,2.63,2.59,,,,,,,
1969,2.61,2.56,-1.21,,,,,,
1970,2.59,1.5,-41.46,,,,,,
1971,1.51,1.69,12.5,,,,,,
1972,1.68,1.96,16.2,,,,,,
1973,1.96,1.94,-1.19,-5.616,,,,,
1974,1.94,1.91,-1.62,-5.69,,,,,
1975,1.91,2.69,40.99,12.391,,,,,
1976,2.69,3.45,28.49,15.342,,,,,
1977,3.45,3.05,-11.76,9.247,,,,,
1978,3.05,2.3,-24.62,3.463,-1.18,,,,
1979,2.3,2.36,2.72,4.322,-0.81,,,,
1980,2.36,2.53,7.28,-1.219,5.367,,,,
1981,2.53,2.81,11.11,-4.021,5.216,,,,
1982,2.8,3.33,18.33,1.772,5.443,,,,
1983,3.33,4.05,21.6,11.981,7.638,3.025,,,
1984,4.05,5.0,23.55,16.201,10.102,4.564,,,
1985,4.98,8.69,73.75,27.991,12.442,12.425,,,
1986,8.69,12.94,48.92,35.721,14.133,14.535,,,
1987,12.94,13.09,1.21,31.492,15.682,13.496,,,
1988,13.09,16.06,22.67,31.722,21.451,15.132,9.552,,
1989,16.06,16.91,5.25,27.595,21.765,15.649,9.899,,
1990,16.91,18.97,12.2,16.899,22.319,13.908,13.527,,
1991,18.91,32.69,72.32,20.364,27.812,16.173,15.965,,
1992,32.25,33.5,2.49,20.676,25.968,17.323,15.25,,
1993,33.5,28.38,-15.3,12.061,21.494,18.237,14.356,10.05,
1994,28.25,29.06,2.42,11.437,19.243,18.22,14.581,10.205,
1995,28.94,38.63,32.9,15.285,16.089,19.928,14.251,13.876,
1996,38.38,32.81,-15.05,0.073,9.751,17.802,11.92,12.596,
1997,32.69,49.63,51.24,8.178,14.256,19.735,14.967,13.799,
1998,49.38,34.13,-31.23,3.759,7.83,15.269,14.438,12.154,8.975
1999,34.19,30.81,-9.71,1.176,6.183,12.888,13.707,11.765,8.646
2000,30.13,26.25,-14.81,-7.436,3.301,7.648,12.409,9.541,10.011
2001,26.06,30.1,14.67,-1.709,-0.822,5.789,12.588,9.051,10.075
2002,29.85,34.27,13.85,-7.139,0.228,6.626,12.363,10.16,10.007
2003,34.28,38.08,11.12,2.214,2.984,5.925,11.857,11.882,10.432
2004,37.98,44.66,17.28,7.707,4.391,6.689,11.57,12.481,11.078
2005,44.68,43.22,-3.22,10.487,1.129,5.643,8.351,12.022,9.698
2006,43.95,50.06,15.83,10.709,4.315,2.882,6.999,12.21,9.326
2007,50.29,52.43,4.73,8.876,0.55,3.031,7.185,11.657,9.945
2008,52.3,43.85,-16.36,2.862,2.538,2.943,5.15,9.997,10.325
2009,43.98,53.2,21.32,3.562,5.614,4.114,5.898,9.92,10.943
2010,53.31,51.08,-3.98,3.398,6.884,1.88,5.077,7.342,10.536
2011,51.23,50.57,-0.9984,0.203,5.325,2.926,2.205,5.604,10.113
2012,50.97,55.85,10.44,1.272,5.005,0.79,2.589,5.975,9.855
2013,56.33,61.07,9.35,6.849,4.837,3.955,3.906,5.488,9.466
2014,60.98,65.44,7.16,4.228,3.894,5.15,4.142,5.562,8.95
2015,65.63,72.27,10.44,7.187,5.276,6.985,3.181,5.496,7.316
2016,71.59,73.71,1.99,7.827,3.945,6.153,4.13,3.306,5.971
2017,73.71,67.98,-7.77,4.009,2.631,4.672,1.586,2.871,5.645
2018,68.03,57.01,-16.14,-1.366,2.659,2.727,2.598,2.829,4.313
2019,56.78,69.16,21.31,1.112,2.658,2.959,4.126,3.529,4.807
2020,69.13,62.23,-10.02,-2.947,1.994,2.46,4.41,1.926,4.039
2021,62.02,64.42,3.52,-2.658,2.45,1.696,3.878,2.736,2.287
2022,64.42,71.24,10.59,0.941,2.464,2.065,3.727,1.456,2.547
2023,71.08,59.89,-15.93,0.991,-0.195,2.1,2.29,2.275,2.521
