Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,3.47,3.77,,,,,,,
1969,3.77,3.9,3.48,,,,,,
1970,3.92,2.91,-25.42,,,,,,
1971,2.88,2.7,-7.0,,,,,,
1972,2.71,2.38,-11.89,,,,,,
1973,2.4,1.44,-39.39,-17.509,,,,,
1974,1.45,0.7812,-45.91,-27.5,,,,,
1975,0.7944,1.81,131.11,-9.06,,,,,
1976,1.81,3.1,71.63,2.802,,,,,
1977,3.09,4.9,58.05,15.538,,,,,
1978,4.88,6.04,23.32,33.209,4.826,,,,
1979,6.04,6.91,14.35,54.648,5.887,,,,
1980,6.88,10.95,58.56,43.333,14.17,,,,
1981,10.95,8.64,-21.1,22.753,12.335,,,,
1982,8.64,7.77,-10.03,9.659,12.56,,,,
1983,7.77,8.43,8.45,6.895,19.329,5.511,,,
1984,8.4,5.7,-32.4,-3.777,21.986,2.562,,,
1985,5.7,5.72,0.4598,-12.179,12.195,4.608,,,
1986,5.72,6.25,9.17,-6.271,7.263,5.755,,,
1987,6.3,5.46,-12.61,-6.813,1.088,5.692,,,
1988,5.46,5.67,3.85,-7.626,-0.63,9.567,2.062,,
1989,5.67,6.96,22.68,4.075,0.072,15.697,2.938,,
1990,6.99,4.18,-40.0,-6.08,-9.181,5.739,1.827,,
1991,4.23,5.65,35.22,-1.998,-4.159,4.083,3.761,,
1992,6.09,7.04,24.65,5.215,-0.982,2.445,5.572,,
1993,7.06,9.56,35.82,11.013,1.266,3.109,9.927,3.792,
1994,9.56,8.93,-6.59,5.111,4.592,1.724,12.955,3.369,
1995,8.88,11.48,28.53,22.392,7.215,0.316,9.676,5.643,
1996,11.42,14.42,25.63,20.61,8.72,3.474,7.989,6.931,
1997,14.44,19.27,33.7,22.31,13.441,6.242,7.086,8.726,
1998,19.38,15.39,-20.16,9.991,10.501,4.094,4.788,9.94,4.8
1999,15.34,12.98,-15.63,7.767,6.431,5.64,3.202,11.898,4.09
2000,13.01,14.9,14.75,5.353,13.554,6.591,1.552,8.798,5.595
2001,14.81,14.84,-0.3752,0.576,10.138,5.934,2.742,6.464,5.845
2002,14.81,12.79,-13.8,-7.871,6.152,5.839,2.523,3.912,5.765
2003,12.84,18.46,44.3,3.705,6.802,8.187,3.997,4.57,8.875
2004,18.41,30.06,62.82,18.289,12.905,10.245,8.669,6.057,12.938
2005,30.11,41.85,39.21,22.942,13.809,16.601,10.463,5.509,11.037
2006,42.33,44.62,6.63,24.629,11.958,14.771,10.327,6.788,9.296
2007,45.29,60.99,36.68,36.671,12.212,15.481,12.824,8.591,8.768
2008,60.86,37.02,-39.29,14.932,9.174,9.446,9.835,6.097,6.23
2009,37.56,47.55,28.44,9.605,13.864,11.794,10.085,8.856,6.641
2010,47.7,45.3,-4.73,1.597,11.761,9.583,12.654,8.63,4.847
2011,45.66,36.04,-20.44,-4.181,9.279,6.297,9.708,7.26,4.876
2012,36.76,48.96,35.85,-4.299,14.366,6.414,10.183,9.171,6.328
2013,49.87,69.81,42.59,13.526,14.227,10.606,10.452,10.564,7.301
2014,69.63,71.82,2.88,8.597,9.1,12.081,10.986,9.786,8.813
2015,72.35,86.9,21.0,13.916,7.58,12.475,10.651,12.905,9.493
2016,86.4,102.47,17.92,23.243,8.669,13.748,10.302,12.29,9.772
2017,103.38,141.65,38.24,23.673,8.792,17.388,10.488,12.758,11.464
2018,142.04,134.65,-4.94,14.04,13.783,14.165,11.455,11.16,11.136
2019,133.03,197.87,46.95,22.469,15.325,13.386,14.592,13.193,11.804
2020,198.43,189.02,-4.47,16.815,15.356,10.574,13.544,11.857,13.548
2021,187.96,213.24,12.81,15.786,19.456,10.991,14.254,11.377,12.865
2022,213.47,208.21,-2.36,8.008,15.576,8.53,14.969,9.988,11.952
2023,207.59,177.26,-14.86,5.653,9.766,11.006,11.974,10.269,10.223
