Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1972,10.44,10.06,,,,,,,
1973,10.06,8.94,-11.18,,,,,,
1974,9.0,6.94,-22.38,,,,,,
1975,7.06,8.5,22.52,,,,,,
1976,8.44,11.13,30.88,,,,,,
1977,11.13,10.56,-5.06,0.975,,,,,
1978,10.56,9.5,-10.06,1.223,,,,,
1979,9.5,8.88,-6.58,5.054,,,,,
1980,8.81,8.44,-4.93,-0.142,,,,,
1981,8.44,9.63,14.07,-2.854,,,,,
1982,9.63,12.0,24.68,2.59,1.779,,,,
1983,12.0,14.25,18.75,8.447,4.773,,,,
1984,14.25,14.88,4.39,10.876,7.926,,,,
1985,14.88,20.19,35.71,19.058,9.036,,,,
1986,20.19,25.0,23.84,21.022,8.429,,,,
1987,25.19,21.75,-13.0,12.63,7.493,5.275,,,
1988,21.75,11.5,-47.13,-4.198,1.929,1.693,,,
1989,11.5,12.19,5.98,-3.91,3.219,3.827,,,
1990,12.19,12.25,0.5128,-9.51,3.796,2.466,,,
1991,12.25,16.38,33.67,-8.109,5.455,2.61,,,
1992,16.25,16.94,3.44,-4.876,3.508,3.201,2.64,,
1993,16.88,16.44,-2.95,7.409,1.44,3.724,3.093,,
1994,16.44,13.69,-16.73,2.348,-0.83,2.928,3.455,,
1995,13.69,15.31,11.87,4.561,-2.729,4.05,2.986,,
1996,15.25,14.06,-8.16,-3.008,-5.593,2.555,1.175,,
1997,14.06,16.56,17.78,-0.453,-2.689,2.17,2.275,2.014,
1998,16.44,16.13,-2.64,-0.38,3.441,0.83,2.682,2.389,
1999,16.13,13.75,-14.73,0.088,1.212,-0.525,2.21,2.773,
2000,13.75,15.94,15.91,0.81,2.668,-1.563,3.23,2.547,
2001,16.0,15.18,-4.75,1.545,-0.758,-3.271,2.302,1.249,
2002,15.18,8.28,-45.49,-12.945,-6.908,-6.236,-1.838,-0.968,-0.647
2003,8.35,12.45,50.45,-5.047,-2.742,0.531,-0.673,1.088,1.11
2004,12.46,14.3,14.86,0.787,0.437,1.07,-0.199,1.924,2.439
2005,14.24,14.02,-1.96,-2.534,-0.876,0.904,-1.807,2.051,1.682
2006,14.09,18.89,34.7,4.47,2.997,0.955,-1.391,2.732,1.779
2007,18.84,20.34,7.73,19.692,2.077,1.227,-0.335,2.133,2.209
2008,20.29,14.59,-28.29,3.223,-0.998,-0.793,1.197,0.094,1.44
2009,14.64,15.13,3.7,1.135,0.961,0.669,1.086,0.067,1.792
2010,15.24,18.39,21.51,5.576,1.44,1.23,2.052,-0.373,2.63
2011,18.53,22.05,19.96,3.142,3.804,3.045,1.497,-0.501,2.8
2012,22.27,21.95,-0.4534,1.535,10.24,1.896,1.304,0.037,2.033
2013,21.87,25.8,17.51,12.076,7.559,3.181,2.279,3.285,1.998
2014,25.8,33.21,28.72,17.027,8.791,6.055,4.531,4.09,2.712
2015,33.34,31.23,-5.98,11.173,8.338,4.586,3.629,3.814,1.465
2016,31.26,37.89,21.35,11.435,7.209,6.288,5.082,3.411,1.396
2017,37.94,42.61,12.46,14.187,7.675,11.54,4.839,3.759,2.267
2018,42.62,42.25,-0.8449,10.368,11.219,8.487,4.932,3.848,4.433
2019,42.16,54.72,29.51,10.503,13.718,9.359,7.15,5.699,5.133
2020,54.68,51.53,-5.83,10.534,10.853,9.066,6.042,4.974,4.905
2021,51.53,61.47,19.29,10.161,10.796,8.184,7.243,6.078,4.507
2022,61.37,55.21,-10.18,5.318,9.663,6.884,9.951,4.934,4.017
2023,55.24,49.79,-9.82,3.339,6.795,8.527,7.176,4.612,3.763
