Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,0.5838,1.13,,,,,,,
1969,1.13,1.17,3.64,,,,,,
1970,1.19,1.26,7.6,,,,,,
1971,1.24,2.16,70.66,,,,,,
1972,2.17,3.11,44.26,,,,,,
1973,3.14,2.46,-20.97,16.835,,,,,
1974,2.46,1.63,-33.52,6.856,,,,,
1975,1.65,2.58,57.98,15.412,,,,,
1976,2.58,2.9,12.24,6.069,,,,,
1977,2.9,2.24,-22.75,-6.352,,,,,
1978,2.21,2.18,-2.46,-2.388,6.792,,,,
1979,2.18,2.8,28.3,11.428,9.118,,,,
1980,2.8,3.34,19.12,5.299,10.24,,,,
1981,3.31,4.07,21.81,7.014,6.54,,,,
1982,4.07,6.24,53.38,22.74,7.212,,,,
1983,6.24,7.42,18.94,27.758,11.673,13.367,,,
1984,7.42,6.15,-17.04,17.042,14.201,11.698,,,
1985,6.15,8.85,43.75,21.518,13.118,13.878,,,
1986,8.85,12.75,44.1,25.656,15.961,12.565,,,
1987,12.8,9.51,-25.43,8.793,15.556,7.736,,,
1988,9.73,11.15,17.34,8.486,17.729,10.6,12.127,,
1989,11.15,10.72,-3.94,11.754,14.368,13.379,11.712,,
1990,10.72,7.53,-29.74,-3.179,8.469,7.402,9.351,,
1991,7.53,10.33,37.23,-4.122,9.762,8.838,8.139,,
1992,10.28,13.02,26.06,6.484,7.632,12.45,7.422,,
1993,12.8,16.27,24.89,7.851,8.168,14.339,9.906,11.258,
1994,16.38,9.95,-38.85,-1.48,4.929,8.821,9.467,8.94,
1995,10.11,13.79,38.67,12.864,4.535,9.914,8.742,10.044,
1996,13.68,15.83,14.74,8.912,2.187,9.478,8.856,8.293,
1997,15.99,22.36,41.32,11.422,8.925,8.881,12.192,8.21,
1998,22.2,25.28,13.02,9.214,8.53,8.515,13.036,9.767,10.915
1999,25.5,22.31,-11.74,17.526,7.605,8.97,10.935,11.033,10.326
2000,22.2,22.58,1.23,10.365,11.607,6.443,10.027,9.065,10.098
2001,22.64,21.54,-4.62,6.354,7.625,3.558,8.688,8.351,7.968
2002,21.54,18.51,-14.08,-3.709,3.581,4.54,5.587,8.814,6.126
2003,18.74,24.1,30.21,-0.951,4.007,5.273,6.067,10.089,7.904
2004,24.08,32.12,33.27,7.561,12.433,7.59,8.616,10.252,10.447
2005,32.13,26.54,-17.36,3.285,6.766,8.761,5.645,8.644,8.079
2006,26.89,26.26,-1.06,4.042,5.192,6.417,3.679,7.743,7.621
2007,26.24,19.0,-27.65,0.524,-1.615,2.552,3.521,4.555,7.387
2008,18.98,9.79,-48.5,-16.487,-9.05,-3.33,-0.648,1.115,5.134
2009,9.87,12.14,24.08,-17.683,-5.904,1.335,0.624,2.758,5.011
2010,12.28,11.13,-8.33,-15.954,-6.83,-1.419,1.973,0.921,4.094
2011,11.32,9.21,-17.22,-18.905,-8.145,-3.546,-0.572,-1.293,2.76
2012,9.5,14.65,58.97,-5.067,-2.312,-2.78,0.592,1.743,2.886
2013,14.98,20.02,36.67,15.382,-1.838,-1.543,1.042,2.369,3.364
2014,19.98,22.16,10.67,12.79,-3.644,-0.045,4.085,2.947,4.365
2015,22.32,28.3,27.73,20.52,0.644,1.517,3.66,5.439,3.951
2016,27.83,31.62,11.73,27.98,1.875,2.592,3.52,4.577,3.074
2017,31.89,43.94,38.96,24.567,8.745,5.933,3.435,4.986,5.234
2018,44.05,29.24,-33.45,7.87,11.563,1.297,0.73,2.373,3.266
2019,28.74,47.99,64.12,16.712,14.734,2.713,3.904,6.496,5.123
2020,48.2,54.93,14.46,14.184,17.309,4.969,4.545,5.684,6.848
2021,53.98,70.22,27.84,17.3,22.524,6.777,6.087,6.14,6.597
2022,70.2,46.67,-33.54,1.213,12.285,6.174,4.733,2.987,4.347
2023,47.4,59.72,27.96,15.353,11.549,12.812,4.642,3.498,4.43
