Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,0.1749,0.2654,,,,,,,
1969,0.2593,0.3508,32.18,,,,,,
1970,0.3642,0.3817,8.81,,,,,,
1971,0.3673,0.9352,145.01,,,,,,
1972,0.9275,1.88,101.33,,,,,,
1973,1.88,1.41,-25.25,39.657,,,,,
1974,1.41,0.7253,-48.47,15.636,,,,,
1975,0.7284,1.44,98.73,30.415,,,,,
1976,1.44,1.32,-8.57,7.136,,,,,
1977,1.32,1.27,-3.51,-7.545,,,,,
1978,1.26,1.14,-10.19,-4.162,15.691,,,,
1979,1.14,1.07,-6.22,8.087,11.798,,,,
1980,1.07,1.2,12.39,-3.581,12.136,,,,
1981,1.2,1.61,34.1,4.052,5.583,,,,
1982,1.61,2.24,38.53,12.018,1.767,,,,
1983,2.24,2.61,16.77,18.018,6.351,16.462,,,
1984,2.6,2.87,9.84,21.815,14.746,15.042,,,
1985,2.87,4.49,56.66,30.201,12.044,17.86,,,
1986,4.48,5.07,12.9,25.787,14.405,11.928,,,
1987,5.11,5.5,8.42,19.68,15.786,7.419,,,
1988,5.5,6.02,9.37,18.193,18.105,10.16,16.892,,
1989,5.94,8.63,43.38,24.631,23.215,17.95,17.367,,
1990,8.63,7.28,-15.58,10.148,19.755,11.408,15.883,,
1991,7.28,9.5,30.47,13.382,19.423,14.063,12.29,,
1992,9.63,12.19,28.29,17.254,18.461,16.273,9.797,,
1993,12.22,14.25,16.92,18.807,18.5,18.339,12.261,17.273,
1994,14.19,14.63,2.63,11.134,17.689,19.049,16.208,16.093,
1995,14.63,22.56,54.27,25.384,17.519,21.603,14.749,17.724,
1996,22.5,22.69,0.554,19.021,16.167,19.289,15.282,13.605,
1997,22.63,23.88,5.23,14.395,15.816,17.09,15.801,10.702,
1998,23.94,38.41,60.86,21.934,20.361,19.634,19.228,14.132,18.037
1999,38.69,40.31,4.96,22.471,16.665,19.262,19.895,17.435,17.133
2000,39.94,34.0,-15.66,8.55,16.663,14.45,18.199,13.481,16.143
2001,33.81,26.47,-22.15,3.13,10.791,11.648,15.026,12.742,11.788
2002,26.47,16.08,-39.25,-7.605,2.808,7.414,10.358,10.688,7.416
2003,16.17,24.83,54.42,-8.355,5.71,9.907,11.922,13.116,10.034
2004,24.95,32.06,29.12,-4.477,8.161,9.143,12.825,14.568,13.461
2005,31.6,33.72,5.18,-0.165,4.101,10.76,10.607,14.274,11.084
2006,34.29,44.33,31.47,10.864,6.927,10.815,11.451,14.181,12.427
2007,43.65,58.91,32.89,29.652,9.45,11.074,12.588,13.972,13.644
2008,59.48,62.19,5.57,20.157,4.937,10.322,12.384,13.523,14.26
2009,62.38,62.44,0.402,14.261,4.473,10.158,10.401,13.111,14.517
2010,62.63,76.76,22.93,17.883,8.484,8.506,12.499,12.025,14.868
2011,77.1,100.33,30.71,17.746,14.253,10.418,12.509,12.683,14.768
2012,101.33,88.21,-12.08,8.409,18.556,9.102,10.402,11.739,13.025
2013,89.4,97.03,10.0,9.304,14.602,6.373,10.066,11.762,12.809
2014,96.81,93.7,-3.43,8.456,11.321,5.784,9.73,10.009,12.321
2015,94.13,118.14,26.08,9.007,13.358,8.658,8.631,11.792,11.516
2016,117.25,121.72,3.03,3.941,10.628,10.707,8.762,10.74,11.176
2017,121.86,172.12,41.41,14.304,11.318,17.121,10.38,11.171,12.163
2018,173.73,177.57,3.17,12.848,11.062,14.014,7.956,10.617,11.942
2019,175.41,197.61,11.29,16.095,12.211,12.89,8.273,10.974,11.001
2020,198.0,214.58,8.59,12.678,10.827,13.131,9.649,9.428,11.939
2021,214.49,268.07,24.93,17.105,10.327,12.747,12.273,10.382,11.777
2022,269.49,263.53,-1.69,8.893,11.566,10.504,15.008,10.081,10.788
2023,263.53,280.94,6.61,9.61,11.217,10.576,12.897,8.285,10.449
