Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1984,2.96,3.01,,,,,,,
1985,3.01,3.31,10.0,,,,,,
1986,3.29,3.67,10.75,,,,,,
1987,3.67,1.75,-52.24,,,,,,
1988,1.78,2.3,31.25,,,,,,
1989,2.3,1.56,-32.14,-12.318,,,,,
1990,1.56,0.5476,-64.91,-30.221,,,,,
1991,0.5476,3.7,575.0,0.163,,,,,
1992,3.64,5.83,57.78,27.211,,,,,
1993,5.8,10.9,86.85,36.502,,,,,
1994,10.9,8.41,-22.86,40.067,10.821,,,,
1995,8.38,9.47,12.7,76.839,11.084,,,,
1996,9.47,12.21,28.9,26.97,12.773,,,,
1997,12.24,13.76,12.67,18.738,22.902,,,,
1998,13.81,13.58,-1.29,4.495,19.431,,,,
1999,13.58,9.28,-31.65,1.988,19.52,7.795,,,
2000,9.36,9.41,1.33,-0.127,32.896,7.214,,,
2001,9.41,14.24,51.34,3.124,14.428,9.46,,,
2002,14.18,12.59,-11.53,-1.762,8.003,14.06,,,
2003,12.65,20.01,58.91,8.061,6.263,15.514,,,
2004,20.01,20.64,3.12,17.336,9.393,18.788,10.105,,
2005,20.69,18.0,-12.8,13.851,6.633,26.218,8.836,,
2006,18.06,20.14,11.91,7.179,5.132,11.959,8.885,,
2007,20.1,20.11,-0.149,9.819,3.867,8.605,12.984,,
2008,20.22,7.48,-62.79,-17.865,-5.789,-2.479,6.074,,
2009,7.53,12.64,68.99,-9.342,3.138,2.754,11.028,5.908,
2010,12.81,26.0,105.61,7.632,10.698,6.965,21.29,8.594,
2011,26.25,16.66,-35.94,-3.723,1.582,2.093,7.814,6.238,
2012,17.09,25.01,50.17,4.458,7.105,4.064,7.553,11.225,
2013,25.5,41.03,64.05,40.553,7.445,7.65,6.852,12.216,
2014,40.87,54.34,32.45,33.867,10.164,12.505,9.778,15.26,10.125
2015,54.5,40.56,-25.37,9.301,8.463,10.23,7.544,18.792,8.712
2016,39.9,43.4,7.0,21.105,7.98,7.712,6.546,10.35,8.583
2017,43.89,56.67,30.58,17.774,10.916,10.549,7.334,9.524,12.291
2018,56.79,45.45,-19.8,2.067,19.774,5.622,6.226,5.878,10.457
2019,44.57,54.84,20.66,0.183,15.807,6.731,9.289,7.788,12.598
2020,55.67,70.8,29.1,11.786,10.537,9.56,10.617,8.38,17.594
2021,71.62,80.94,14.32,13.275,17.125,9.717,9.077,7.859,10.832
2022,81.63,56.18,-30.59,-0.174,8.429,7.089,7.765,5.789,7.844
2023,57.02,58.95,4.93,5.339,3.69,14.755,5.551,6.048,5.788
