Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1970,1.49,1.31,,,,,,,
1971,1.28,1.64,25.25,,,,,,
1972,1.64,2.36,43.75,,,,,,
1973,2.36,2.14,-9.39,,,,,,
1974,2.14,1.76,-17.81,,,,,,
1975,1.76,1.83,4.34,6.914,,,,,
1976,1.83,1.8,-1.64,1.879,,,,,
1977,1.77,1.47,-18.52,-9.034,,,,,
1978,1.46,1.79,21.84,-3.509,,,,,
1979,1.79,1.91,6.85,1.649,,,,,
1980,1.91,2.24,17.3,4.126,5.511,,,,
1981,2.24,2.24,,4.471,3.167,,,,
1982,2.25,2.24,-0.1515,8.789,-0.52,,,,
1983,2.24,2.39,6.8,5.952,1.111,,,,
1984,2.39,2.49,4.01,5.447,3.531,,,,
1985,2.49,3.63,45.74,10.137,7.089,7.031,,,
1986,3.63,6.56,80.83,23.974,13.805,9.682,,,
1987,6.58,8.4,27.96,30.259,19.041,8.832,,,
1988,8.48,9.18,9.31,30.885,17.76,10.195,,,
1989,9.1,12.32,34.2,37.684,20.492,13.852,,,
1990,12.28,14.27,15.89,31.493,20.342,14.674,12.683,,
1991,14.18,26.46,85.39,32.171,28.007,19.625,14.918,,
1992,26.37,20.68,-21.85,19.744,24.891,19.275,11.463,,
1993,20.92,16.57,-19.88,12.537,21.365,15.993,10.776,,
1994,16.57,18.18,9.71,8.093,21.994,16.208,12.384,,
1995,18.12,31.29,72.13,17.003,24.037,19.219,15.252,13.534,
1996,30.87,37.96,21.33,7.485,19.191,20.764,16.467,13.391,
1997,37.96,50.54,33.12,19.569,19.656,23.091,19.348,13.039,
1998,50.18,70.5,39.5,33.59,22.612,25.31,20.162,15.003,
1999,70.86,64.06,-9.13,28.647,17.923,24.173,19.2,15.463,
2000,65.44,89.27,39.35,23.328,20.124,23.8,20.233,16.823,15.11
2001,89.04,56.07,-37.2,8.114,7.799,15.378,17.469,14.746,12.494
2002,56.4,53.98,-3.72,1.326,10.07,13.204,17.246,15.504,10.997
2003,54.9,44.05,-18.39,-8.977,10.271,11.021,15.685,13.669,10.607
2004,46.61,30.65,-30.43,-13.708,5.362,6.264,13.374,11.742,9.993
2005,30.5,30.33,-1.03,-19.419,-0.311,5.155,11.198,10.985,9.811
2006,31.01,41.57,37.06,-5.809,0.913,3.057,9.672,12.394,11.033
2007,41.98,55.41,33.28,0.524,0.924,6.791,9.892,13.693,12.861
2008,55.45,28.99,-47.69,-8.027,-8.503,3.799,5.918,10.498,9.727
2009,29.04,34.84,20.2,2.596,-5.909,4.432,5.335,11.131,10.163
2010,35.11,34.37,-1.37,2.532,-9.103,0.628,4.493,9.408,9.529
2011,34.6,35.95,4.61,-2.863,-4.347,-0.362,1.544,7.041,9.694
2012,36.12,39.04,8.59,-6.764,-3.188,-1.706,3.228,6.338,9.996
2013,39.91,47.72,22.25,10.482,0.803,-2.568,5.431,6.816,10.495
2014,47.56,54.15,13.47,9.22,5.856,-1.114,5.609,6.101,10.81
2015,54.56,50.37,-6.99,7.944,5.203,-3.743,2.409,5.174,9.163
2016,49.59,56.13,11.45,9.32,3.048,0.007,1.975,3.054,7.418
2017,56.4,53.65,-4.42,6.564,-0.322,-0.041,0.299,3.887,6.376
2018,53.96,72.86,35.79,8.832,9.654,3.412,0.165,6.103,7.149
2019,71.79,86.72,19.03,9.876,9.548,7.18,1.526,6.449,6.721
2020,86.85,78.0,-10.06,9.14,8.54,6.5,-0.673,3.721,5.825
2021,78.19,76.64,-1.74,6.427,7.864,4.163,1.575,2.85,3.609
2022,76.58,110.95,44.77,15.641,11.01,4.738,3.668,3.195,5.759
2023,110.41,109.84,-1.0,8.556,8.694,9.287,4.674,1.789,6.508
