Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,8.85,9.0,,,,,,,
1969,9.13,7.09,-21.28,,,,,,
1970,7.3,6.85,-3.33,,,,,,
1971,6.77,6.35,-7.28,,,,,,
1972,6.41,6.41,0.8264,,,,,,
1973,6.51,7.9,23.36,-2.574,,,,,
1974,7.9,7.98,0.996,2.393,,,,,
1975,8.03,13.65,71.05,14.786,,,,,
1976,13.65,15.67,14.81,19.801,,,,,
1977,15.67,9.92,-36.68,9.127,,,,,
1978,9.92,6.69,-32.54,-3.27,-2.923,,,,
1979,6.77,5.51,-17.65,-7.14,-2.49,,,,
1980,5.51,7.8,41.43,-10.589,1.307,,,,
1981,7.84,9.41,20.71,-9.697,4.012,,,,
1982,9.41,6.62,-29.71,-7.771,0.323,,,,
1983,6.62,9.57,44.64,7.423,1.936,0.41,,,
1984,9.61,8.23,-13.99,8.355,0.309,0.999,,,
1985,8.23,8.39,1.91,1.469,-4.75,1.361,,,
1986,8.39,6.77,-19.25,-6.373,-8.05,0.428,,,
1987,6.77,9.37,38.37,7.195,-0.569,2.563,,,
1988,9.41,9.21,-1.68,-0.764,3.248,1.028,0.115,,
1989,9.21,11.26,22.22,6.47,7.409,2.322,2.34,,
1990,11.26,9.61,-14.69,2.752,2.109,-2.312,1.707,,
1991,9.57,7.72,-19.67,2.661,-1.96,-4.61,0.982,,
1992,7.68,5.43,-29.59,-10.337,-1.962,-3.938,-0.826,,
1993,5.51,5.2,-4.35,-10.803,-5.917,-1.666,-2.069,-2.17,
1994,5.24,5.16,-0.7581,-14.45,-4.561,-0.437,-2.156,-1.263,
1995,5.2,6.14,19.08,-8.57,-3.074,-1.583,-3.916,-0.437,
1996,6.1,7.52,22.44,-0.524,1.056,-1.484,-3.604,0.679,
1997,7.6,10.63,41.36,14.379,1.27,3.208,0.346,2.044,
1998,10.55,9.49,-10.74,12.785,0.3,-0.056,1.763,0.736,0.177
1999,9.49,7.78,-18.05,8.559,-3.629,-0.374,1.74,-0.101,0.31
2000,7.86,8.74,12.41,7.317,-0.944,0.273,0.571,-1.768,0.816
2001,8.94,9.45,8.11,4.675,2.043,2.248,0.021,-2.003,1.334
2002,9.45,6.71,-29.03,-8.791,2.139,-2.201,0.068,-1.552,0.153
2003,6.77,10.42,55.43,1.887,7.198,0.826,0.426,1.788,0.927
2004,10.44,11.85,13.66,8.78,8.669,0.341,1.839,3.11,1.327
2005,11.83,19.21,62.11,17.059,12.082,4.726,4.229,3.671,1.145
2006,19.58,29.14,51.71,25.26,14.506,9.259,7.571,4.625,2.089
2007,28.82,38.34,31.59,41.705,13.687,13.917,7.299,7.278,4.61
2008,38.43,17.24,-55.04,10.595,6.152,8.318,3.184,2.382,3.206
2009,17.32,19.67,14.11,10.667,9.719,9.331,2.828,3.547,4.333
2010,20.0,23.33,18.61,3.963,10.316,9.307,4.534,4.176,3.72
2011,23.56,29.27,25.47,0.089,11.969,9.483,6.891,6.031,3.855
2012,29.96,30.66,4.75,-4.372,16.409,7.317,9.041,4.856,5.242
2013,31.43,35.3,15.13,15.411,12.977,9.153,10.05,5.521,4.447
2014,35.25,28.29,-19.86,7.539,9.092,8.988,8.88,3.754,4.202
2015,28.06,12.59,-55.5,-11.606,-4.137,2.463,3.656,1.086,1.362
2016,12.56,17.31,37.49,-9.973,-5.075,4.118,4.257,3.283,3.179
2017,17.74,16.93,-2.2,-11.199,-7.849,6.364,2.354,4.654,1.991
2018,17.11,14.34,-15.3,-16.487,-1.825,2.152,2.086,4.141,1.487
2019,13.9,13.58,-5.3,-13.652,-3.637,0.913,2.824,3.947,0.626
2020,13.69,6.67,-50.88,-11.932,-11.769,-6.809,-1.342,0.332,-1.21
2021,6.78,16.42,146.18,-1.05,-5.617,-3.752,2.801,3.173,2.548
2022,16.42,27.07,64.86,9.841,-1.238,-2.294,7.223,3.81,5.501
2023,26.68,27.11,0.1478,13.584,-2.605,3.064,4.897,4.288,5.658
