Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1979,1.31,1.39,,,,,,,
1980,1.42,1.94,40.0,,,,,,
1981,1.94,1.03,-47.14,,,,,,
1982,1.06,1.28,24.32,,,,,,
1983,1.28,1.42,10.87,,,,,,
1984,1.44,1.46,2.94,0.987,,,,,
1985,1.44,1.54,5.72,-4.513,,,,,
1986,1.54,2.46,59.45,19.02,,,,,
1987,2.48,4.0,62.71,25.594,,,,,
1988,4.0,5.94,48.44,33.137,,,,,
1989,5.94,6.25,5.26,33.754,16.222,,,,
1990,6.25,5.94,-5.0,30.995,11.84,,,,
1991,5.81,11.5,93.68,36.13,27.288,,,,
1992,11.25,11.88,3.26,24.323,24.957,,,,
1993,11.81,13.44,13.16,17.74,25.202,,,,
1994,13.44,15.0,11.63,19.136,26.233,17.185,,,
1995,15.06,14.06,-6.25,18.806,24.752,14.116,,,
1996,14.06,15.94,13.33,6.748,20.547,20.036,,,
1997,15.94,11.47,-28.04,-0.7,11.109,15.742,,,
1998,11.25,12.84,11.99,-0.909,8.013,15.812,,,
1999,12.91,12.06,-6.08,-4.269,6.794,15.115,11.408,,
2000,12.49,12.75,5.7,-1.937,7.938,15.133,9.872,,
2001,13.5,13.21,3.57,-3.687,1.396,11.857,13.607,,
2002,13.13,12.41,-5.98,1.588,0.437,7.84,12.028,,
2003,12.4,17.3,39.39,6.144,2.557,7.387,13.315,,
2004,17.2,20.04,15.78,10.69,2.939,8.077,13.993,11.264,
2005,20.11,20.25,1.1,9.694,3.716,8.52,13.748,9.836,
2006,20.25,24.91,23.01,13.526,4.566,5.288,12.272,13.59,
2007,25.27,28.98,16.32,18.486,9.712,6.125,10.408,13.291,
2008,28.84,16.14,-44.29,-1.379,2.314,1.228,5.125,10.211,
2009,16.28,30.59,89.47,8.827,9.755,4.865,8.264,12.94,10.854
2010,30.98,45.94,50.18,17.802,13.676,8.213,10.77,14.548,11.125
2011,46.55,41.18,-10.36,10.576,12.041,6.532,6.586,11.931,13.082
2012,42.14,63.12,53.28,16.846,17.663,12.04,8.71,11.667,13.876
2013,64.58,74.3,17.71,35.712,15.69,12.416,8.925,10.634,14.101
2014,74.25,77.96,4.93,20.575,14.551,13.249,8.59,10.622,14.178
2015,78.07,64.15,-17.71,6.906,12.222,11.373,7.885,9.986,13.237
2016,63.49,112.05,74.67,22.165,16.226,15.319,10.242,9.534,13.575
2017,113.52,146.4,30.66,18.325,17.583,17.883,13.579,10.568,12.75
2018,145.73,119.35,-18.48,9.943,22.15,13.741,11.793,9.128,10.518
2019,116.99,162.84,36.44,15.872,18.2,14.989,13.899,10.009,11.48
2020,163.22,200.95,23.4,25.655,15.902,16.532,14.783,11.225,12.454
2021,201.58,255.27,27.03,17.901,20.014,16.782,15.959,11.733,10.886
2022,255.1,237.72,-6.88,10.181,14.18,15.062,15.908,12.891,10.503
2023,238.65,245.51,3.28,15.518,12.696,19.898,14.183,12.528,10.168
