Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,5.72,5.89,,,,,,,
1969,5.92,5.4,-8.33,,,,,,
1970,5.45,6.14,13.64,,,,,,
1971,6.14,5.28,-14.0,,,,,,
1972,5.33,5.08,-3.72,,,,,,
1973,5.08,3.56,-29.95,-9.579,,,,,
1974,3.56,2.78,-22.07,-12.435,,,,,
1975,2.78,3.51,26.55,-10.581,,,,,
1976,3.51,3.9,11.19,-5.879,,,,,
1977,3.9,3.76,-3.77,-5.84,,,,,
1978,3.76,3.09,-17.65,-2.792,-6.247,,,,
1979,3.09,2.7,-12.7,-0.582,-6.697,,,,
1980,2.7,2.26,-16.36,-8.429,-9.511,,,,
1981,2.26,2.16,-4.35,-11.146,-8.55,,,,
1982,2.16,2.48,14.77,-7.986,-6.919,,,,
1983,2.48,2.87,15.84,-1.466,-2.131,-4.68,,,
1984,2.87,2.31,-19.66,-3.072,-1.835,-5.504,,,
1985,2.31,1.94,-15.96,-3.007,-5.757,-7.393,,,
1986,1.94,2.31,18.99,1.352,-5.103,-5.362,,,
1987,2.31,1.67,-27.66,-7.604,-7.795,-7.148,,,
1988,1.69,2.73,63.24,-0.995,-1.231,-1.754,-3.772,,
1989,2.7,3.81,39.64,10.526,3.504,2.123,-1.729,,
1990,3.78,3.71,-2.58,13.845,5.082,0.37,-2.488,,
1991,3.71,5.06,36.42,16.979,8.885,1.751,-0.213,,
1992,5.03,5.21,2.91,25.552,7.706,2.198,0.126,,
1993,5.21,6.46,24.06,18.799,8.451,5.039,3.024,0.37,
1994,6.48,5.85,-9.51,8.955,9.737,5.29,3.79,0.321,
1995,5.82,7.52,28.57,15.178,14.51,8.345,3.883,0.814,
1996,7.49,7.79,3.6,9.013,12.926,8.928,3.52,1.568,
1997,7.79,9.71,24.76,13.26,19.248,9.526,4.858,2.625,
1998,9.69,11.96,23.13,13.11,15.92,9.982,7.001,4.967,2.389
1999,11.96,7.02,-41.27,3.714,6.302,7.692,4.894,3.775,0.878
2000,7.0,12.08,72.03,9.944,12.53,12.967,8.742,5.068,2.281
2001,12.01,9.06,-25.01,3.067,5.998,9.539,7.432,3.429,1.816
2002,9.08,7.86,-13.27,-4.139,4.198,10.878,5.937,2.993,1.466
2003,7.85,8.62,9.7,-6.34,2.927,7.967,5.653,4.189,2.992
2004,8.57,8.95,3.83,4.978,4.344,5.859,7.007,4.91,3.974
2005,9.0,8.2,-8.43,-7.456,0.869,5.43,7.473,5.29,2.869
2006,8.25,9.47,15.53,0.889,1.972,4.267,7.309,6.09,3.001
2007,9.47,7.42,-21.62,-1.146,-2.654,2.385,7.742,4.481,2.292
2008,7.36,4.31,-41.93,-12.945,-9.703,-2.662,2.309,1.64,1.115
2009,4.32,6.04,40.2,-7.564,-1.492,0.213,2.331,3.919,2.72
2010,6.11,6.92,14.56,-3.337,-5.419,-0.553,3.166,5.219,3.801
2011,6.96,9.36,35.13,-0.233,0.326,1.232,3.123,5.756,5.009
2012,9.45,9.78,4.53,5.679,2.21,0.048,3.199,7.326,4.68
2013,9.88,12.92,32.1,24.554,4.13,0.516,3.526,6.415,5.143
2014,12.9,16.67,29.01,22.512,6.417,5.935,5.375,6.082,6.81
2015,16.72,19.51,17.04,23.035,9.055,3.247,4.882,6.865,7.998
2016,19.41,22.14,13.48,18.79,8.864,6.138,5.362,6.082,7.825
2017,22.17,25.67,15.94,21.288,13.215,8.21,4.981,6.587,9.536
2018,25.64,25.35,-1.25,14.431,19.385,7.456,3.827,5.621,7.711
2019,25.29,27.84,9.82,10.802,16.51,7.859,7.131,6.439,6.854
2020,27.93,22.94,-17.6,3.292,12.732,7.099,3.259,4.562,6.261
2021,22.93,27.61,20.36,4.515,11.424,7.394,5.73,5.192,5.819
2022,27.6,27.42,-0.6882,1.328,10.859,9.105,6.447,4.24,5.692
2023,27.5,26.56,-3.14,0.937,7.472,12.889,5.788,3.243,4.825
