Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,3.51,3.99,,,,,,,
1969,4.01,2.87,-28.19,,,,,,
1970,3.09,2.47,-13.9,,,,,,
1971,2.47,2.79,12.95,,,,,,
1972,2.81,2.61,-6.31,,,,,,
1973,2.63,2.9,10.99,-6.182,,,,,
1974,2.91,2.24,-22.68,-4.836,,,,,
1975,2.24,2.37,5.58,-0.823,,,,,
1976,2.37,3.51,48.53,4.699,,,,,
1977,3.51,2.97,-15.41,2.618,,,,,
1978,2.97,2.43,-18.23,-3.475,-4.838,,,,
1979,2.43,3.03,24.57,6.228,0.544,,,,
1980,3.04,4.53,49.54,13.833,6.253,,,,
1981,4.53,5.76,27.3,10.414,7.518,,,,
1982,5.76,6.08,5.54,15.406,8.824,,,,
1983,6.08,7.01,15.3,23.601,9.228,3.828,,,
1984,7.01,6.51,-7.13,16.527,11.259,5.612,,,
1985,6.51,9.03,38.59,14.794,14.313,9.027,,,
1986,9.03,9.39,4.0,10.268,10.341,8.427,,,
1987,9.42,8.75,-6.8,7.553,11.41,8.399,,,
1988,8.75,10.46,19.52,8.333,15.716,8.929,4.937,,
1989,10.42,13.5,29.08,15.705,16.115,12.721,8.049,,
1990,13.5,13.92,3.09,9.041,11.88,12.528,9.03,,
1991,13.87,19.79,42.22,16.08,13.136,12.221,10.292,,
1992,19.33,20.42,3.16,18.47,12.88,13.716,10.833,,
1993,20.67,23.5,15.1,17.573,12.859,16.332,11.028,7.35,
1994,23.42,20.21,-14.01,8.404,11.995,13.486,11.626,8.12,
1995,20.17,26.46,30.93,13.708,11.35,12.486,12.822,9.95,
1996,26.33,29.33,10.87,8.187,12.064,11.462,11.199,9.867,
1997,29.08,30.5,3.98,8.355,13.3,11.351,12.351,10.333,
1998,30.81,31.69,3.89,6.162,11.722,10.581,13.701,10.038,7.152
1999,31.06,20.5,-35.31,0.285,4.266,7.947,10.031,9.26,6.773
2000,20.25,13.31,-35.06,-12.84,-0.447,2.62,5.537,7.146,5.775
2001,13.81,18.33,37.69,-8.973,-0.763,4.56,5.959,6.835,6.476
2002,18.26,19.99,9.06,-8.103,-0.213,5.662,6.132,7.925,7.022
2003,20.22,23.65,18.31,-5.685,0.064,5.589,6.269,9.529,7.246
2004,23.65,36.19,53.02,12.038,5.999,6.795,8.956,10.43,9.718
2005,36.23,44.83,23.87,27.491,5.414,8.109,8.341,9.602,10.296
2006,45.0,50.29,12.18,22.367,5.54,6.415,8.753,9.054,9.28
2007,50.46,50.44,0.2983,20.335,5.159,6.214,9.154,8.832,9.901
2008,49.51,47.05,-6.72,14.748,4.031,4.737,7.808,7.913,10.382
2009,46.91,52.42,11.41,7.692,9.843,6.56,7.018,8.702,9.969
2010,52.83,62.82,19.84,6.981,16.786,5.934,7.826,8.068,9.161
2011,63.25,72.86,15.98,7.696,14.798,6.254,6.734,8.541,8.827
2012,73.99,61.84,-15.12,4.159,11.956,4.825,5.697,8.136,8.039
2013,63.14,92.83,50.11,14.558,14.653,7.428,7.11,9.126,8.993
2014,92.33,109.61,18.08,15.897,11.719,11.825,8.821,8.738,9.869
2015,110.7,84.59,-22.83,6.131,6.555,13.121,5.983,7.485,7.743
2016,83.64,108.07,27.76,8.204,7.95,12.556,6.738,7.026,8.485
2017,108.91,144.9,34.08,18.566,11.129,14.117,8.103,8.153,9.808
2018,145.96,149.54,3.2,10.005,12.259,13.082,8.067,7.683,9.272
2019,146.96,194.13,29.82,12.111,13.988,11.849,11.897,9.471,9.293
2020,195.05,237.61,22.4,22.945,14.229,11.76,15.501,9.177,9.919
2021,238.31,297.71,25.29,22.467,15.115,12.587,14.956,9.713,9.457
2022,298.5,246.42,-17.23,11.204,14.826,11.154,13.382,8.716,8.656
2023,247.11,206.38,-16.25,6.655,8.317,10.359,11.44,7.783,7.511
