Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,1.52,1.71,,,,,,,
1969,1.71,1.28,-25.53,,,,,,
1970,1.28,1.6,25.0,,,,,,
1971,1.55,1.5,-6.28,,,,,,
1972,1.51,1.81,21.33,,,,,,
1973,1.81,1.51,-16.58,-2.457,,,,,
1974,1.51,1.29,-15.06,0.156,,,,,
1975,1.3,1.73,34.75,1.575,,,,,
1976,1.73,2.52,45.26,10.933,,,,,
1977,2.54,2.41,-4.35,5.893,,,,,
1978,2.41,2.16,-10.23,7.423,2.364,,,,
1979,2.16,2.63,21.52,15.312,7.467,,,,
1980,2.63,4.13,57.29,19.009,9.947,,,,
1981,4.13,3.02,-26.82,3.686,7.249,,,,
1982,3.02,2.91,-3.62,3.843,4.863,,,,
1983,2.91,3.34,14.55,9.108,8.262,4.564,,,
1984,3.32,3.16,-5.33,3.74,9.373,6.21,,,
1985,3.16,3.49,10.39,-3.311,7.27,5.337,,,
1986,3.49,3.67,5.1,3.976,3.831,6.146,,,
1987,3.68,1.83,-50.0,-8.859,-2.716,0.073,,,
1988,1.83,2.07,12.68,-9.125,-0.425,2.125,0.96,,
1989,2.07,3.49,68.88,2.006,2.87,6.86,5.143,,
1990,3.49,3.23,-7.45,-1.536,-2.428,4.25,3.575,,
1991,3.23,3.69,14.41,0.109,2.024,2.575,4.604,,
1992,3.64,4.02,8.89,17.046,3.284,3.47,4.07,,
1993,4.05,4.13,2.72,14.814,2.146,4.416,5.16,3.59,
1994,4.1,3.94,-4.64,2.455,2.231,2.731,5.741,4.6,
1995,3.91,5.01,27.09,9.176,3.681,1.296,5.46,4.672,
1996,4.98,6.57,31.15,12.23,5.996,5.318,4.908,6.086,
1997,6.57,8.84,34.58,17.07,17.058,7.689,6.714,6.549,
1998,8.78,7.91,-10.53,13.879,14.346,5.916,6.705,6.848,5.238
1999,7.95,5.5,-30.45,6.899,4.653,3.764,3.758,5.972,4.98
2000,5.53,10.53,91.54,16.016,12.544,7.64,4.791,7.492,6.482
2001,10.48,7.81,-25.86,3.518,7.786,5.164,4.865,4.629,5.654
2002,7.88,8.4,7.62,-1.016,7.648,10.693,5.443,5.121,5.249
2003,8.43,9.67,15.0,4.1,8.88,10.823,5.459,6.179,6.385
2004,9.7,12.44,28.71,17.731,12.184,8.843,7.092,6.413,7.847
2005,12.48,11.66,-6.3,2.06,8.814,8.935,6.217,4.239,6.567
2006,11.76,18.88,61.92,19.308,11.133,11.497,8.534,7.607,6.943
2007,18.98,19.6,3.83,18.466,8.288,11.14,12.588,7.928,7.236
2008,19.56,12.75,-34.96,5.686,4.89,7.805,9.516,5.504,6.097
2009,12.8,19.51,53.06,9.418,13.498,11.254,8.986,7.553,6.908
2010,19.65,24.28,24.46,15.8,8.713,11.095,10.612,8.068,6.082
2011,24.44,37.95,56.28,14.985,17.127,12.403,12.359,9.795,8.803
2012,38.53,37.43,-1.37,13.813,16.117,10.099,11.802,12.832,8.887
2013,37.94,54.44,45.45,33.685,18.864,13.723,13.762,13.972,9.75
2014,54.41,49.79,-8.54,20.608,14.877,15.82,13.523,11.217,9.626
2015,49.9,24.66,-50.47,0.311,7.778,5.837,8.295,8.47,6.735
2016,24.66,57.41,132.81,8.631,11.763,14.224,11.448,11.604,9.6
2017,58.14,53.45,-6.9,7.385,10.553,13.13,9.414,10.904,11.905
2018,53.76,53.95,0.9355,-0.181,15.518,12.143,10.076,10.826,11.481
2019,53.05,75.67,40.26,8.732,14.516,12.791,14.006,12.548,10.799
2020,75.92,38.38,-49.28,9.25,4.685,8.266,6.68,8.485,8.6
2021,39.0,58.76,53.1,0.466,4.469,7.863,10.617,9.159,9.665
2022,58.96,65.7,11.81,4.213,5.788,8.398,10.832,8.354,9.76
2023,65.64,65.55,-0.2283,3.972,1.874,11.533,10.042,8.827,9.653
