Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,18.15,22.72,,,,,,,
1969,23.32,11.69,-48.55,,,,,,
1970,12.59,8.87,-24.1,,,,,,
1971,8.69,5.7,-35.81,,,,,,
1972,5.88,5.64,-1.05,,,,,,
1973,5.64,3.96,-29.79,-29.489,,,,,
1974,3.96,6.12,54.55,-12.141,,,,,
1975,6.12,6.71,9.8,-5.429,,,,,
1976,6.71,11.51,71.43,15.091,,,,,
1977,11.51,11.15,-3.12,14.604,,,,,
1978,11.15,7.55,-32.26,13.776,-10.432,,,,
1979,7.55,13.01,72.22,16.28,1.076,,,,
1980,13.01,16.61,27.65,19.875,6.474,,,,
1981,16.61,11.51,-30.69,0.0,7.28,,,,
1982,11.51,9.47,-17.71,-3.213,5.319,,,,
1983,9.47,11.93,25.95,9.582,11.659,-4.204,,,
1984,11.87,13.43,12.56,0.637,8.176,0.929,,,
1985,13.43,14.87,10.71,-2.189,8.283,3.504,,,
1986,14.87,13.19,-11.29,2.762,1.372,5.753,,,
1987,13.31,11.69,-11.36,4.302,0.474,4.979,,,
1988,11.75,12.17,4.1,0.399,4.89,7.772,-3.073,,
1989,12.17,14.21,16.75,1.135,0.886,5.777,0.981,,
1990,14.21,8.81,-37.97,-9.94,-6.144,1.832,-0.034,,
1991,8.81,8.57,-2.72,-8.262,-2.906,-1.947,2.06,,
1992,8.63,8.15,-4.9,-6.96,-1.49,-2.068,1.858,,
1993,8.27,8.15,,-7.706,-3.739,0.511,3.675,-4.018,
1994,8.21,9.23,13.24,-8.268,-3.681,-2.262,2.076,-0.941,
1995,9.29,10.25,11.04,3.074,-3.652,-3.167,2.141,0.58,
1996,10.25,11.21,9.36,5.518,-1.613,-0.176,-0.132,2.742,
1997,11.27,14.06,25.4,11.523,1.863,2.67,1.166,3.721,
1998,14.12,8.09,-42.43,-0.148,-4.001,-2.556,0.346,2.899,-3.383
1999,8.21,10.37,28.15,2.356,-3.101,-1.709,-1.128,2.132,-0.399
2000,10.28,11.63,12.14,2.558,2.816,-1.625,-1.766,2.224,0.907
2001,11.51,12.72,9.4,2.56,4.028,-0.242,0.501,0.401,2.712
2002,12.69,13.65,7.24,-0.59,5.293,1.039,1.845,0.812,2.99
2003,13.57,20.26,48.47,20.154,9.534,3.456,2.683,4.027,5.592
2004,20.22,27.99,38.16,21.968,11.733,4.623,3.74,3.112,5.198
2005,27.99,38.31,36.87,26.925,14.093,10.295,4.846,3.399,5.979
2006,39.57,46.84,22.26,29.785,15.372,11.989,6.541,5.775,4.79
2007,46.84,73.85,57.67,40.166,18.042,15.828,9.655,8.563,6.505
2008,74.86,57.55,-22.08,23.22,21.677,13.918,8.078,6.497,7.005
2009,58.14,78.04,35.61,22.762,22.364,15.294,8.89,7.293,6.154
2010,79.29,94.1,20.59,19.689,23.254,15.929,12.572,7.659,5.952
2011,94.77,89.88,-4.49,13.922,21.596,14.887,12.469,7.978,7.091
2012,92.79,73.49,-18.24,-0.098,18.334,11.656,11.623,7.631,7.069
2013,75.14,91.23,24.14,9.652,16.238,17.529,12.836,8.391,7.016
2014,90.66,80.58,-11.67,0.643,11.153,14.647,11.443,7.188,6.154
2015,79.98,67.58,-16.13,-6.406,5.84,12.447,9.889,8.491,5.176
2016,67.06,71.23,5.4,-4.545,4.281,12.17,9.686,8.84,5.783
2017,72.27,73.66,3.41,0.046,-0.026,11.894,8.633,9.205,6.328
2018,74.01,61.38,-16.67,-7.62,0.646,7.669,10.663,8.411,5.542
2019,60.52,41.21,-32.86,-12.551,-6.186,2.612,7.142,6.168,3.613
2020,41.63,17.31,-58.0,-23.845,-15.575,-5.158,2.008,2.118,2.277
2021,17.75,28.99,67.48,-16.456,-10.699,-3.148,4.205,3.874,4.146
2022,29.21,62.99,117.28,-3.081,-1.53,-1.055,7.946,6.182,7.054
2023,62.3,64.57,2.51,1.018,-3.397,0.77,5.967,8.663,7.143
