Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,17.75,19.06,,,,,,,
1969,18.94,16.38,-14.1,,,,,,
1970,17.0,17.31,5.73,,,,,,
1971,17.13,16.19,-6.5,,,,,,
1972,16.25,16.31,0.7722,,,,,,
1973,16.31,11.44,-29.89,-9.706,,,,,
1974,11.44,10.06,-12.02,-9.29,,,,,
1975,10.13,10.38,3.11,-9.722,,,,,
1976,10.38,11.56,11.45,-6.515,,,,,
1977,11.56,12.0,3.78,-5.953,,,,,
1978,12.0,11.13,-7.29,-0.548,-5.237,,,,
1979,11.13,11.5,3.37,2.712,-3.475,,,,
1980,11.5,10.25,-10.87,-0.252,-5.105,,,,
1981,10.38,10.5,2.44,-1.905,-4.238,,,,
1982,10.5,14.06,33.93,3.219,-1.473,,,,
1983,14.06,14.88,5.78,5.979,2.664,-1.637,,,
1984,14.88,16.38,10.08,7.331,4.996,0.0,,,
1985,16.38,20.0,22.14,14.304,6.778,0.968,,,
1986,20.0,24.25,21.25,18.224,7.69,2.73,,,
1987,24.25,16.25,-32.99,2.937,3.078,-0.025,,,
1988,16.25,17.5,7.69,3.297,4.63,2.874,-0.426,,
1989,17.5,22.0,25.71,6.077,6.702,5.355,1.486,,
1990,22.0,25.0,13.64,4.564,9.326,6.035,1.855,,
1991,25.0,32.5,30.0,6.031,11.962,7.134,3.546,,
1992,32.25,33.13,1.92,15.312,8.949,7.005,3.607,,
1993,33.13,35.13,6.04,14.955,8.97,7.964,5.77,2.476,
1994,34.88,24.38,-30.6,2.076,4.057,5.137,4.525,1.604,
1995,24.38,28.38,16.41,2.569,3.561,7.025,5.158,1.997,
1996,28.38,21.0,-25.99,-8.364,-1.429,4.729,3.03,1.046,
1997,21.25,30.31,44.35,-1.763,6.432,5.254,4.742,2.51,
1998,30.44,31.5,3.92,-2.158,6.054,5.127,5.339,4.135,1.689
1999,31.0,20.5,-34.92,-3.407,-0.704,1.507,2.933,2.888,0.751
2000,20.38,20.0,-2.44,-6.76,-2.207,0.0,3.399,2.658,0.483
2001,19.63,19.24,-3.8,-1.735,-5.107,-1.531,3.074,2.059,0.577
2002,19.1,13.9,-27.75,-14.437,-8.319,-1.036,-0.057,0.59,-0.532
2003,14.0,27.77,99.78,-2.489,-2.324,3.126,3.169,3.725,3.0
2004,27.74,33.28,19.84,10.176,3.161,2.798,3.608,4.342,4.069
2005,33.15,37.12,11.54,13.166,2.721,2.67,3.14,5.282,4.339
2006,37.12,47.33,27.51,19.725,8.466,2.538,3.4,6.208,4.811
2007,47.3,43.09,-8.96,25.393,3.581,1.768,4.997,4.582,4.353
2008,43.15,38.71,-10.16,6.868,2.082,0.649,4.049,3.898,4.242
2009,38.49,44.65,15.34,6.054,8.095,4.116,3.602,4.093,4.625
2010,44.95,47.84,7.14,5.205,9.113,3.542,3.298,3.55,5.269
2011,47.99,41.22,-13.84,-2.727,7.917,4.599,1.196,2.145,4.664
2012,41.42,40.18,-2.52,-1.389,11.199,1.897,0.969,3.687,3.562
2013,40.61,40.28,0.2489,0.798,3.789,1.653,0.686,3.391,3.375
2014,40.36,53.24,32.17,3.582,4.811,6.569,3.982,3.598,4.007
2015,53.48,53.19,-0.0939,2.143,3.663,6.738,3.191,3.066,3.314
2016,52.85,60.77,14.25,8.073,2.531,7.969,5.457,2.535,3.11
2017,60.81,44.83,-26.23,2.214,0.397,8.119,1.976,1.217,3.44
2018,44.34,23.75,-47.02,-10.026,-4.768,-1.037,-1.402,-1.554,1.023
2019,23.55,10.87,-54.23,-27.222,-13.176,-7.188,-3.122,-3.179,-2.323
2020,10.91,12.46,14.63,-25.194,-12.588,-7.019,-2.338,-3.239,-2.294
2021,12.48,12.14,-2.57,-27.539,-11.507,-8.672,-2.276,-2.168,-3.229
2022,12.06,16.26,33.94,-18.359,-8.649,-6.291,0.787,-2.46,-2.345
2023,15.99,16.46,1.23,-7.071,-8.56,-5.542,-2.581,-2.563,-2.495
