Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,1.44,1.34,,,,,,,
1969,1.33,1.7,26.59,,,,,,
1970,1.71,1.8,5.94,,,,,,
1971,1.78,2.43,35.35,,,,,,
1972,2.42,3.46,42.04,,,,,,
1973,3.46,2.85,-17.49,16.292,,,,,
1974,2.85,2.53,-11.41,8.277,,,,,
1975,2.55,2.76,9.21,8.925,,,,,
1976,2.76,2.9,5.19,3.6,,,,,
1977,2.9,2.66,-8.28,-5.123,,,,,
1978,2.65,2.76,3.5,-0.64,7.493,,,,
1979,2.75,2.3,-16.45,-1.888,3.069,,,,
1980,2.3,2.14,-7.24,-4.961,1.745,,,,
1981,2.14,2.49,16.7,-3.003,0.244,,,,
1982,2.49,3.67,47.12,6.649,0.591,,,,
1983,3.67,3.53,-3.8,5.044,2.163,6.671,,,
1984,3.53,3.54,0.2182,9.007,3.416,5.012,,,
1985,3.53,4.33,22.37,15.137,4.606,6.026,,,
1986,4.33,4.74,9.5,13.741,5.036,4.555,,,
1987,4.76,5.3,11.79,7.627,7.137,2.884,,,
1988,5.31,5.4,1.9,8.874,6.942,4.353,7.217,,
1989,5.37,8.72,61.49,19.757,14.256,8.599,8.518,,
1990,8.72,10.75,23.31,19.946,17.517,9.488,9.347,,
1991,10.75,11.65,8.37,19.704,16.684,9.714,8.152,,
1992,11.38,13.31,14.25,20.221,13.75,11.332,6.968,,
1993,13.37,14.14,6.29,21.23,14.886,11.507,8.338,9.884,
1994,14.11,15.38,8.77,12.018,15.823,13.505,9.444,9.209,
1995,15.35,20.6,33.87,13.892,16.879,16.296,10.573,10.241,
1996,20.38,26.71,29.67,18.051,18.875,17.138,11.741,10.063,
1997,26.58,39.61,48.32,24.373,22.279,17.186,14.458,10.243,
1998,39.36,45.32,14.41,26.232,23.706,18.55,15.019,11.701,12.453
1999,44.67,54.37,19.99,28.73,20.084,19.975,17.134,13.055,12.244
2000,53.51,38.93,-28.41,13.575,13.733,15.767,15.61,11.167,10.79
2001,38.77,39.27,0.8829,8.013,12.921,15.138,14.787,10.986,9.719
2002,39.16,42.97,9.42,1.642,12.434,14.972,13.09,11.772,8.76
2003,43.05,49.94,16.22,1.96,13.449,15.985,14.165,12.28,10.015
2004,49.83,55.08,10.29,0.26,13.607,13.075,14.71,13.546,10.814
2005,55.65,57.88,5.08,8.255,10.883,11.877,13.842,14.1,10.676
2006,58.3,64.27,11.04,10.354,9.178,12.059,13.923,13.887,10.88
2007,63.72,73.42,14.24,11.309,6.366,12.058,14.045,12.732,11.694
2008,73.59,61.82,-15.8,4.36,3.153,10.335,12.963,12.133,10.919
2009,61.69,60.63,-1.92,1.939,1.096,9.576,10.181,12.033,11.523
2010,61.11,64.33,6.1,2.136,5.151,7.887,9.358,11.398,12.013
2011,64.39,66.71,3.7,0.748,5.442,6.292,9.117,11.157,11.583
2012,66.3,67.89,1.77,-1.554,4.68,3.657,8.488,10.739,10.214
2013,68.65,81.41,19.91,5.66,5.008,3.982,9.147,11.463,11.027
2014,81.33,91.09,11.89,8.482,5.159,3.5,9.301,9.839,11.433
2015,90.84,79.41,-12.82,4.302,3.213,4.867,6.979,8.327,10.183
2016,78.36,84.08,5.88,4.737,2.723,5.206,5.901,8.227,10.06
2017,83.88,91.88,9.28,6.239,2.268,5.197,4.297,8.034,9.976
2018,91.92,91.92,0.0435,2.458,4.047,4.151,3.599,7.775,9.909
2019,91.03,124.9,35.88,6.517,7.495,5.61,4.246,8.739,9.279
2020,124.5,139.14,11.4,11.87,8.02,6.022,6.576,7.94,8.91
2021,139.66,163.58,17.57,14.237,9.384,6.426,7.395,7.518,9.206
2022,161.69,151.56,-7.35,10.528,8.362,4.951,6.505,5.514,8.446
2023,150.95,154.51,1.95,10.945,6.617,6.297,5.81,5.028,8.297
